,FOC_pred,FOC_act,stw,draft
0,47.41740054985132,0,13.4,12.21
1,239.38173340315566,0,13.4,12.21
2,232.82558367153555,0,13.4,12.21
3,39.57,0,12.2,12.21
4,232.82558367153555,0,13.4,12.21
5,232.82558367153555,0,13.4,12.21
6,227.18686709432882,0,13.4,12.21
7,227.18686709432882,0,13.4,12.21
8,227.85,0,13.5,12.21
9,227.85,0,13.5,12.21
10,218.0,0,12.0,12.21
11,218.0,0,12.0,12.21
12,226.6,0,13.5,12.21
13,226.6,0,13.5,12.21
14,239.38118878851918,0,13.3,12.21
15,239.38118878851918,0,13.3,12.21
16,239.27507072633992,0,13.3,12.21
17,239.27507072633992,0,13.3,12.21
18,238.78790532832107,0,13.3,12.21
19,238.78790532832107,0,13.3,12.21
20,238.78790532832107,0,13.3,12.21
21,238.78790532832107,0,13.3,12.21
22,238.78790532832107,0,13.3,12.21
23,238.78790532832107,0,13.3,12.21
24,238.78790532832107,0,13.3,12.21
25,239.38173340315566,0,13.4,12.21
26,239.38173340315566,0,13.4,12.21
27,109.9105034693,0,13.4,12.21
28,109.9105034693,0,13.4,12.21
29,109.9105034693,0,13.4,12.21
30,80.70912280336324,0,12.7,12.21
31,142.43826157595447,0,12.7,12.21
32,142.43826157595447,0,12.7,12.21
33,237.50445937220104,0,12.7,12.21
34,237.50445937220104,0,12.7,12.21
35,68.96862102244715,0,12.7,12.21
36,46.59268317745978,0,12.7,12.21
37,46.59268317745978,0,12.7,12.21
38,46.59268317745978,0,12.7,12.21
39,84.30288723642094,0,12.7,12.21
40,84.30288723642094,0,12.7,12.21
41,84.30288723642094,0,12.7,12.21
42,84.30288723642094,0,12.7,12.21
43,84.30288723642094,0,12.7,12.21
44,104.2,0,13.2,12.21
45,79.43,0,13.2,12.21
46,79.43,0,13.2,12.21
47,79.43,0,13.2,12.21
48,104.2,0,13.2,12.21
49,104.2,0,13.2,12.21
50,104.2,0,13.2,12.21
51,95.17,0,13.0,12.21
52,95.17,0,13.0,12.21
53,48.48,0,13.0,12.21
54,76.08,0,13.2,12.21
55,76.08,0,13.2,12.21
56,76.08,0,13.2,12.21
57,42.41,0,13.2,12.21
58,171.43038477123815,0,13.4,12.21
59,240.34466675394464,0,13.4,12.21
60,64.06978479742158,0,13.4,12.21
61,64.06978479742158,0,13.4,12.21
62,64.06978479742158,0,13.4,12.21
63,240.34466675394464,0,13.4,12.21
64,43.495133691173066,0,13.4,12.21
65,171.43038477123815,0,13.4,12.21
66,240.34466675394464,0,13.4,12.21
67,64.37911830531088,0,13.4,12.21
68,64.37911830531088,0,13.4,12.21
