,FOC_pred,FOC_act,stw,draft
0,42.31,0,14.5,9.75
1,42.49,0,14.5,9.75
2,42.49,0,14.5,9.75
3,41.23,0,14.5,9.75
4,41.23,0,14.5,9.75
5,41.23,0,14.5,9.75
6,41.37,0,14.5,9.75
7,41.37,0,14.5,9.75
8,40.16,0,14.5,9.75
9,40.16,0,14.5,9.75
10,40.16,0,14.5,9.75
11,40.16,0,14.5,9.75
12,41.37,0,14.5,9.75
13,41.544560923967346,0,14.6,9.75
14,41.544560923967346,0,14.6,9.75
15,41.958530597876454,0,14.6,9.75
16,41.544560923967346,0,14.6,9.75
17,41.544560923967346,0,14.6,9.75
18,41.377576087012784,0,14.6,9.75
19,41.377576087012784,0,14.6,9.75
20,40.85703065223355,0,14.6,9.75
21,41.334288206577725,0,14.6,9.75
22,41.334288206577725,0,14.6,9.75
23,41.334288206577725,0,14.6,9.75
24,41.44977309788939,0,14.6,9.75
25,40.71,0,14.5,9.75
26,40.71,0,14.5,9.75
27,41.07,0,14.5,9.75
28,41.0,0,14.5,9.75
29,41.0,0,14.5,9.75
30,40.48,0,14.5,9.75
31,40.48,0,14.5,9.75
32,40.48,0,14.5,9.75
33,39.73,0,14.5,9.75
34,39.73,0,14.5,9.75
35,42.39,0,14.5,9.75
36,42.75,0,14.5,9.75
37,42.51,0,14.5,9.75
38,40.0,0,14.0,9.75
39,34.07,0,14.0,9.75
40,34.07,0,14.0,9.75
41,37.57,0,14.0,9.75
42,38.82,0,14.0,9.75
43,38.82,0,14.0,9.75
44,38.82,0,14.0,9.75
45,38.23,0,14.0,9.75
46,38.43,0,14.0,9.75
47,38.43,0,14.0,9.75
48,38.98,0,14.0,9.75
49,40.56234367665389,0,14.3,9.75
50,41.595352196269495,0,14.3,9.75
51,39.89877833352219,0,14.3,9.75
52,39.89877833352219,0,14.3,9.75
53,39.89877833352219,0,14.3,9.75
54,39.81053400022663,0,14.3,9.75
55,39.89877833352219,0,14.3,9.75
56,39.89877833352219,0,14.3,9.75
57,40.09877833352218,0,14.3,9.75
58,40.09877833352218,0,14.3,9.75
59,40.09877833352218,0,14.3,9.75
60,40.048639127643156,0,14.3,9.75
61,40.87908555765985,0,14.4,9.75
62,40.87908555765985,0,14.4,9.75
63,40.011209634341775,0,14.4,9.75
64,40.615705714455295,0,14.4,9.75
65,40.615705714455295,0,14.4,9.75
66,40.011209634341775,0,14.4,9.75
67,40.011209634341775,0,14.4,9.75
68,40.011209634341775,0,14.4,9.75
69,40.45190728240989,0,14.4,9.75
70,40.45190728240989,0,14.4,9.75
71,40.45190728240989,0,14.4,9.75
72,40.37472900715994,0,14.4,9.75
73,40.37472900715994,0,14.4,9.75
74,40.37472900715994,0,14.4,9.75
75,39.7707910455009,0,14.4,9.75
76,39.7707910455009,0,14.4,9.75
77,40.95894602804621,0,14.4,9.75
78,40.87,0,14.5,9.75
79,40.87,0,14.5,9.75
80,40.87,0,14.5,9.75
81,40.65,0,14.5,9.75
82,40.65,0,14.5,9.75
83,40.65,0,14.5,9.75
84,39.4,0,14.5,9.75
85,39.4,0,14.5,9.75
86,41.52,0,14.5,9.75
87,41.03,0,14.5,9.75
88,41.03,0,14.5,9.75
89,41.03,0,14.5,9.75
90,41.04,0,14.5,9.75
91,41.04,0,14.5,9.75
92,41.04,0,14.5,9.75
93,41.04,0,14.5,9.75
94,42.57,0,14.5,9.75
95,41.04,0,14.5,9.75
96,41.04,0,14.5,9.75
97,41.04,0,14.5,9.75
98,41.04,0,14.5,9.75
99,42.57,0,14.5,9.75
100,42.57,0,14.5,9.75
101,42.57,0,14.5,9.75
102,41.14,0,14.5,9.75
103,40.88,0,14.5,9.75
104,40.88,0,14.5,9.75
105,41.0,0,14.5,9.75
106,41.0,0,14.5,9.75
107,42.43773760528454,0,14.7,9.75
108,32.206262436904176,0,12.7,9.75
109,31.759614377859698,0,12.6,9.75
