,FOC_pred,FOC_act,stw,draft
0,36.69626045784957,0,13.6,10.42
1,37.68998401879581,0,13.6,10.42
2,37.68998401879581,0,13.6,10.42
3,26.76,0,10.2,10.42
4,27.31557349844945,0,10.3,10.42
5,27.196334671271664,0,10.3,10.42
6,27.196334671271664,0,10.3,10.42
7,33.06,0,12.5,10.42
8,33.85,0,12.5,10.42
9,32.54,0,12.5,10.42
10,35.81,0,12.5,10.42
11,35.02,0,12.0,10.42
12,34.91,0,12.0,10.42
13,34.91,0,12.0,10.42
14,34.17,0,12.0,10.42
15,28.32,0,12.0,10.42
16,30.27,0,12.5,10.42
17,30.27,0,12.5,10.42
18,36.3,0,12.5,10.42
19,36.3,0,12.5,10.42
20,36.3,0,12.5,10.42
21,36.3,0,12.5,10.42
22,36.3,0,12.5,10.42
23,36.3,0,12.5,10.42
24,36.85,0,12.5,10.42
25,36.85,0,12.5,10.42
26,36.85,0,12.5,10.42
27,34.06,0,12.5,10.42
28,34.06,0,12.5,10.42
29,33.06,0,12.5,10.42
30,33.06,0,12.5,10.42
31,33.06,0,12.5,10.42
32,33.85,0,12.5,10.42
33,33.85,0,12.5,10.42
34,33.85,0,12.5,10.42
35,36.52,0,12.5,10.42
36,36.52,0,12.5,10.42
37,36.52,0,12.5,10.42
38,35.81,0,12.5,10.42
39,35.81,0,12.5,10.42
40,35.81,0,12.5,10.42
41,35.81,0,12.5,10.42
42,35.81,0,12.5,10.42
43,32.54,0,12.5,10.42
44,32.54,0,12.5,10.42
45,33.9,0,12.5,10.42
46,32.54,0,12.5,10.42
47,34.06,0,12.5,10.42
48,34.06,0,12.5,10.42
49,32.54,0,12.5,10.42
50,31.23,0,12.5,10.42
