,FOC_pred,FOC_act,stw,draft
0,167.73,0,19.8,10.3
1,167.73,0,19.8,10.3
2,167.46,0,19.8,10.3
3,167.46,0,19.8,10.3
4,165.46,0,19.8,10.3
5,167.46,0,19.8,10.3
6,166.87,0,19.8,10.3
7,165.46,0,19.8,10.3
8,169.3,0,19.8,10.3
9,169.3,0,19.8,10.3
10,164.04,0,19.8,10.3
11,162.89,0,19.8,10.3
12,162.89,0,19.8,10.3
13,164.04,0,19.8,10.3
14,154.45492236997532,0,19.3,10.3
15,154.45492236997532,0,19.3,10.3
16,154.45492236997532,0,19.3,10.3
17,154.3596892114401,0,19.3,10.3
18,154.3596892114401,0,19.3,10.3
19,154.3596892114401,0,19.3,10.3
20,153.07269441063832,0,19.3,10.3
21,97.12641520753124,0,15.9,10.3
22,97.12641520753124,0,15.9,10.3
23,97.12641520753124,0,15.9,10.3
