,FOC_pred,FOC_act,stw,draft
0,47.61,0,12.0,12.38
1,47.61,0,12.0,12.38
2,46.63,0,12.0,12.38
3,47.61,0,12.0,12.38
4,46.63,0,12.0,12.38
5,49.49,0,12.0,12.38
6,49.49,0,12.0,12.38
7,46.54,0,12.0,12.38
8,47.61,0,12.0,12.38
9,47.61,0,12.0,12.38
10,47.61,0,12.0,12.38
11,47.61,0,12.0,12.38
12,49.49,0,12.0,12.38
13,49.49,0,12.0,12.38
14,47.74,0,12.0,12.38
15,47.74,0,12.0,12.38
16,46.22,0,12.0,12.38
17,46.22,0,12.0,12.38
18,46.22,0,12.0,12.38
19,46.22,0,12.0,12.38
20,46.22,0,12.0,12.38
21,46.22,0,12.0,12.38
22,47.74,0,12.0,12.38
23,47.74,0,12.0,12.38
24,46.22,0,12.0,12.38
25,46.22,0,12.0,12.38
26,46.22,0,12.0,12.38
27,46.22,0,12.0,12.38
28,46.22,0,12.0,12.38
29,46.22,0,12.0,12.38
30,46.22,0,12.0,12.38
31,46.22,0,12.0,12.38
32,46.81,0,12.0,12.38
33,46.81,0,12.0,12.38
34,46.81,0,12.0,12.38
35,46.81,0,12.0,12.38
36,46.54,0,12.0,12.38
37,47.22,0,12.2,12.38
38,46.63,0,12.0,12.38
39,46.54,0,12.0,12.38
40,46.54,0,12.0,12.38
41,46.63,0,12.0,12.38
42,46.63,0,12.0,12.38
43,46.54,0,12.0,12.38
44,46.63,0,12.0,12.38
45,46.63,0,12.0,12.38
46,45.6,0,12.0,12.38
47,46.63,0,12.0,12.38
48,46.63,0,12.0,12.38
49,46.63,0,12.0,12.38
50,46.63,0,12.0,12.38
51,48.07,0,12.0,12.38
52,48.11,0,12.0,12.38
53,48.07,0,12.0,12.38
54,48.07,0,12.0,12.38
55,48.07,0,12.0,12.38
56,48.07,0,12.0,12.38
57,48.07,0,12.0,12.38
58,48.11,0,12.0,12.38
59,48.11,0,12.0,12.38
60,48.11,0,12.0,12.38
61,48.11,0,12.0,12.38
62,48.11,0,12.0,12.38
63,48.11,0,12.0,12.38
64,48.11,0,12.0,12.38
65,48.11,0,12.0,12.38
66,48.11,0,12.0,12.38
67,48.11,0,12.0,12.38
68,48.11,0,12.0,12.38
69,48.11,0,12.0,12.38
70,48.11,0,12.0,12.38
71,48.11,0,12.0,12.38
72,48.07,0,12.0,12.38
73,46.54,0,12.0,12.38
74,46.54,0,12.0,12.38
75,48.07,0,12.0,12.38
76,48.07,0,12.0,12.38
77,48.07,0,12.0,12.38
78,48.07,0,12.0,12.38
79,48.07,0,12.0,12.38
80,48.21,0,12.0,12.38
81,48.21,0,12.0,12.38
82,48.21,0,12.0,12.38
83,48.21,0,12.0,12.38
84,48.03999999999999,0,12.0,12.38
85,48.07,0,12.0,12.38
86,48.07,0,12.0,12.38
87,48.07,0,12.0,12.38
88,48.07,0,12.0,12.38
