,FOC_pred,FOC_act,stw,draft
0,174.59,0,22.0,12.65
1,174.59,0,22.0,12.65
2,176.95,0,22.0,12.65
3,176.95,0,22.0,12.65
4,173.97,0,22.0,12.65
5,173.97,0,22.0,12.65
6,176.95,0,22.0,12.65
7,174.2200921652462,0,21.7,12.65
8,171.4469124288586,0,21.7,12.65
9,171.4469124288586,0,21.7,12.65
10,171.4469124288586,0,21.7,12.65
11,171.53271887476285,0,21.7,12.65
12,150.17077732934825,0,19.3,12.65
13,55.313840131410544,0,12.5,12.65
14,49.90154479157487,0,12.3,12.65
15,48.86,0,5.0,12.65
16,48.86,0,5.0,12.65
17,48.86,0,5.0,12.65
18,48.86,0,5.0,12.65
19,49.41,0,5.0,12.65
