,FOC_pred,FOC_act,stw,draft
0,54.10000000000001,0,14.5,11.77
1,54.10000000000001,0,14.5,11.77
2,55.47,0,14.5,11.77
3,54.88,0,14.5,11.77
4,54.88,0,14.5,11.77
5,54.88,0,14.5,11.77
6,54.88,0,14.5,11.77
7,54.10000000000001,0,14.5,11.77
8,54.10000000000001,0,14.5,11.77
9,54.88,0,14.5,11.77
10,55.92,0,14.5,11.77
11,55.47,0,14.5,11.77
12,54.88,0,14.5,11.77
13,54.10000000000001,0,14.5,11.77
14,55.47,0,14.5,11.77
15,55.92,0,14.5,11.77
16,53.21000000000001,0,14.5,11.77
17,55.47,0,14.5,11.77
18,55.92,0,14.5,11.77
19,55.58877536595499,0,14.4,11.77
20,55.92,0,14.5,11.77
21,59.63000000000001,0,15.5,11.77
22,61.50201261800538,0,15.9,11.77
23,50.42999999999999,0,13.5,11.77
24,45.06,0,12.0,11.77
25,47.32,0,13.0,11.77
26,48.6,0,13.0,11.77
27,48.6,0,13.0,11.77
28,53.41,0,14.5,11.77
29,53.41,0,14.5,11.77
30,55.72999999999999,0,14.5,11.77
31,54.09,0,14.5,11.77
32,54.09,0,14.5,11.77
33,54.09,0,14.5,11.77
34,56.66,0,14.8,11.77
35,56.66,0,14.8,11.77
36,56.66,0,14.8,11.77
37,56.45,0,14.8,11.77
38,56.45,0,14.8,11.77
39,56.45,0,14.8,11.77
40,54.56,0,14.8,11.77
41,51.1380916401212,0,13.1,11.77
42,51.1380916401212,0,13.1,11.77
43,51.1380916401212,0,13.1,11.77
