clusters,error,models,partitioners,var
1,7.070372104644775,TensorFlowW1,KMeansPartitioner,9086.034257580282
2,6.273871421813965,TensorFlowW1,KMeansPartitioner,9086.034257580282
3,6.556262969970703,TensorFlowW1,KMeansPartitioner,9086.034257580282
4,6.002289295196533,TensorFlowW1,KMeansPartitioner,9086.034257580282
5,6.57002067565918,TensorFlowW1,KMeansPartitioner,9086.034257580282
6,6.539679050445557,TensorFlowW1,KMeansPartitioner,9086.034257580282
7,6.279829978942871,TensorFlowW1,KMeansPartitioner,9086.034257580282
8,5.899999141693115,TensorFlowW1,KMeansPartitioner,9086.034257580282
9,5.65471076965332,TensorFlowW1,KMeansPartitioner,9086.034257580282
10,6.481428623199463,TensorFlowW1,KMeansPartitioner,9086.034257580282
11,5.383505344390869,TensorFlowW1,KMeansPartitioner,9086.034257580282
12,6.21328592300415,TensorFlowW1,KMeansPartitioner,9086.034257580282
13,4.664114475250244,TensorFlowW1,KMeansPartitioner,9086.034257580282
14,3.8217504024505615,TensorFlowW1,KMeansPartitioner,9086.034257580282
15,6.670956611633301,TensorFlowW1,KMeansPartitioner,9086.034257580282
16,6.177147388458252,TensorFlowW1,KMeansPartitioner,9086.034257580282
17,6.530861854553223,TensorFlowW1,KMeansPartitioner,9086.034257580282
18,6.186587333679199,TensorFlowW1,KMeansPartitioner,9086.034257580282
19,5.867125511169434,TensorFlowW1,KMeansPartitioner,9086.034257580282
20,6.6178131103515625,TensorFlowW1,KMeansPartitioner,9086.034257580282
1,7.966627597808838,TensorFlowW2,KMeansPartitioner,9086.034257580282
2,5.455070495605469,TensorFlowW2,KMeansPartitioner,9086.034257580282
3,5.095536708831787,TensorFlowW2,KMeansPartitioner,9086.034257580282
4,6.563745021820068,TensorFlowW2,KMeansPartitioner,9086.034257580282
5,6.626577377319336,TensorFlowW2,KMeansPartitioner,9086.034257580282
6,6.056823253631592,TensorFlowW2,KMeansPartitioner,9086.034257580282
7,5.745654106140137,TensorFlowW2,KMeansPartitioner,9086.034257580282
8,5.298715591430664,TensorFlowW2,KMeansPartitioner,9086.034257580282
9,4.347315788269043,TensorFlowW2,KMeansPartitioner,9086.034257580282
10,4.677151679992676,TensorFlowW2,KMeansPartitioner,9086.034257580282
11,4.773913383483887,TensorFlowW2,KMeansPartitioner,9086.034257580282
12,5.52302360534668,TensorFlowW2,KMeansPartitioner,9086.034257580282
13,5.147757053375244,TensorFlowW2,KMeansPartitioner,9086.034257580282
14,4.41519832611084,TensorFlowW2,KMeansPartitioner,9086.034257580282
15,6.222506046295166,TensorFlowW2,KMeansPartitioner,9086.034257580282
16,5.8059539794921875,TensorFlowW2,KMeansPartitioner,9086.034257580282
17,5.8792009353637695,TensorFlowW2,KMeansPartitioner,9086.034257580282
18,5.771996974945068,TensorFlowW2,KMeansPartitioner,9086.034257580282
19,5.183496952056885,TensorFlowW2,KMeansPartitioner,9086.034257580282
20,3.2922420501708984,TensorFlowW2,KMeansPartitioner,9086.034257580282
