FOC,PERC
[[13.740899]],27.36,49.777416
[[26.53178]],23.04,15.155292
[[25.184267]],38.88,35.225655
[[21.05736]],36.0,41.50733
[[22.540382]],27.36,17.615562
[[34.38656]],36.0,4.481782
[[16.994923]],17.28,1.6497571
[[22.52679]],20.16,11.740033
[[32.424255]],40.32,19.582699
[[25.986084]],28.8,9.770539
[[29.96635]],40.32,25.678694
[[9.581273]],15.84,39.512165
[[17.991613]],15.84,13.583417
[[21.371008]],25.92,17.550125
[[31.444014]],33.12,5.0603423
[[21.291714]],34.56,38.392033
[[30.201408]],33.12,8.81217
[[27.858377]],33.12,15.886539
[[30.28791]],34.56,12.361374
[[27.959194]],27.36,2.190035
[[27.202349]],36.0,24.437922
[[22.351307]],23.04,2.989123
[[-3.818493]],1.44,365.1731
[[19.047321]],15.84,20.24824
[[27.476387]],40.32,31.854197
[[26.180786]],20.16,29.865011
[[33.211853]],28.8,15.318937
[[23.17987]],27.36,15.278253
[[31.434633]],28.8,9.148035
[[32.85326]],31.68,3.7034712
[[26.4388]],17.28,53.002316
[[9.391909]],15.84,40.70765
[[19.946678]],28.8,30.7407
[[34.8358]],37.44,6.9556584
[[29.288225]],34.56,15.253982
[[19.870152]],15.84,25.442875
[[12.308466]],5.76,113.68864
[[26.514763]],37.44,29.180653
[[28.931988]],25.92,11.620322
[[29.070385]],33.12,12.227096
[[29.998116]],21.6,38.880165
[[35.519188]],38.88,8.644067
[[33.746445]],33.12,1.8914425
[[10.749908]],21.6,50.231903
[[11.287611]],12.96,12.904236
[[28.993057]],38.88,25.429382
[[20.155209]],23.04,12.520799
[[22.784447]],20.16,13.018089
[[26.747833]],15.84,68.86258
[[-7.479436]],2.88,359.70264
[[16.150532]],5.76,180.39117
[[27.519012]],33.12,16.911192
[[21.275272]],27.36,22.239504
[[3.2925146]],5.76,42.83829
[[32.763443]],33.12,1.0765579
[[20.522938]],20.16,1.8002874
[[28.467537]],33.12,14.047289
[[23.174023]],23.04,0.5816916
[[19.794975]],21.6,8.356597
[[2.8271077]],5.76,50.91827
[[19.747604]],17.28,14.280113
[[34.519447]],34.56,0.11734389
[[10.20665]],18.72,45.477295
[[10.5966015]],23.04,54.00781
[[-6.9728]],2.88,342.1111
[[22.775911]],23.04,1.1462221
[[28.616604]],43.2,33.757862
[[35.76019]],33.12,7.9715886
[[29.961872]],28.8,4.034281
[[15.594879]],18.72,16.694017
[[5.7275834]],7.2,20.450228
[[23.726284]],31.68,25.106426
[[22.559391]],36.0,37.335026
[[16.166498]],31.68,48.969387
[[2.686537]],5.76,53.358734
[[27.628437]],31.68,12.789026
[[29.530975]],54.72,46.032574
[[31.237278]],31.68,1.397482
[[34.888718]],27.36,27.51724
[[26.280542]],20.16,30.359835
[[26.22387]],34.56,24.12075
[[32.32463]],31.68,2.0348182
[[24.60645]],24.48,0.51654243
[[17.84735]],14.4,23.939928
[[19.915596]],17.28,15.252288
[[33.69017]],27.36,23.136585
[[18.057848]],14.4,25.401726
[[23.539558]],14.4,63.46916
[[32.23551]],33.12,2.6705532
[[10.597246]],21.6,50.93868
[[32.85799]],31.68,3.7184026
[[12.072248]],18.72,35.51149
[[27.23873]],30.24,9.924836
[[28.255024]],31.68,10.811163
[[9.230246]],4.32,113.663086
[[3.980615]],15.84,74.86986
[[20.170982]],18.72,7.7509785
[[23.343723]],17.28,35.090984
[[12.414335]],14.4,13.789336
[[3.5591588]],25.92,86.268684
[[23.143719]],17.28,33.93355
[[22.168297]],21.6,2.631002
[[25.461206]],28.8,11.593031
[[37.857758]],36.0,5.1604376
[[26.85384]],28.8,6.757498
[[28.64843]],25.92,10.526349
[[23.456512]],30.24,22.432167
[[31.061083]],34.56,10.124185
[[29.536724]],37.44,21.109175
[[26.742144]],14.4,85.709335
[[20.247932]],37.44,45.918983
[[16.06072]],5.76,178.83194
[[16.000181]],30.24,47.089348
[[32.767693]],27.36,19.764956
[[20.472235]],28.8,28.91585
[[21.490715]],17.28,24.36756
[[26.198061]],30.24,13.3662
[[18.057117]],31.68,43.001522
[[19.82167]],31.68,37.431595
[[1.345706]],4.32,68.8494
[[22.735811]],27.36,16.901278
[[38.414623]],38.88,1.1969594
[[13.744268]],15.84,13.230629
[[38.524506]],37.44,2.8966534
[[22.569319]],21.6,4.487585
[[33.32122]],38.88,14.297276
[[26.85241]],27.36,1.855231
[[28.65524]],36.0,20.402115
[[13.198865]],25.92,49.078453
[[27.952671]],34.56,19.118431
[[16.666002]],27.36,39.08625
[[25.559952]],23.04,10.937286
[[15.693568]],31.68,50.462223
[[30.25298]],33.12,8.656461
[[27.70747]],33.12,16.342178
[[29.039055]],50.4,42.38283
[[15.277647]],14.4,6.094774
[[27.963903]],31.68,11.7301035
[[22.217]],28.8,22.857641
[[27.081306]],34.56,21.639742
[[-7.678131]],1.44,633.20355
[[33.52159]],33.12,1.212537
[[34.310066]],34.56,0.723192
[[23.014332]],20.16,14.158394
[[30.588558]],27.36,11.800283
[[9.568215]],7.2,32.891884
[[24.936451]],25.92,3.7945569
[[10.56228]],21.6,51.10056
[[27.847336]],36.0,22.64629
[[33.128807]],31.68,4.5732536
[[29.239529]],31.68,7.7035093
[[22.284927]],20.16,10.540316
[[25.461536]],47.52,46.419327
[[13.14534]],27.36,51.954166
[[26.459553]],38.88,31.945595
[[22.964329]],21.6,6.3163347
[[33.660965]],31.68,6.253045
[[28.70618]],34.56,16.938137
[[28.023285]],34.56,18.91411
[[18.811775]],15.84,18.761206
[[21.157633]],21.6,2.047998
[[29.092161]],33.12,12.161346
[[22.74371]],21.6,5.29495
[[26.012188]],36.0,27.743923
[[26.343445]],36.0,26.823765
[[32.830185]],34.56,5.0052557
[[23.76923]],33.12,28.233
[[24.21574]],14.4,68.16486
[[13.96571]],31.68,55.91632
[[13.5972805]],27.36,50.302338
[[25.41142]],27.36,7.1220016
[[32.458843]],33.12,1.9962432
[[17.043034]],15.84,7.594908
[[26.19439]],28.8,9.047257
[[26.399824]],27.36,3.5094168
[[28.666382]],33.12,13.446912
[[27.619629]],37.44,26.22962
[[25.18841]],27.36,7.9371004
[[17.848242]],17.28,3.2884321
[[12.365743]],18.72,33.94368
[[31.249542]],34.56,9.578875
[[30.689451]],33.12,7.33861
[[31.077574]],31.68,1.9015988
[[16.330456]],31.68,48.451843
[[36.04088]],33.12,8.81908
[[26.9958]],36.0,25.011667
[[25.22886]],27.36,7.789253
[[-7.8776917]],1.44,647.0619
[[25.07824]],27.36,8.33977
[[33.712723]],28.8,17.05807
[[28.14428]],34.56,18.56401
[[19.152548]],15.84,20.912548
[[32.76242]],31.68,3.4167309
[[34.565643]],33.12,4.364868
[[15.601555]],12.96,20.382366
[[18.20084]],33.12,45.045773
[[38.623478]],33.12,16.616785
[[21.800137]],17.28,26.158194
[[30.276634]],31.68,4.429817
[[26.326717]],18.72,40.63418
[[29.624119]],37.44,20.875748
