FOC,PERC
27.36,11.160151
23.04,8.4408865
38.88,45.396893
36.0,42.878872
27.36,15.066081
36.0,38.753674
17.28,3.5748105
20.16,16.994371
40.32,36.446236
28.8,0.5534424
40.32,40.835823
15.84,36.089214
15.84,28.435894
25.92,37.899414
33.12,0.8619696
34.56,39.72002
33.12,34.73331
33.12,6.9890394
34.56,2.927195
27.36,24.587627
36.0,15.8307495
23.04,22.429583
1.44,109.350464
15.84,30.160841
40.32,35.66297
20.16,3.325381
28.8,22.515715
27.36,27.101603
28.8,21.867369
31.68,6.4871764
17.28,79.79114
15.84,50.54155
28.8,23.462694
37.44,12.942217
34.56,8.295725
15.84,13.867971
5.76,73.105194
37.44,20.88315
25.92,31.217484
33.12,3.9475608
21.6,20.61449
38.88,34.496475
33.12,30.598324
21.6,17.507103
12.96,47.706406
38.88,16.13043
23.04,31.601673
20.16,14.341076
15.84,25.663557
2.88,114.35846
5.76,27.837395
33.12,35.342495
27.36,42.916767
5.76,11.106472
33.12,20.891607
20.16,21.580774
33.12,5.247466
23.04,7.4692817
21.6,35.25673
5.76,6.304416
17.28,10.951879
34.56,36.69943
18.72,56.561554
23.04,11.723265
2.88,171.71523
23.04,14.850563
43.2,26.530678
33.12,26.617771
28.8,12.115121
18.72,7.6404495
7.2,201.75352
31.68,38.64302
36.0,53.25596
31.68,3.6936576
5.76,5.3096557
31.68,4.10508
54.72,39.527485
31.68,4.844738
27.36,15.6244755
20.16,3.762983
34.56,16.994553
31.68,26.568571
24.48,16.96504
14.4,40.590195
17.28,10.888344
27.36,34.106907
14.4,31.746588
14.4,12.7484665
33.12,32.825603
21.6,41.523464
31.68,4.685467
18.72,34.68208
30.24,31.465229
31.68,2.192614
4.32,115.086006
15.84,58.527313
18.72,4.7936707
17.28,1.2569625
14.4,54.544186
25.92,14.846648
17.28,6.839478
21.6,12.402128
28.8,13.05294
36.0,31.318256
28.8,42.298378
25.92,21.40533
30.24,35.20443
34.56,7.9417887
37.44,42.615585
14.4,2.4493206
37.44,46.11861
5.76,35.533123
30.24,10.184693
27.36,15.831572
28.8,26.959341
17.28,6.820868
30.24,36.390896
31.68,8.488231
31.68,37.134888
4.32,53.92707
27.36,8.722348
38.88,30.422842
15.84,3.6974628
37.44,33.556423
21.6,19.82756
38.88,26.327223
27.36,28.203941
36.0,53.650307
25.92,15.791787
34.56,8.845213
27.36,12.379808
23.04,18.095125
31.68,4.0534773
33.12,33.77762
33.12,7.9943476
50.4,35.891926
14.4,12.052371
31.68,2.5382428
28.8,38.396034
34.56,3.0376403
1.44,131.47208
33.12,27.546246
34.56,29.862705
20.16,5.4298983
27.36,16.278307
7.2,38.57651
25.92,28.738924
21.6,17.443815
36.0,13.535319
31.68,29.775896
31.68,32.885624
20.16,20.646448
47.52,35.174957
27.36,11.268379
38.88,30.43812
21.6,0.3954923
31.68,24.606104
34.56,7.8397217
34.56,10.926066
15.84,34.367268
21.6,32.90655
33.12,40.0796
21.6,26.192778
36.0,19.479397
36.0,8.031019
34.56,33.62432
33.12,39.164577
14.4,19.898369
31.68,1.6291093
27.36,12.893099
27.36,29.067791
33.12,10.238984
15.84,5.3254523
28.8,14.785555
27.36,10.86829
33.12,4.2344117
37.44,18.858187
27.36,16.095486
17.28,16.582485
18.72,32.513325
34.56,35.047188
33.12,34.46621
31.68,2.3775148
31.68,5.078942
33.12,29.955751
36.0,33.459724
27.36,16.662718
1.44,153.82603
27.36,3.7911692
28.8,19.25377
34.56,8.741932
15.84,6.528262
31.68,29.093262
33.12,27.872917
12.96,36.818325
33.12,0.1756235
33.12,9.133839
17.28,20.365135
31.68,26.28929
18.72,59.050213
37.44,27.744347
5.76,74.303825
21.6,32.65733
20.16,5.7151394
28.8,34.754665
31.68,28.616533
20.16,11.772344
43.2,48.33529
25.92,11.434672
28.8,29.839975
31.68,7.901866
27.36,52.092968
37.44,14.517929
38.88,32.61927
36.0,31.142569
5.76,8.638965
38.88,7.0346727
33.12,5.388767
25.92,39.74716
30.24,21.449915
25.92,24.408638
27.36,9.690454
33.12,3.0068154
27.36,18.87168
17.28,20.122004
1.44,128.07974
36.0,31.673685
20.16,0.9549421
28.8,12.0053425
27.36,22.305285
14.4,8.081972
28.8,25.469812
36.0,38.07414
28.8,23.069693
20.16,0.94360775
21.6,35.645138
31.68,0.78373486
15.84,16.494833
31.68,29.00529
33.12,26.06711
40.32,35.041206
36.0,7.6699047
36.0,32.01171
17.28,10.13636
34.56,28.641813
14.4,8.560857
30.24,0.9015439
18.72,13.730781
24.48,11.003819
36.0,7.465288
27.36,14.087944
31.68,6.4118104
31.68,41.683784
34.56,9.111325
18.72,15.516378
28.8,29.373959
40.32,24.127449
36.0,57.23666
38.88,15.930746
38.88,30.607677
38.88,33.414017
25.92,18.66574
25.92,21.14168
54.72,40.151794
33.12,27.627432
28.8,19.407848
36.0,28.404676
33.12,4.2811685
17.28,11.133479
27.36,19.709715
30.24,13.982095
27.36,17.413534
14.4,8.749558
33.12,6.696637
27.36,23.429234
27.36,29.809788
15.84,15.241058
38.88,45.83805
36.0,11.174239
34.56,1.5019928
14.4,17.767727
38.88,40.59826
36.0,41.079807
30.24,15.430419
20.16,26.828936
20.16,42.64262
23.04,5.85306
38.88,18.296535
37.44,43.068535
37.44,13.11663
28.8,9.035733
20.16,52.87699
5.76,44.10427
33.12,27.36286
34.56,43.043232
11.52,41.369312
31.68,27.39321
18.72,25.848787
7.2,44.38743
33.12,4.334352
30.24,6.6179633
36.0,8.463606
31.68,4.046204
54.72,38.8543
34.56,2.9786317
40.32,33.70273
25.92,53.261185
34.56,0.7856002
21.6,34.978695
28.8,27.30059
15.84,50.391323
38.88,38.567142
31.68,6.234068
25.92,20.943571
17.28,48.04472
30.24,31.950373
37.44,39.34223
34.56,19.783653
5.76,66.1757
5.76,72.67082
36.0,32.859768
33.12,40.066975
8.64,57.080223
37.44,16.442997
30.24,22.442247
18.72,10.167432
18.72,5.7065387
25.92,11.175503
30.24,26.101355
48.96,33.769
27.36,15.332831
12.96,6.9182744
27.36,18.463253
1.44,244.86523
25.92,48.42297
27.36,12.529552
37.44,35.49443
38.88,40.588432
36.0,40.827988
14.4,33.03375
36.0,12.230386
27.36,11.696258
20.16,35.84735
30.24,26.155552
30.24,28.115335
18.72,14.495555
27.36,27.86814
27.36,12.929942
40.32,34.376495
28.8,21.08786
25.92,14.85091
36.0,30.07164
4.32,139.48424
33.12,8.673813
14.4,4.766471
30.24,26.512197
43.2,39.17849
27.36,18.915663
27.36,20.73914
15.84,14.954437
23.04,29.639383
40.32,33.08818
20.16,15.394243
4.32,63.078888
20.16,17.782269
21.6,16.758654
33.12,28.81139
4.32,30.46431
18.72,14.389509
31.68,29.247723
23.04,32.371967
28.8,11.247443
36.0,38.96316
5.76,75.04075
21.6,21.946535
27.36,22.75402
33.12,43.895344
17.28,21.35349
34.56,34.96939
33.12,6.898561
5.76,83.48587
27.36,17.779375
33.12,43.738113
38.88,30.024115
38.88,43.778465
40.32,48.031532
36.0,9.246922
30.24,32.71118
1.44,91.74452
21.6,0.45551193
1.44,196.46
28.8,22.799976
31.68,31.781942
38.88,18.33818
38.88,18.159832
27.36,13.384283
36.0,14.300966
37.44,42.187626
36.0,42.080368
34.56,8.085585
20.16,18.553867
27.36,15.174945
18.72,16.5344
33.12,0.72813267
33.12,3.0341358
27.36,13.35112
24.48,23.159452
34.56,1.9917663
27.36,17.094418
12.96,10.5943575
33.12,41.91696
21.6,7.1127853
20.16,11.025894
33.12,28.325998
14.4,34.32611
18.72,0.022761842
14.4,21.00522
43.2,44.593594
27.36,24.38049
