FOC,PERC
[[21.037903]],37.44,43.809017
[[38.016384]],41.76,8.964594
[[23.601765]],34.56,31.707859
[[26.24442]],27.36,4.077418
[[27.545942]],30.24,8.90892
[[26.493546]],23.04,14.989342
[[39.019012]],33.12,17.811031
[[26.27747]],36.0,27.007029
[[34.07523]],31.68,7.5606985
[[25.340523]],27.36,7.381132
[[32.610435]],33.12,1.538537
[[20.14421]],17.28,16.575289
[[12.630571]],14.4,12.287697
[[24.155167]],23.04,4.840129
[[25.1004]],20.16,24.505959
[[25.047813]],25.92,3.3649178
[[27.556309]],28.8,4.31837
[[25.600773]],27.36,6.4299254
[[-1.7965174]],14.4,112.47582
[[33.14383]],36.0,7.9338074
[[33.243324]],34.56,3.8098295
[[33.619644]],36.0,6.6120996
[[32.944817]],34.56,4.673567
[[31.536734]],36.0,12.397962
[[32.162663]],23.04,39.594883
[[-0.70435137]],1.44,148.91328
[[20.177599]],17.28,16.768507
[[34.982483]],30.24,15.682815
[[32.497208]],30.24,7.464312
[[36.055443]],34.56,4.3270874
[[33.83886]],27.36,23.680038
[[24.012085]],23.04,4.219115
[[32.7409]],34.56,5.263609
[[15.291128]],15.84,3.4651012
[[14.314274]],25.92,44.77518
[[25.320957]],17.28,46.53331
[[27.964153]],34.56,19.085207
[[33.540863]],41.76,19.681839
[[24.516094]],18.72,30.962048
[[6.2103224]],28.8,78.43637
[[35.064743]],31.68,10.684162
[[25.63499]],27.36,6.304861
[[26.756409]],36.0,25.676643
[[15.357608]],14.4,6.6500573
[[27.386051]],33.12,17.312645
[[31.92691]],33.12,3.6023207
[[19.29227]],34.56,44.17746
[[27.2231]],25.92,5.0273943
[[4.1463175]],5.76,28.015324
[[6.0178976]],28.8,79.10452
[[10.675605]],28.8,62.931927
[[18.784584]],18.72,0.34500393
[[25.115059]],27.36,8.205196
[[20.175495]],17.28,16.756334
[[27.55138]],33.12,16.813463
[[6.608226]],30.24,78.14741
[[25.102448]],28.8,12.838721
[[23.789467]],30.24,21.331127
[[3.2372518]],4.32,25.06362
[[34.88824]],34.56,0.9497669
[[18.5155]],18.72,1.0924157
[[34.030716]],31.68,7.420188
[[33.606117]],33.12,1.4677485
[[26.914976]],25.92,3.8386424
[[39.82316]],41.76,4.638027
[[5.535866]],28.8,80.778244
[[26.695484]],44.64,40.198288
[[31.439709]],31.68,0.7584962
[[21.324749]],23.04,7.4446692
[[33.464905]],34.56,3.168682
[[14.150543]],15.84,10.665763
[[26.680794]],36.0,25.886684
[[24.980238]],30.24,17.393393
[[26.351421]],31.68,16.82001
[[30.2322]],33.12,8.719198
[[30.51094]],34.56,11.716032
[[14.027075]],18.72,25.069042
[[20.587376]],15.84,29.970804
[[20.140831]],25.92,22.296177
[[31.836329]],33.12,3.8758166
[[25.942673]],28.8,9.921273
[[32.946377]],34.56,4.669052
[[31.600426]],33.12,4.5880837
[[7.224801]],27.36,73.59357
[[22.165207]],20.16,9.946464
[[19.418755]],17.28,12.377048
[[32.084602]],44.64,28.12589
[[37.727627]],40.32,6.4294963
[[24.003136]],21.6,11.125627
[[37.003014]],40.32,8.226652
[[31.04817]],33.12,6.2555223
[[38.427776]],37.44,2.6382952
[[18.06175]],14.4,25.428825
[[24.52712]],25.92,5.373763
[[24.612877]],40.32,38.956158
[[19.444984]],21.6,9.976926
[[25.392574]],28.8,11.831337
[[27.357986]],34.56,20.839163
[[24.60536]],25.92,5.0719137
[[30.176155]],40.32,25.158346
[[7.3745747]],30.24,75.613174
[[28.072588]],38.88,27.796844
[[31.294703]],31.68,1.2162176
[[13.579099]],34.56,60.70863
[[33.227306]],33.12,0.3239959
[[26.849655]],27.36,1.8652978
[[34.72477]],33.12,4.845322
[[32.738075]],27.36,19.656706
[[4.311007]],4.32,0.20817474
[[19.784061]],34.56,42.75445
[[10.201212]],5.76,77.10436
[[31.46692]],28.8,9.260145
[[31.93566]],36.0,11.289835
[[35.344604]],33.12,6.716804
[[33.95606]],38.88,12.664461
[[29.933258]],36.0,16.852062
[[-2.867566]],21.6,113.27578
[[8.141604]],4.32,88.46306
[[36.979347]],40.32,8.285348
[[19.664743]],15.84,24.146107
[[12.859663]],15.84,18.81526
[[31.621387]],31.68,0.18501523
[[24.070683]],21.6,11.438343
[[9.354819]],5.76,62.41005
[[22.751984]],17.28,31.666569
[[24.128162]],27.36,11.812274
[[34.181515]],27.36,24.932434
[[35.37142]],33.12,6.797775
[[18.62415]],28.8,35.332813
[[32.14138]],31.68,1.4563763
[[30.241879]],28.8,5.0065255
[[27.167553]],27.36,0.70339054
[[28.935802]],34.56,16.273724
[[27.37374]],34.56,20.793581
[[21.134651]],36.0,41.292633
[[2.6107292]],21.6,87.91329
[[21.80729]],17.28,26.199585
[[27.58205]],27.36,0.81158525
[[12.173458]],5.76,111.34476
[[24.79903]],31.68,21.720234
[[0.91644573]],17.28,94.696495
[[34.228012]],18.72,82.84195
[[24.22846]],25.92,6.5260024
[[32.917732]],36.0,8.561854
[[19.72562]],18.72,5.3719068
[[3.3765254]],5.76,41.379772
[[24.907421]],36.0,30.81272
[[25.06464]],27.36,8.389475
[[16.583122]],17.28,4.032861
[[31.957005]],31.68,0.8743821
[[22.565224]],20.16,11.930674
[[15.899725]],15.84,0.37705055
[[25.90076]],18.72,38.35877
[[38.571205]],40.32,4.337288
[[25.79993]],30.24,14.682768
[[28.347544]],34.56,17.97586
[[16.274189]],27.36,40.51832
[[19.866777]],17.28,14.969772
[[25.71177]],27.36,6.0242376
[[28.229198]],33.12,14.766911
