Latitude,Longitude
29.612683,-95.004633
29.612683,-95.004733
29.612767,-95.004767
29.612783,-95.00485
29.61265,-95.004667
29.612717,-95.0047
29.612583,-95.00455
29.612717,-95.004617
29.612883,-95.00495
29.6126,-95.00475
29.6135,-95.004483
29.61355,-95.0042
29.61355,-95.0042
29.613583,-95.003567
29.613617,-95.002433
29.613667,-95.001233
29.613717,-95.0001
29.61375,-94.999017
29.613783,-94.9979
29.6138,-94.996817
29.6138,-94.995683
29.6138,-94.995683
29.6138,-94.99455
29.6138,-94.993433
29.61385,-94.992283
29.613883,-94.9911
29.613933000000007,-94.989817
29.614,-94.988383
29.614,-94.986867
29.613967,-94.985217
29.613967,-94.983533
29.613967,-94.98175
29.613967,-94.979883
29.61405,-94.978067
29.614117,-94.976217
29.614117,-94.974233
29.614183,-94.972233
29.614267,-94.970217
29.614317,-94.968233
29.614317,-94.9662
29.614333,-94.96415
29.614133,-94.96205
29.613633,-94.959967
29.612683,-94.9579
29.611333,-94.955967
29.60955,-94.954383
29.607517,-94.952917
29.60545,-94.951317
29.603333000000006,-94.949667
29.601183,-94.948
29.598967,-94.9463
29.5967,-94.944617
29.594467,-94.942917
29.5921,-94.941133
29.589717,-94.9393
29.58725,-94.9375
29.584783,-94.93555
29.582317,-94.93365
29.579783000000006,-94.931633
29.57725,-94.929667
29.574717,-94.927683
29.5722,-94.9257
29.56965,-94.92375
29.567133,-94.921867
29.564533,-94.919883
29.56195,-94.91795
29.55935,-94.916
29.55935,-94.916
29.556717,-94.914017
29.554167,-94.912033
29.551583,-94.909983
29.548967,-94.90795
29.546383,-94.905933
29.5438,-94.903883
29.5412,-94.90195
29.538633,-94.900017
29.536033000000003,-94.898083
29.533433,-94.896117
29.530833,-94.894133
29.528283,-94.892133
29.525717,-94.890133
29.523183000000003,-94.88815
29.520567,-94.886117
29.51795,-94.884083
29.515433,-94.8821
29.512833,-94.88015
29.510233000000003,-94.878183
29.507683,-94.876233
29.505167,-94.874267
29.502583,-94.872267
29.5,-94.8703
29.49735,-94.868367
29.494767,-94.866383
29.49205,-94.8646
29.489183,-94.8631
29.4863,-94.861717
29.483433,-94.860283
29.480633,-94.85885
29.477767,-94.857417
29.47495,-94.855967
29.4721,-94.854483
29.469233000000006,-94.853067
29.466383,-94.85165
29.4635,-94.850167
29.460683000000003,-94.848767
29.457817,-94.847317
29.45495,-94.845867
29.4521,-94.844417
29.449233000000003,-94.842983
29.4464,-94.841567
29.443533,-94.8401
29.44065,-94.838633
29.437767,-94.837183
29.434883000000006,-94.83575
29.432033,-94.834317
29.429167,-94.832883
29.426367,-94.83145
29.423533000000006,-94.83
29.420667,-94.828567
29.417817,-94.827117
29.414933,-94.825667
29.4121,-94.8243
29.409217,-94.822883
29.406317,-94.821467
29.403417,-94.820067
29.40055,-94.818617
29.397683,-94.81705
29.39485,-94.815617
29.391933,-94.814117
29.38905,-94.81265
29.38615,-94.811233
29.383267,-94.809833
29.380383,-94.808383
29.377517,-94.80695
29.3746,-94.805467
29.371683,-94.803967
29.368783,-94.802533
29.3661,-94.80075
29.36385,-94.798583
29.361683000000006,-94.796217
29.359533000000006,-94.79385
29.359533000000006,-94.79385
29.357317,-94.791533
29.354967,-94.789167
29.35255,-94.786683
29.350133000000003,-94.784167
29.347733,-94.781467
29.3459,-94.778517
29.34455,-94.77545
29.34335,-94.772417
29.34245,-94.76935
29.342233,-94.76635
29.342417,-94.763483
29.342667,-94.760467
29.342917,-94.75725
29.343267,-94.75385
29.343533,-94.750383
29.343883,-94.74675
29.344267,-94.743017
29.344533,-94.7392
29.344783000000003,-94.735267
29.344983000000006,-94.731183
29.3452,-94.727
29.345383,-94.722633
29.345583,-94.7182
29.345317,-94.713717
29.344533,-94.709317
29.343667,-94.7049
29.342833,-94.700533
29.341917,-94.696067
29.341017,-94.691533
29.339567,-94.687217
29.337633,-94.683283
29.335633,-94.679417
29.33355,-94.675467
29.331467,-94.671583
29.329467,-94.6677
29.32745,-94.6638
29.3255,-94.659883
29.323583000000006,-94.6561
29.321417,-94.6524
29.319333,-94.648667
29.31735,-94.644883
29.3153,-94.6411
29.313317,-94.637333
29.311367,-94.633717
29.309483,-94.629967
29.3076,-94.626433
29.3058,-94.622917
29.30405,-94.619733
29.301917,-94.617167
29.299867,-94.614783
29.298083,-94.61245
29.2963,-94.610183
29.294533,-94.607917
29.2928165,-94.6042665
29.291433,-94.6007
29.29045,-94.598267
29.289467,-94.595867
29.288533,-94.593367
29.28755,-94.590883
29.286033000000003,-94.588817
29.286033000000003,-94.588817
29.284033,-94.587
29.2818,-94.585417
29.279383000000006,-94.583667
29.276783,-94.581683
29.274133000000006,-94.5794
29.271367,-94.577
29.26845,-94.574533
29.265483000000003,-94.571917
29.262133,-94.569883
29.258467,-94.56855
29.254667,-94.567317
29.2509,-94.56615
29.247483000000006,-94.564133
29.244483,-94.561517
29.241533,-94.55875
29.2385,-94.555933
29.235467,-94.553117
29.232433,-94.550317
29.229383,-94.547383
29.226283,-94.544483
29.223217,-94.54155
29.220167,-94.53855
29.217167,-94.535617
29.21405,-94.532633
29.21085,-94.5295
29.207567,-94.526133
29.20415,-94.522683
29.200667,-94.519133
29.19715,-94.515617
29.193533,-94.511917
29.189867,-94.508167
29.186133,-94.504383
29.182417,-94.500467
29.1787,-94.496667
29.174983,-94.49265
29.171233,-94.488633
29.167467,-94.4846
29.163667,-94.480583
29.15985,-94.476583
29.156133,-94.472583
29.1523,-94.468583
29.148533,-94.4645
29.144717,-94.460467
29.1409,-94.456483
29.137117,-94.452433
29.133367,-94.448533
29.129667,-94.444433
29.1259,-94.440433
29.122167,-94.4364
29.118433000000003,-94.43235
29.11475,-94.428483
29.111,-94.424533
29.1068,-94.42125
29.101867,-94.419783
29.09675,-94.4193
29.091567,-94.418917
29.08645,-94.418467
29.081183000000006,-94.418033
29.075867,-94.417717
29.075867,-94.417717
29.070533,-94.417417
29.065167,-94.417667
29.059767,-94.418017
29.054483,-94.4179
29.049033,-94.417833
29.043617,-94.418067
29.0382,-94.418217
29.03275,-94.4184
29.027317,-94.4188
29.02195,-94.419267
