Latitude,Longitude
9.209583,-79.929833
9.209632,-79.930217
9.209715,-79.9304
9.209767,-79.930667
9.209967,-79.931283
9.210583,-79.93205
9.21165,-79.932767
9.213133,-79.933583
9.214965,-79.93418299999998
9.217083,-79.934333
9.2194,-79.9341
9.221783,-79.93378299999998
9.224167,-79.93346700000002
9.226567,-79.933017
9.228617,-79.932
9.23025,-79.93046700000002
9.231632,-79.9287
9.232933,-79.926917
9.234317,-79.925217
9.235683,-79.92361700000002
9.237033,-79.922117
9.2383,-79.920767
9.240517,-79.918367
9.24155,-79.917283
9.242617,-79.916167
9.244567,-79.914067
9.247183,-79.911767
9.248017,-79.911233
9.24955,-79.91046700000003
9.250883,-79.910067
9.251667,-79.90991700000002
9.253133,-79.9098
9.253133,-79.9098
9.25435,-79.9098
9.254933,-79.90985
9.2555,-79.90991700000002
9.256067,-79.90996700000002
9.257133,-79.910083
9.25765,-79.91015
9.25815,-79.910217
9.25955,-79.91055
9.260202,-79.910733
9.260583,-79.9108
9.26165,-79.910883
9.262285,-79.911
9.262633,-79.9111
9.263333,-79.91125
9.263617,-79.91126700000002
9.263917,-79.9113
9.264217,-79.91131700000003
9.264533,-79.911367
9.264817,-79.911383
9.265133,-79.911467
9.265733,-79.91153299999998
9.2662,-79.9116
9.266317,-79.911617
9.266333,-79.911633
9.2663,-79.911617
9.2662,-79.9116
9.2662,-79.9116
9.266317,-79.911617
9.26655,-79.91165
9.26685,-79.9117
9.267283,-79.911783
9.26885,-79.91199999999998
9.269183,-79.91205
9.270233,-79.91225
9.270467,-79.912267
9.270583,-79.912267
9.2706,-79.912267
9.27055,-79.912267
9.27055,-79.912267
9.27055,-79.91225
9.270567,-79.912267
9.270583,-79.91225
9.270717,-79.91225
9.271367,-79.912367
9.272215,-79.9125
9.272583,-79.91256700000002
9.273215,-79.912667
9.274,-79.9128
9.274467,-79.912867
9.274617999999998,-79.912883
9.2748,-79.91291700000002
9.274833,-79.9129
9.2747835,-79.9129084
9.274733,-79.912883
9.274702,-79.912883
9.274702,-79.912883
9.274833,-79.9129
9.274983,-79.912933
9.275233,-79.912983
9.27565,-79.91305
9.277533,-79.913333
9.2786,-79.913483
9.279017,-79.913533
9.279583,-79.91363299999998
9.2803,-79.913733
9.2812,-79.913883
9.282417,-79.91408299999998
9.283883,-79.914283
9.28545,-79.914467
9.287083,-79.91466700000002
9.288783,-79.91493299999998
9.290517,-79.915183
9.292368,-79.91545
9.294267,-79.91573299999997
9.296183,-79.916033
9.298132,-79.9163
9.30005,-79.916617
9.302017,-79.916917
9.304033,-79.91725
9.30605,-79.917583
9.307983,-79.91795
9.310167,-79.9182
9.312217,-79.91835
9.314317,-79.91851700000002
9.316433,-79.918633
9.318567,-79.918717
9.320733,-79.9188
9.322867,-79.918883
9.324983,-79.91896700000002
9.327133,-79.91905
9.329267,-79.919117
9.331433,-79.919167
9.333583,-79.919217
9.33575,-79.91923299999998
9.337882,-79.919267
9.340067,-79.9193
9.342283,-79.919283
9.344483,-79.919267
9.3467,-79.91923299999998
9.348933,-79.9192
9.351367,-79.91915
9.353933,-79.919133
9.3568,-79.919117
9.359933,-79.9191
9.363285,-79.919083
9.366733,-79.919033
9.370367,-79.91901700000003
9.374083,-79.91896700000002
9.3779,-79.91895
9.381767,-79.91891700000002
9.385683,-79.9189
9.389583,-79.918883
9.393583,-79.9188
9.397618,-79.918683
9.401702,-79.91845
9.405817,-79.91815
9.41,-79.91785
9.41415,-79.917517
9.4184,-79.9172
9.42265,-79.916883
9.426883,-79.916567
9.431117,-79.91623299999998
9.435267,-79.9159
9.439467,-79.915533
9.443633,-79.91515
9.4478,-79.91471700000002
9.45195,-79.91421700000002
9.4561,-79.91375
9.460167,-79.913333
9.464317,-79.9129
9.468452,-79.91238299999998
9.47255,-79.912133
9.4766,-79.91205
9.480533,-79.9122
9.4845,-79.91256700000002
9.488567,-79.91296700000002
9.492583,-79.9136
9.496583,-79.9144
9.500617,-79.9153
9.504617,-79.916167
9.5087,-79.917017
9.512798,-79.917833
9.5169,-79.918683
9.520983,-79.919533
9.525033,-79.92048299999998
9.529017,-79.921433
9.533067,-79.9224
9.533067,-79.9224
9.537083,-79.923383
9.541067,-79.924467
9.545048,-79.925533
9.549083,-79.926467
9.5531,-79.927317
9.5572,-79.92815
9.5613,-79.928983
9.565368,-79.92985
9.569383,-79.93083299999998
9.573383,-79.93186700000003
9.57735,-79.932867
9.581383,-79.9339
9.585417,-79.934917
9.58945,-79.935967
9.5935,-79.937067
9.5975,-79.93803299999998
9.601517,-79.93911700000002
9.60525,-79.94068299999998
9.608867,-79.942433
9.6125,-79.94426700000002
9.616183,-79.946083
9.6198,-79.947917
9.623517,-79.94975
9.627267,-79.951583
9.631017,-79.953417
9.634767,-79.95523299999998
9.638517,-79.957167
9.6424,-79.958883
9.646535,-79.9603
9.650817,-79.961417
9.655133,-79.9625
9.659533,-79.96346700000002
9.663917,-79.96415
9.668417,-79.964667
9.672967,-79.965
9.677533,-79.96525
9.6821,-79.9655
9.686667,-79.96575
9.691183,-79.965967
9.695783,-79.966233
9.700367,-79.966483
9.704983,-79.9667
9.709567,-79.96695
9.714133,-79.967333
9.718617,-79.96771700000002
9.723215,-79.968067
9.7278,-79.96845
9.7324,-79.9688
9.737,-79.969183
9.7416,-79.9696
9.746132,-79.97
9.750767,-79.970433
9.7554,-79.970867
9.760035,-79.9713
9.764683,-79.97175
9.769233,-79.972167
9.773817,-79.9728
9.7784,-79.97336700000002
9.783,-79.97395
9.787633,-79.9745
9.792183,-79.975
9.796817,-79.9755
9.801467,-79.976017
9.8061,-79.97653299999998
9.810783,-79.977067
9.8156,-79.97765
9.820535,-79.97828299999998
9.825433,-79.97891700000002
9.830465,-79.97958299999998
9.83555,-79.980283
9.840633,-79.98101700000002
9.84575,-79.98175
9.850867,-79.9825
9.8559,-79.983267
9.861033,-79.98401700000002
9.866167,-79.984767
9.871317,-79.98555
9.876467,-79.9863
9.881517,-79.98706700000002
9.886667,-79.98786700000002
9.891833,-79.988567
9.891833,-79.988567
9.897017,-79.989233
9.902183,-79.989933
9.907367,-79.990617
9.912483,-79.99131700000002
9.917667,-79.992017
9.92285,-79.99275
9.928033,-79.993483
9.933233,-79.994233
9.938433,-79.9949
9.943567,-79.9955
