Latitude,Longitude
29.412717,32.609517
29.203368,32.702952
28.994019,32.796387
28.87315,32.850333
28.765,32.896667
28.568891,33.021463
28.372783,33.14626
28.251667,33.223333
28.146667,33.32
28.091667,33.398333
27.938283,33.584198
27.808333,33.741667
27.644363,33.91508
27.49,34.078333
27.282603,34.17517
27.075205,34.272006
26.867808,34.368843
26.660411,34.46568
26.453013,34.562516
26.169551,34.694869
25.966226,34.796293
25.762901,34.897717
25.559576,34.999141
25.35625,35.100565
25.152925,35.201989
24.9496,35.303413
24.67423,35.440775
24.475466,35.554951
24.276702,35.669127
24.077938,35.783303
23.879174,35.897479
23.68041,36.011655
23.481646,36.125831
23.282882,36.240007
23.084118,36.354183
22.885354,36.468359
22.68659,36.582535
22.487826,36.696711
22.280329,36.815904
22.08738,36.939605
21.89443,37.063307
21.701481,37.187008
21.508531,37.31071
21.315582,37.434411
21.122632,37.558113
20.929683,37.681814
20.803731,37.762563
20.619482,37.889563
20.435233,38.016562
20.250984,38.143562
20.066736,38.270561
19.882487,38.397561
19.698238,38.52456
19.513989,38.65156
19.32974,38.778559
19.145491,38.905559
18.961242,39.032559
18.776993,39.159558
18.546174,39.318658
18.353174,39.424975
18.160175,39.531292
17.967175,39.637609
17.774176,39.743926
17.581176,39.850243
17.388177,39.95656
17.195177,40.062877
17.002177,40.169194
16.721074,40.324044
16.557449,40.457647
16.393823,40.591249
16.230198,40.724852
16.066572,40.858454
15.902947,40.992057
15.739322,41.12566
15.575696,41.259262
15.365149,41.431177
15.219832,41.567945
15.074515,41.704714
14.893533,41.87505
14.691772,41.976918
14.49001,42.078786
14.288249,42.180653
14.086487,42.282521
13.884726,42.384389
13.638083,42.508917
13.503083,42.5834
13.433067,42.693883
13.306709,42.884722
13.205,43.038333
12.903333,43.185
12.6,43.333333
12.531667,43.46
12.438072,43.668893
12.344476,43.877787
12.250881,44.08668
12.157286,44.295574
12.063691,44.504467
11.970095,44.713361
11.841666,45
11.91045,45.218908
11.979234,45.437815
12.048019,45.656723
12.116803,45.875631
12.185587,46.094539
12.254371,46.313446
12.323156,46.532354
12.39194,46.751262
12.460724,46.97017
12.529508,47.189077
12.598293,47.407985
12.667077,47.626893
12.735861,47.845801
12.804645,48.064708
12.893033,48.346004
12.923941,48.436465
12.992091,48.65619
13.060241,48.875916
13.12839,49.095641
13.226667,49.4125
13.29513,49.63278
13.363594,49.853061
13.432057,50.073341
13.500521,50.293622
13.568984,50.513902
13.637448,50.734182
13.705911,50.954463
13.774375,51.174743
13.842838,51.395024
13.911302,51.615304
13.979765,51.835584
14.048228,52.055865
14.116692,52.276145
14.185155,52.496426
14.253619,52.716706
14.341667,53
14.23712,53.204454
14.132573,53.408908
14.028026,53.613362
13.923479,53.817817
13.818932,54.022271
13.714385,54.226725
13.609839,54.431179
13.505292,54.635633
13.400745,54.840087
13.296198,55.044541
13.191651,55.248995
13.087104,55.45345
12.982557,55.657904
12.87801,55.862358
12.773463,56.066812
12.636748,56.334175
12.560127,56.530287
12.483506,56.7264
12.406884,56.922512
12.330263,57.118625
12.253642,57.314737
12.177021,57.51085
12.108466,57.686316
12.012362,57.893609
11.916258,58.100902
11.820154,58.308196
11.724051,58.515489
11.627947,58.722782
11.531843,58.930075
11.435739,59.137368
11.339635,59.344662
11.207796,59.629035
11.101319,59.830211
10.994841,60.031387
10.888364,60.232563
10.781887,60.433739
10.675409,60.634915
10.568932,60.836091
10.462455,61.037267
10.355977,61.238443
10.2495,61.439619
10.143023,61.640794
10.036545,61.84197
9.899418,62.101056
9.845403,62.299522
9.791387,62.497987
9.737372,62.696453
9.683356,62.894918
9.629341,63.093384
9.575326,63.29185
9.52131,63.490315
9.467295,63.688781
9.389903,63.973137
9.338819,64.187713
9.287735,64.402288
9.236652,64.616864
9.185568,64.831439
9.134484,65.046015
9.0834,65.26059
9.032316,65.475166
8.981233,65.689742
8.930149,65.904317
8.879065,66.118893
8.827981,66.333468
8.787341,66.504176
8.744393,66.721951
8.701444,66.939725
8.658496,67.1575
8.615547,67.375275
8.572599,67.593049
8.529651,67.810824
8.486702,68.028599
8.443754,68.246373
8.400806,68.464148
8.357857,68.681923
8.314909,68.899697
8.27196,69.117472
8.240776,69.275596
8.23132,69.488858
8.221865,69.70212
8.212409,69.915381
8.202953,70.128643
8.193498,70.341905
8.184042,70.555167
8.174587,70.768429
8.165131,70.981691
8.152969,71.255989
8.061122,71.436771
7.969276,71.617553
7.877429,71.798335
7.785583,71.979117
7.693736,72.159899
7.60189,72.340681
7.510043,72.521463
7.418197,72.702245
7.303333,72.928333
7.256736,73.149585
7.210139,73.370836
7.163541,73.592088
7.116944,73.813339
7.070347,74.034591
7.02375,74.255842
6.977153,74.477094
6.930555,74.698345
6.883958,74.919597
6.837361,75.140848
6.790764,75.3621
6.744167,75.583351
6.697569,75.804603
6.650972,76.025854
6.604375,76.247106
6.557778,76.468357
6.511181,76.689609
6.464583,76.91086
6.417986,77.132112
6.371389,77.353363
6.324792,77.574615
6.278194,77.795866
6.231597,78.017118
6.187983,78.224206
6.148004,78.414033
6.108025,78.60386
6.068046,78.793686
6.028067,78.983513
5.988088,79.17334
5.94811,79.363167
5.908131,79.552993
5.868152,79.74282
5.828173,79.932647
5.788194,80.122474
5.748215,80.3123
5.708333,80.501667
5.708333,80.691667
5.717596,80.91724
5.726859,81.142813
5.736122,81.368386
5.745385,81.593959
5.754648,81.819532
5.763911,82.045105
5.773174,82.270678
5.782437,82.496251
5.7917,82.721824
5.800963,82.947397
5.810226,83.17297
5.819489,83.398543
5.828752,83.624116
5.838015,83.849689
5.847278,84.075263
5.856541,84.300836
5.865804,84.526409
5.875067,84.751982
5.884329,84.977555
5.893592,85.203128
5.902855,85.428701
5.912118,85.654274
5.921381,85.879847
5.930231,86.095354
5.918705,86.320838
5.90718,86.546321
5.895654,86.771805
5.884128,86.997289
5.872602,87.222773
5.861077,87.448256
5.849551,87.67374
5.838025,87.899224
5.8265,88.124708
