Latitude,Longitude
25.76595,-80.152083
25.622619,-79.99781
25.541378,-79.910367
25.34065,-79.876626
25.139922,-79.842886
24.980605,-79.816106
24.882842,-79.984475
24.78508,-80.152844
24.688249,-80.319608
24.510115,-80.499987
24.452336,-80.688807
24.394558,-80.877628
24.336779,-81.066448
24.301146,-81.182898
24.218921,-81.382375
24.136696,-81.581852
24.042223,-81.811041
23.959923,-82.009899
23.877623,-82.208756
23.795323,-82.407614
23.713023,-82.606471
23.630723,-82.805329
23.549419,-83.001781
23.467344,-83.200152
23.38527,-83.398522
23.303195,-83.596893
23.256742,-83.709167
23.130559,-83.888752
23.004376,-84.068338
22.878193,-84.247923
22.75201,-84.427508
22.636667,-84.591667
22.486012,-84.733364
22.335357,-84.875061
22.184702,-85.016758
22.02,-85.171667
21.820426,-85.164326
21.710087,-85.160268
21.466667,-85.133333
21.30118,-85.013674
21.135692,-84.894016
20.970205,-84.774357
20.804717,-84.654699
20.63923,-84.53504
20.419196,-84.375941
20.274341,-84.248413
20.129486,-84.120885
19.984631,-83.993357
19.839776,-83.865829
19.694921,-83.738301
19.550066,-83.610773
19.435265,-83.509704
19.262644,-83.414536
19.090024,-83.319369
18.917403,-83.224201
18.744782,-83.129033
18.572162,-83.033866
18.398529,-82.93814
18.23495,-82.80887
18.071371,-82.679599
17.907793,-82.550329
17.744214,-82.421059
17.580635,-82.291788
17.419964,-82.164816
17.256705,-82.035799
17.093447,-81.906781
16.930188,-81.777764
16.76693,-81.648747
16.603671,-81.51973
16.441399,-81.391492
16.286716,-81.296272
16.132033,-81.201052
15.977351,-81.105832
15.846227,-81.025115
15.767493,-80.853501
15.688759,-80.681886
15.610025,-80.510272
15.514602,-80.302282
15.335415,-80.23786
15.156229,-80.173438
14.977042,-80.109016
14.797856,-80.044594
14.535383,-79.950229
14.335915,-79.911425
14.136447,-79.872621
13.936979,-79.833818
13.737511,-79.795014
13.531895,-79.755014
13.337229,-79.754447
13.142562,-79.753881
12.947896,-79.753314
12.75323,-79.752748
12.558563,-79.752181
12.358939,-79.7516
12.15942,-79.759135
11.9599,-79.76667
11.760381,-79.774205
11.560862,-79.781741
11.361342,-79.789276
11.161717,-79.796815
10.962284,-79.806335
10.762851,-79.815854
10.563419,-79.825374
10.363986,-79.834893
10.164553,-79.844413
9.96512,-79.853932
9.765687,-79.863452
9.564477,-79.873056
9.486244,-79.90173
9.438667,-79.919167
9.388333,-79.919167
