Latitude,Longitude
36.017367,-5.152683
36.079335,-4.771519
36.141304,-4.390354
36.203272,-4.00919
36.265241,-3.628025
36.327209,-3.246861
36.389177,-2.865697
36.451146,-2.484532
36.513114,-2.103368
36.575083,-1.722203
36.637051,-1.341039
36.699019,-0.959875
36.772999,-0.50483
36.800495,-0.114282
36.827992,0.276266
36.855488,0.666813
36.882984,1.057361
36.91048,1.447909
36.937977,1.838457
36.965473,2.229005
36.992969,2.619552
37.020465,3.0101
37.047962,3.400648
37.075458,3.791196
37.102954,4.181744
37.13045,4.572291
37.157947,4.962839
37.185443,5.353387
37.212939,5.743935
37.240435,6.134483
37.257119,6.37145
37.260661,6.764676
37.263214,7.048157
37.330794,7.441404
37.398374,7.83465
37.465953,8.227897
37.524985,8.571401
37.535872,8.955417
37.546759,9.339434
37.557646,9.72345
37.566667,10.041667
37.566667,10.221667
37.51923,10.459721
37.471793,10.697774
37.424357,10.935828
37.385,11.133333
37.313333,11.286667
37.182182,11.643333
37.04,12.03
36.971139,12.409405
36.902279,12.78881
36.833418,13.168214
36.764558,13.547619
36.695697,13.927024
36.654778,14.152477
36.568438,14.43746
36.482097,14.722444
36.412352,14.952651
36.317827,15.318523
36.223302,15.684395
36.128777,16.050267
36.034252,16.416139
35.939727,16.782012
35.845202,17.147884
35.750677,17.513756
35.656152,17.879628
35.561627,18.2455
35.467102,18.611372
35.372577,18.977244
35.240072,19.490124
35.132589,19.829939
35.025105,20.169755
34.917622,20.50957
34.810139,20.849385
34.702656,21.189201
34.595172,21.529016
34.487689,21.868831
34.380206,22.208647
34.272722,22.548462
34.165239,22.888277
34.057756,23.228093
33.949253,23.571131
33.861479,23.910076
33.773705,24.249021
33.68593,24.587965
33.598156,24.92691
33.510382,25.265855
33.422608,25.6048
33.334833,25.943745
33.247059,26.28269
33.159285,26.621634
33.071511,26.960579
32.983736,27.299524
32.895962,27.638469
32.811519,27.964551
32.704278,28.289211
32.597038,28.613871
32.489797,28.938531
32.382556,29.263191
32.275316,29.587851
32.168075,29.912511
32.060834,30.237171
31.953594,30.561831
31.846353,30.886491
31.782772,31.078976
31.739874,31.44348
31.706554,31.726593
31.596456,32.024193
31.528333,32.208333
31.408883,32.3266
