Latitude,Longitude
29.275083,32.676983
28.87315,32.850333
28.765,32.896667
28.502069,33.063986
28.251667,33.223333
28.146667,33.32
28.091667,33.398333
27.808333,33.741667
27.358008,33.953529
27.098685,34.089268
26.839361,34.225008
26.580038,34.360747
26.320714,34.496486
26.124804,34.599033
25.859786,34.757555
25.594767,34.916077
25.329749,35.074598
25.06473,35.23312
24.692542,35.455746
24.427316,35.59587
24.16209,35.735993
23.896865,35.876117
23.631639,36.01624
23.366413,36.156364
23.040527,36.328535
22.781647,36.494505
22.522766,36.660475
22.263886,36.826446
22.005006,36.992416
21.746125,37.158386
21.487245,37.324356
21.228365,37.490326
20.969485,37.656296
20.80373,37.762563
20.556341,37.945465
20.308952,38.128367
20.061563,38.311269
19.814173,38.494171
19.566784,38.677073
19.329522,38.852488
19.083062,39.032055
18.836602,39.211622
18.590142,39.39119
18.343682,39.570757
18.097222,39.750324
17.842158,39.93616
17.600612,40.087012
17.359066,40.237865
17.11752,40.388717
16.861371,40.548689
16.631965,40.705705
16.40256,40.862721
16.173154,41.019737
15.943748,41.176753
15.714343,41.333769
15.420097,41.535165
15.216738,41.666429
15.013378,41.797693
14.893533,41.87505
14.621529,42.012383
14.349524,42.149716
14.07752,42.287049
13.805516,42.424382
13.638083,42.508917
13.503083,42.5834
13.433067,42.693883
13.205,43.038333
12.903333,43.185
12.6,43.333333
12.531667,43.46
12.405487,43.741619
12.279306,44.023239
12.153126,44.304858
12.026946,44.586477
11.841666,45
11.934397,45.29512
12.027129,45.59024
12.11986,45.88536
12.212591,46.18048
12.305323,46.4756
12.398054,46.77072
12.490786,47.06584
12.583517,47.36096
12.676248,47.656081
12.76898,47.951201
12.893033,48.346004
12.923941,48.436465
13.015817,48.732687
13.107693,49.02891
13.226667,49.4125
13.318966,49.709471
13.411265,50.006441
13.503564,50.303412
13.595863,50.600383
13.688161,50.897353
13.78046,51.194324
13.872759,51.491294
13.965058,51.788265
14.057357,52.085236
14.149656,52.382206
14.241955,52.679177
14.341667,53
14.225653,53.288002
14.109639,53.576004
13.993625,53.864006
13.87761,54.152008
13.761596,54.440009
13.645582,54.728011
13.529568,55.016013
13.413554,55.304015
13.29754,55.592017
13.203699,55.824974
13.093023,56.104767
12.982348,56.38456
12.871672,56.664353
12.760996,56.944146
12.650321,57.223939
12.539645,57.503732
12.42897,57.783525
12.318294,58.063318
12.262535,58.204279
12.151008,58.478829
12.039481,58.753379
11.927954,59.027929
11.816427,59.302479
11.7049,59.577028
11.593373,59.851578
11.481846,60.126128
11.370319,60.400678
11.258792,60.675228
11.147265,60.949778
11.035738,61.224328
10.887586,61.589038
10.76905,61.872295
10.650515,62.155552
10.531979,62.438808
10.413444,62.722065
10.294908,63.005322
10.176373,63.288579
10.057837,63.571835
9.939301,63.855092
9.815391,64.151193
9.72492,64.444
9.634448,64.736807
9.543977,65.029614
9.453506,65.32242
9.363034,65.615227
9.272563,65.908034
9.182092,66.200841
9.091621,66.493648
9.001149,66.786455
8.910678,67.079262
8.820207,67.372068
8.737835,67.638661
8.675489,67.924409
8.613144,68.210157
8.550798,68.495904
8.488453,68.781652
8.426107,69.0674
8.363762,69.353148
8.301416,69.638896
8.23907,69.924643
8.176725,70.210391
8.114379,70.496139
8.052034,70.781887
8.012823,70.961601
7.930878,71.188756
7.848933,71.41591
7.766988,71.643065
7.685043,71.87022
7.603098,72.097375
7.521153,72.324529
7.439207,72.551684
7.357262,72.778839
7.303333,72.928333
7.240541,73.22648
7.177749,73.524626
7.114957,73.822773
7.052165,74.12092
6.989373,74.419067
6.926582,74.717213
6.86379,75.01536
6.800998,75.313507
6.738206,75.611654
6.675414,75.9098
6.612622,76.207947
6.54983,76.506094
6.487038,76.804241
6.424246,77.102387
6.361454,77.400534
6.298663,77.698681
6.235871,77.996827
6.173079,78.294974
6.110287,78.593121
6.047495,78.891268
5.984703,79.189414
5.921911,79.487561
5.859119,79.785708
5.796327,80.083855
5.708333,80.501667
5.708333,80.691667
5.679274,80.999514
5.650215,81.30736
5.621156,81.615207
5.592097,81.923053
5.563038,82.2309
5.533979,82.538747
5.50492,82.846593
5.475861,83.15444
5.446801,83.462286
5.417742,83.770133
5.388683,84.07798
5.359908,84.382821
5.372456,84.688395
5.385004,84.993969
5.397552,85.299542
5.4101,85.605116
5.422648,85.91069
5.435197,86.216264
5.447745,86.521838
5.460293,86.827411
5.472841,87.132985
5.485389,87.438559
5.497937,87.744133
5.51064,88.053477
5.544084,88.359286
5.577528,88.665094
5.610972,88.970903
5.644416,89.276712
5.67786,89.582521
5.711304,89.888329
5.744748,90.194138
5.778192,90.499947
5.811637,90.805756
5.845081,91.111564
5.878525,91.417373
5.910952,91.713885
5.946091,92.01972
5.98123,92.325556
6.016369,92.631391
6.051508,92.937226
6.086647,93.243062
6.121786,93.548897
6.156925,93.854732
6.192064,94.160568
6.227203,94.466403
6.262342,94.772239
6.3,95.1
6.273399,95.174416
6.17002,95.46228
6.066641,95.750144
5.963262,96.038008
5.859882,96.325872
5.756503,96.613736
5.653124,96.9016
5.549745,97.189463
5.446366,97.477327
5.393333,97.625
5.216367,97.87358
5.039402,98.12216
4.862436,98.370739
4.685471,98.619319
4.508505,98.867899
4.331539,99.116479
4.154574,99.365058
3.968333,99.626667
3.7861,99.871101
3.644952,100.060427
3.424031,100.270263
3.20311,100.480099
2.906667,100.761667
2.813333,100.943333
2.673473,101.214062
2.58,101.395
2.398333,101.636667
2.135,101.976667
2.127482,101.985012
1.9,102.236667
1.767449,102.510882
1.633333,102.788333
1.395,103.166667
1.274563,103.446357
1.184711,103.655019
1.257383,103.781167
