stw,draft,foc,ws,wd,swh,vslHeading,dt,lat,lon
16.25,12.95,62.0,11.27,352.4,4.12,317.0,2019-11-06 17:54:00,-33.510633,17.982767000000006
16.11,12.95,63.0,10.49,355.6,4.12,317.0,2019-11-06 17:55:00,-33.507433,17.979167
15.95,12.95,62.0,10.6,357.4,4.12,317.0,2019-11-06 17:56:00,-33.504283,17.97565
15.86,12.95,61.0,10.49,10.300000000000011,4.12,317.0,2019-11-06 17:57:00,-33.501166999999995,17.972217
15.85,12.95,63.0,12.66,5.699999999999987,0.0,314.0,2019-11-06 17:58:00,-33.49815,17.968532999999994
16.0,12.95,63.0,12.19,2.300000000000012,0.0,312.0,2019-11-06 17:59:00,-33.495233,17.96475
16.0,12.95,63.0,12.19,2.300000000000012,0.0,312.0,2019-11-06 17:59:15,-33.495233,17.96475
16.22,12.95,61.59,12.4,8.0,0.0,313.0,2019-11-06 18:00:00,-33.492183000000004,17.960967
16.19,12.95,54.63,10.96,2.6000000000000227,0.0,314.0,2019-11-06 18:01:00,-33.489067,17.957217
16.21,12.95,60.0,9.67,6.600000000000023,0.0,314.0,2019-11-06 18:02:00,-33.485966999999995,17.95345
16.25,12.95,62.0,11.16,2.8999999999999773,0.0,315.0,2019-11-06 18:03:00,-33.482917,17.949783
16.33,12.95,61.0,11.58,357.3,0.0,315.0,2019-11-06 18:04:00,-33.479766999999995,17.94605
15.9,12.95,62.0,10.6,7.399999999999977,0.0,315.0,2019-11-06 18:05:00,-33.4767,17.942417000000006
16.09,12.95,61.0,12.66,9.100000000000025,0.0,314.0,2019-11-06 18:06:00,-33.473583000000005,17.938767000000006
16.11,12.95,61.0,12.66,12.399999999999974,0.0,312.0,2019-11-06 18:07:00,-33.470617,17.934967
16.04,12.95,61.59,13.07,3.0,0.0,312.0,2019-11-06 18:08:00,-33.467683,17.931117
15.89,12.95,64.0,11.58,1.6999999999999886,0.0,314.0,2019-11-06 18:09:00,-33.4647,17.92745
16.13,12.95,62.0,10.85,0.30000000000001137,0.0,315.0,2019-11-06 18:10:00,-33.46165,17.923783
16.12,12.95,61.0,12.3,21.899999999999977,0.0,313.0,2019-11-06 18:11:00,-33.458617,17.92005
16.13,12.95,63.0,10.08,9.600000000000025,0.0,312.0,2019-11-06 18:12:00,-33.455683,17.9162
16.12,12.95,63.0,10.08,5.399999999999976,0.0,314.0,2019-11-06 18:13:00,-33.45265,17.91245
16.07,12.95,62.0,10.85,28.300000000000008,0.0,313.0,2019-11-06 18:14:00,-33.44965,17.908617
15.94,12.95,63.0,13.68,3.899999999999977,0.0,313.0,2019-11-06 18:15:00,-33.44665,17.904882999999995
15.93,12.95,61.0,10.39,353.3,0.0,316.0,2019-11-06 18:16:00,-33.443533,17.901332999999994
15.87,12.95,60.0,11.68,1.0,0.0,313.0,2019-11-06 18:17:00,-33.4405,17.897682999999994
15.86,12.95,62.0,11.78,355.5,0.0,313.0,2019-11-06 18:18:00,-33.437517,17.89395
16.01,12.95,61.59,12.09,0.5,0.0,313.0,2019-11-06 18:19:00,-33.434467,17.890217
16.05,12.95,62.0,10.5,357.2,0.0,312.0,2019-11-06 18:20:00,-33.4315,17.886417
15.95,12.95,62.0,10.4,357.0,0.0,314.0,2019-11-06 18:21:00,-33.428467,17.882783
15.87,12.95,61.78,12.76,356.6,0.0,315.0,2019-11-06 18:22:00,-33.4254,17.879117
15.68,12.95,38.59,14.56,350.6,0.0,314.0,2019-11-06 18:23:00,-33.4224,17.875432999999994
15.82,12.95,63.0,11.68,356.3,0.0,314.0,2019-11-06 18:24:00,-33.419433000000005,17.871682999999994
15.94,12.95,63.0,10.4,356.7,0.0,313.0,2019-11-06 18:25:00,-33.4165,17.867932999999994
15.99,12.95,62.0,10.35,0.10000000000002274,0.0,313.0,2019-11-06 18:26:00,-33.413467,17.86415
16.31,12.95,59.62,12.55,356.6,0.0,314.0,2019-11-06 18:27:00,-33.410467,17.860467
16.03,12.95,61.59,13.48,355.2,0.0,315.0,2019-11-06 18:28:00,-33.4074,17.856767
15.81,12.95,62.0,10.35,356.2,0.0,315.0,2019-11-06 18:29:00,-33.40425,17.853133
15.91,12.95,61.0,12.66,352.4,0.0,316.0,2019-11-06 18:30:00,-33.401133,17.849517000000006
15.95,12.95,62.0,13.89,354.6,0.0,314.0,2019-11-06 18:31:00,-33.398117,17.8458
15.94,12.95,62.0,12.96,359.7,0.0,314.0,2019-11-06 18:32:00,-33.395133,17.842083
15.87,12.95,63.0,12.09,357.3,0.0,313.0,2019-11-06 18:33:00,-33.392067,17.8383
15.94,12.95,61.78,14.56,355.8,0.0,314.0,2019-11-06 18:34:00,-33.388967,17.8345
15.94,12.95,62.0,13.58,353.0,0.0,315.0,2019-11-06 18:35:00,-33.385833,17.830733
15.96,12.95,62.0,13.89,356.8,0.0,315.0,2019-11-06 18:36:00,-33.3827,17.826967
15.76,12.95,63.0,14.97,357.0,0.0,314.0,2019-11-06 18:37:00,-33.379633,17.8232
15.85,12.95,62.0,13.27,358.2,0.0,314.0,2019-11-06 18:38:00,-33.376567,17.8195
15.66,12.95,38.59,14.35,356.1,0.0,314.0,2019-11-06 18:39:00,-33.373433,17.815732999999994
15.58,12.95,38.59,13.27,353.7,0.0,315.0,2019-11-06 18:40:00,-33.370283,17.812082999999994
15.71,12.95,38.59,14.2,358.3,0.0,314.0,2019-11-06 18:41:00,-33.367183000000004,17.808383
15.68,12.95,38.59,12.86,18.80000000000001,0.0,314.0,2019-11-06 18:42:00,-33.3641,17.804617
15.79,12.95,63.0,13.07,355.9,0.0,314.0,2019-11-06 18:43:00,-33.360983000000004,17.800867
15.83,12.95,61.78,13.99,355.9,0.0,313.0,2019-11-06 18:44:00,-33.357983000000004,17.797117
16.01,12.95,64.0,10.71,352.2,0.0,318.0,2019-11-06 18:45:00,-33.354667,17.793517
16.13,12.95,65.0,11.37,343.5,0.0,322.0,2019-11-06 18:46:00,-33.35115,17.79015
16.16,12.95,62.0,12.76,339.8,0.0,327.0,2019-11-06 18:47:00,-33.347383,17.787132999999994
16.37,12.95,59.62,12.3,328.9,0.0,332.0,2019-11-06 18:48:00,-33.343333,17.784533
16.5,12.95,60.0,12.55,326.4,0.0,335.0,2019-11-06 18:49:00,-33.339217,17.782217000000006
16.52,12.95,58.0,12.4,328.6,0.0,338.0,2019-11-06 18:50:00,-33.334866999999996,17.780117
16.33,12.95,59.62,12.4,326.9,0.0,338.0,2019-11-06 18:51:00,-33.330566999999995,17.778017000000006
16.31,12.95,59.62,12.45,328.3,0.0,337.0,2019-11-06 18:52:00,-33.326283000000004,17.775917
16.23,12.95,59.0,11.78,329.9,0.0,336.0,2019-11-06 18:53:00,-33.32205,17.773767000000007
16.32,12.95,59.0,11.99,334.9,0.0,334.0,2019-11-06 18:54:00,-33.317917,17.771467
16.19,12.95,61.59,12.55,323.2,0.0,336.0,2019-11-06 18:55:00,-33.3137,17.769267000000006
16.3,12.95,59.0,11.68,332.3,0.0,334.0,2019-11-06 18:56:00,-33.309616999999996,17.76695
16.3,12.95,60.0,10.75,334.8,0.0,334.0,2019-11-06 18:57:00,-33.305467,17.764567
16.31,12.95,60.0,10.85,332.0,0.0,333.0,2019-11-06 18:58:00,-33.301283000000005,17.762183
16.28,12.95,60.0,12.3,328.0,0.0,335.0,2019-11-06 18:59:00,-33.297083,17.759867
16.48,12.95,59.24,10.29,332.3,0.0,334.0,2019-11-06 19:00:00,-33.292883,17.757482999999993
16.42,12.95,59.0,11.47,331.0,0.0,333.0,2019-11-06 19:01:00,-33.288717,17.75515
16.56,12.95,60.0,11.68,334.3,0.0,334.0,2019-11-06 19:02:00,-33.284467,17.752767000000006
16.16,12.95,54.63,11.16,334.5,0.0,334.0,2019-11-06 19:03:00,-33.280233,17.750417000000006
16.39,12.95,61.0,11.78,330.2,0.0,335.0,2019-11-06 19:04:00,-33.276016999999996,17.748033
16.32,12.95,59.62,12.09,336.7,0.0,334.0,2019-11-06 19:05:00,-33.271783,17.745683
16.44,12.95,57.0,10.75,346.5,0.0,334.0,2019-11-06 19:06:00,-33.26755,17.7433
16.43,12.95,59.0,9.36,333.9,0.0,333.0,2019-11-06 19:07:00,-33.2634,17.7409
16.31,12.95,60.0,11.68,337.1,0.0,333.0,2019-11-06 19:08:00,-33.2592,17.738432999999993
16.41,12.95,59.0,9.57,333.9,0.0,334.0,2019-11-06 19:09:00,-33.255,17.736017
16.41,12.95,59.0,11.58,336.6,0.0,334.0,2019-11-06 19:10:00,-33.2508,17.733567
