stw,draft,foc,ws,wd,swh,vslHeading
19.2109,14.765,108.0,5.0,334.37,0.84,46.83
19.4048,14.745,106.0,6.0,332.45,0.77,47.25
19.2418,14.78,109.0,5.0,320.79,0.77,51.11
19.1265,14.78,107.0,6.0,316.49,0.77,51.11
19.1644,14.735,104.0,6.0,317.14,0.77,49.76
19.1515,14.755,107.0,7.0,310.33,0.77,49.97
19.1515,14.755,106.0,6.0,320.87,0.77,49.83
19.1013,14.775,107.0,6.0,320.72,0.77,49.98
19.0708,14.755,107.0,6.0,316.02,0.77,49.98
19.0102,14.72,106.0,8.0,323.51,0.77,49.99
18.7804,14.78,107.0,6.0,322.2,0.77,49.5
19.0903,14.735,108.0,6.0,321.89,0.77,49.81
18.9601,14.775,108.0,8.0,324.49,0.77,49.81
19.0801,14.77,108.0,7.0,323.3,0.77,49.8
19.1001,14.745,108.0,6.0,317.67,0.77,49.73
19.0102,14.755,108.0,6.0,317.47,0.77,49.93
19.1002,14.76,108.0,6.0,314.97,0.77,49.93
19.1002,14.76,111.0,6.0,314.74,0.77,51.66
19.1513,14.765,108.0,6.0,311.21,0.77,53.39
19.1004,14.72,106.0,7.0,318.83,0.77,52.77
19.1501,14.75,108.0,7.0,318.69,0.77,52.91
19.0802,14.765,108.0,6.0,304.89,0.77,52.91
19.0802,14.765,108.0,7.0,313.07,0.77,52.83
19.0702,14.725,107.0,6.0,315.07,0.77,52.63
19.1002,14.76,108.0,6.0,314.88,0.77,52.82
19.1902,14.725,108.0,6.0,314.8400000000001,0.77,52.86
19.1105,14.745,107.0,7.0,308.44,0.77,52.86
19.1105,14.74,108.0,7.0,315.8,0.77,52.8
19.1104,14.725,107.0,6.0,300.58,0.77,52.92
19.1104,14.745,108.0,6.0,302.7,0.77,52.8
19.0901,14.760000000000002,107.0,6.0,302.42,0.77,53.08
19.051,14.71,110.0,6.0,311.02,0.77,53.08
19.051,14.71,108.0,7.0,309.05,0.77,54.15
19.0903,14.73,107.0,7.0,310.32,0.77,53.98
19.0301,14.75,108.0,6.0,302.29,0.77,53.81
19.0902,14.785,109.0,6.0,302.04,0.77,54.06
19.0903,14.78,108.0,7.0,306.24,0.77,54.06
19.0903,14.775,107.0,6.0,302.77,0.77,53.93
