stw,draft,foc,ws,wd,swh,vslHeading
12.7101,15.32,35.0,3.79,197.98,0.74,235.02
12.74,15.26,35.0,4.98,186.07,0.74,235.13
12.7102,15.26,35.0,4.18,171.42,0.74,235.18
12.7102,15.25,35.0,4.18,171.47,0.74,235.13
12.7303,15.295,35.0,4.69,181.17,0.74,235.13
12.75,15.195,35.0,4.1,183.07,0.74,235.03
12.7808,15.2,34.0,2.8,196.62,0.74,233.68
12.7301,15.114999999999998,34.0,3.99,183.26,0.74,232.44
12.7301,15.2,35.0,3.99,183.62,0.74,232.08
12.7602,15.335,34.0,4.79,185.52,0.74,232.08
12.7402,15.225,34.0,3.3,193.28000000000003,0.74,231.42
12.7805,15.255,35.0,2.8,194.6,0.74,230.8
12.7906,15.255,34.0,2.8,194.31,0.74,231.09
12.7906,15.225,35.0,5.69,178.91,0.74,231.09
12.7806,15.165,34.0,3.79,199.25,0.74,231.25
12.7202,15.19,34.0,3.7,204.92,0.74,229.58
12.7501,15.23,34.0,2.59,206.85,0.74,228.55
12.7801,15.12,34.0,2.59,206.44,0.74,228.96
12.7801,15.205,35.0,2.89,188.94,0.74,228.96
12.8704,15.17,35.0,2.68,194.52,0.74,230.48
12.861,15.215,35.0,2.68,206.97,0.74,231.83
12.8501,15.24,35.0,3.39,208.65,0.74,231.15
12.8803,15.24,34.0,3.39,208.91000000000003,0.88,230.89
12.8803,15.24,34.0,4.18,203.51,0.88,230.89
12.9103,15.155,34.0,3.89,214.03,0.88,230.97
12.8603,15.2,34.0,3.3,188.65,0.88,230.85
12.9501,15.065,35.0,4.89,179.41000000000003,0.88,232.29
12.9005,15.24,35.0,4.89,178.17000000000004,0.88,233.53
12.9005,15.155,34.0,5.98,179.97,0.88,233.53
12.9401,15.19,34.0,5.98,181.45,0.88,233.05
12.8901,15.3,34.0,4.18,183.9,0.85,232.6
12.8706,15.14,34.0,4.1,182.13,0.85,232.77
12.9702,15.14,34.0,4.1,182.18,0.85,232.72
12.9702,15.15,34.0,4.69,189.58,0.85,232.72
12.8802,15.205,34.0,4.47,183.0,0.85,232.9
12.9206,15.25,34.0,3.79,208.02,0.85,232.98
12.9806,15.26,33.0,4.47,206.0,0.85,233.0
12.9403,15.135,34.0,4.47,205.99,0.85,233.01
12.9403,15.18,34.0,3.49,202.79,0.85,233.01
12.9301,15.2,34.0,2.89,200.5,0.85,232.8
12.9404,15.155,34.0,7.07,179.20999999999995,0.85,232.99
12.9314,15.255,34.0,5.08,190.22,0.85,233.28
12.9602,15.205,34.0,5.08,190.24,0.85,233.26
12.9602,15.205,34.0,5.18,180.24,0.85,233.26
12.9806,15.2,34.0,3.7,178.86,0.85,233.04
12.8404,15.165,34.0,4.28,175.37,0.85,233.23
12.9405,15.17,35.0,4.37,176.1,0.85,236.0
12.91,15.245,34.0,4.37,175.17,0.85,236.93
12.91,15.2,35.0,3.49,171.57,0.85,236.93
12.9803,15.21,34.0,4.37,184.69,0.85,237.11
12.9408,15.185,34.0,5.37,187.14,0.85,236.86
12.9701,15.14,34.0,4.37,182.52,0.85,237.38
12.9701,15.21,35.0,4.37,179.62,0.85,240.28
12.9809,15.21,35.0,5.79,168.01999999999995,0.85,240.28
12.9711,15.165,33.0,4.79,165.57,0.85,240.83
12.91,15.19,34.0,5.88,176.62,0.85,239.68
12.9001,15.25,34.0,5.69,203.67,0.85,239.73
12.9001,15.165,34.0,5.69,203.39,0.85,240.01
12.9308,15.195,34.0,5.08,184.09,0.85,240.01
12.93,15.195,34.0,2.59,200.27,0.85,240.23
12.92,15.19,34.0,3.99,191.57,0.85,239.93
12.87,15.265,34.0,4.37,193.03,0.85,239.57
12.87,15.18,34.0,4.37,192.91,0.85,239.69
12.89,15.18,34.0,6.78,174.61,0.85,239.69
12.8602,15.14,34.0,4.47,187.53,0.85,240.07
12.9708,15.16,34.0,7.59,175.09,0.85,240.31
12.9203,15.095,34.0,5.18,182.11,0.85,240.39
12.9203,15.19,34.0,5.18,182.13,0.85,240.37
12.991,15.18,34.0,5.59,194.63,0.85,240.37
12.94,15.28,34.0,4.18,180.9,0.85,239.9
12.97,15.28,34.0,3.79,183.29,0.85,239.71
13.0001,15.165,33.0,3.79,183.32,0.85,239.68
13.0001,15.135000000000002,34.0,4.6,163.92,0.85,239.68
12.9801,15.135000000000002,34.0,3.58,191.59,0.85,239.81
13.0503,15.22,34.0,3.99,183.72,0.85,239.78
12.9501,15.16,34.0,4.98,166.62,0.85,239.68
13.0602,15.17,34.0,4.98,165.95999999999995,0.85,240.34
13.0602,15.195,34.0,4.1,180.56,0.85,240.34
13.0717,15.215,34.0,3.99,183.22,0.85,242.08
13.1506,15.2,34.0,2.89,183.83,0.85,242.37
13.0609,15.165,34.0,6.27,165.94,0.85,241.86
13.1105,15.255,33.0,6.27,165.99,0.85,241.81
13.1105,15.2,34.0,5.59,164.39,0.85,241.81
13.061,15.2,33.0,4.37,175.52,0.85,241.88
13.1702,15.195,34.0,4.47,173.94,0.85,241.46
13.11,15.195,33.0,4.6,172.57,0.85,240.73
