stw,draft,foc,ws,wd,swh,vslHeading
14.0601,13.805,43.0,9.0,111.33999999999996,0.81,271.66
14.0601,13.81,43.0,9.0,108.11,0.81,271.89
14.0802,13.81,43.0,9.0,108.19,0.81,271.81
14.1001,13.78,42.0,9.0,113.69,0.81,271.81
14.0103,13.795,43.0,9.0,104.74,0.81,271.96
14.0403,13.795,42.0,10.0,110.57,0.81,271.73
14.0403,13.83,42.0,9.0,116.07,0.81,268.63
13.9901,13.77,41.0,9.0,116.32999999999998,0.81,268.37
13.98,13.795,43.0,9.0,113.13,0.81,268.37
13.9401,13.655,43.0,12.54,112.54000000000002,0.81,268.96
13.9401,13.795,43.0,10.0,113.07999999999998,0.81,269.22
14.0006,13.81,43.0,9.0,114.17,0.81,269.23
13.9405,13.79,42.0,9.0,114.11,0.81,269.29
13.9907,13.755,43.0,9.0,113.80999999999996,0.81,269.29
13.9004,13.815,42.0,9.0,116.53000000000004,0.81,269.27
13.9301,13.815,43.0,9.0,115.17000000000002,0.81,269.03
13.9301,13.785,43.0,9.0,109.72,0.81,269.18
13.9905,13.775,42.0,9.0,109.84,0.81,269.06
13.9701,13.715,43.0,9.0,108.34,0.81,269.06
13.9703,13.8,42.0,9.0,115.29,0.81,269.11
13.9804,13.745,43.0,9.0,117.82999999999998,0.81,269.17
13.9804,13.785,42.0,10.0,110.39,0.81,268.91
13.9302,13.755,42.0,10.0,110.28000000000004,0.81,269.02
13.9803,13.735,43.0,11.64,116.68,0.81,269.02
13.8908,13.78,43.0,9.0,114.77999999999996,0.81,268.92
13.9406,13.760000000000002,43.0,9.0,115.52999999999996,0.81,269.17
13.9406,13.760000000000002,42.0,9.0,115.64999999999998,0.81,269.05
13.9707,13.665,43.0,9.0,114.95,0.81,269.05
13.8906,13.75,43.0,9.0,118.58999999999996,0.81,269.11
13.9504,13.78,43.0,9.0,117.06,0.81,268.74
13.9504,13.78,42.0,9.0,115.23999999999998,0.81,268.86
13.9004,13.76,43.0,9.0,114.93999999999996,0.8,269.16
13.9705,13.765,43.0,9.0,118.14,0.8,269.16
13.9609,13.795,43.0,7.0,116.47,0.8,269.13
13.9306,13.765,42.0,8.0,119.26000000000002,0.8,269.14
13.9306,13.71,43.0,8.0,117.8,0.8,269.0
13.9504,13.71,43.0,8.0,117.63,0.8,269.17
14.1013,13.795,43.0,9.0,116.52999999999996,0.8,269.17
13.8204,13.825,42.0,8.0,116.54,0.8,269.06
13.890999999999998,13.765,43.0,9.0,112.47000000000004,0.8,269.03
13.890999999999998,13.785,43.0,8.0,109.21,0.8,269.19
13.931,13.765,42.0,8.0,109.35,0.8,269.05
13.8807,13.805,42.0,8.0,115.75,0.8,269.05
14.0014,13.815,43.0,9.0,114.34000000000003,0.8,268.96
13.9217,13.765,42.0,8.0,114.98,0.8,269.12
13.9217,13.725,44.0,8.0,105.20999999999998,0.8,272.79
14.0301,13.725,46.0,8.0,95.5,0.8,282.5
13.9505,13.79,47.0,8.0,91.5,0.8,282.5
13.695,13.695,46.0,7.0,69.98999999999995,0.8,300.91
13.695,13.755,45.0,8.0,71.62,0.8,301.48
13.7623,13.775,43.0,8.0,73.30000000000003,0.8,299.8
13.7601,13.715,42.0,7.0,72.5,0.8,299.8
13.8104,13.725,42.0,7.0,72.84000000000003,0.8,299.26
13.8604,13.795,43.0,7.0,71.62,0.8,299.58
13.8604,13.765,43.0,7.0,67.70999999999998,0.8,299.79
13.8904,13.765,43.0,7.0,67.72000000000003,0.8,299.78
13.9006,13.74,42.0,11.0,70.32000000000005,0.8,299.78
13.9801,13.755,43.0,10.55,71.57999999999998,0.8,299.62
13.98,13.81,43.0,7.0,71.41999999999996,0.8,299.98
13.98,13.76,45.0,7.0,53.02999999999997,0.8,307.87
13.9712,13.77,46.0,7.0,48.079999999999984,0.8,312.82
13.9866,13.72,44.0,8.0,59.98000000000002,0.8,312.82
13.9405,13.74,41.0,7.0,60.27999999999997,0.8,310.22
13.91,13.725,42.0,7.0,57.43000000000001,0.8,309.07
13.91,13.775,43.0,11.0,58.28999999999997,0.8,309.61
13.9305,13.775,43.0,11.0,58.16999999999996,0.8,309.73
13.9301,13.79,42.0,7.0,57.37000000000001,0.8,309.73
13.9501,13.75,43.0,7.0,51.97000000000003,0.8,309.83
13.8601,13.76,42.0,11.19,62.06,0.8,309.34
13.8601,13.78,44.0,8.0,46.81,0.8,312.69
13.9808,13.745,46.0,8.0,37.519999999999975,0.8,321.98
13.9313,13.78,47.0,10.48,32.620000000000005,0.8,321.98
13.9521,13.785,44.0,7.0,34.33999999999997,0.8,325.36
13.8901,13.73,42.0,11.19,42.32000000000005,0.8,322.78
13.8901,13.75,42.0,7.0,38.579999999999984,0.8,322.42
13.9206,13.75,43.0,7.0,38.44999999999999,0.8,322.55
13.9114,13.78,42.0,7.0,38.75,0.8,322.55
13.921,13.775,43.0,10.74,41.56,0.8,321.74
13.9802,13.74,43.0,8.0,38.19999999999999,0.8,322.6
13.9802,13.76,43.0,10.48,32.20999999999998,0.8,322.99
14.0601,13.745,43.0,10.48,31.32,0.8,323.88
14.07,13.87,42.0,7.0,37.81999999999999,0.8,323.88
14.05,13.82,43.0,10.87,39.579999999999984,0.8,323.82
14.05,13.8,42.0,7.0,39.55000000000001,0.8,323.75
14.01,13.725,43.0,7.0,38.039999999999964,0.8,323.86
14.0903,13.76,42.0,7.0,37.96999999999996,0.8,323.93
14.0306,13.76,43.0,11.0,43.06999999999999,0.8,323.93
14.1408,13.760000000000002,42.0,7.0,38.700000000000045,0.8,323.4
14.1408,13.78,42.0,11.19,39.13,0.8,323.37
14.1311,13.77,43.0,11.19,38.88999999999999,0.8,323.61
14.1302,13.78,42.0,7.0,39.88999999999999,0.8,323.61
14.0214,13.765,43.0,7.0,40.29999999999996,0.8,323.6
13.9816,13.7,42.0,11.19,34.44,0.8,323.66
13.9816,13.71,43.0,10.16,31.179999999999946,0.8,323.72
14.0449,13.765,42.0,10.16,31.719999999999967,0.8,323.18
14.0436,13.71,43.0,11.06,36.12000000000001,0.8,323.18
14.0509,13.71,43.0,10.87,35.170000000000016,0.8,323.13
14.07,13.77,42.0,7.0,36.94999999999999,0.8,323.05
14.07,13.745,42.0,11.19,40.88999999999999,0.8,322.31
14.0801,13.775,42.0,11.19,41.74000000000001,0.8,321.46
13.9801,13.765,42.0,10.74,35.84000000000003,0.8,321.46
14.03,13.735,43.0,11.19,32.25999999999999,0.8,322.04
14.02,13.755,42.0,7.0,30.539999999999967,0.8,322.16
14.02,13.73,43.0,8.0,37.19,0.8,322.21
14.0201,13.79,42.0,8.0,37.349999999999966,0.8,322.05
14.0303,13.795,42.0,11.25,30.649999999999977,0.8,322.05
13.99,13.795,42.0,7.0,31.299999999999947,0.8,320.1
14.0101,13.82,42.0,11.06,32.81999999999999,0.8,319.88
