stw,draft,foc,ws,wd,swh,lat,lon,dt,vslHeading,wsWS
13.84,8.33,30.0,7.88,161.61,0.36,37.1748,23.535833,2019-09-26 07:26,37.1748,23.535833
13.93,8.33,30.0,8.2,152.49,0.36,37.1626,23.527717000000006,2019-09-26 07:30,37.1626,23.527717000000006
13.93,8.35,30.0,9.07,156.06,0.37,37.158533,23.525017,2019-09-26 07:31,37.158533,23.525017
13.97,8.34,30.0,7.88,163.2,0.37,37.150217,23.519633,2019-09-26 07:33,37.150217,23.519633
13.97,8.32,30.0,8.87,157.73000000000005,0.37,37.1461,23.516917000000007,2019-09-26 07:35,37.1461,23.516917000000007
13.97,8.32,30.0,8.55,156.6,0.37,37.141967,23.514167,2019-09-26 07:36,37.141967,23.514167
13.94,8.33,30.0,8.87,156.92000000000004,0.37,37.137867,23.51155,2019-09-26 07:37,37.137867,23.51155
14.04,8.34,30.0,8.87,156.85,0.37,37.133783,23.508867,2019-09-26 07:38,37.133783,23.508867
14.06,8.34,30.0,9.07,158.85,0.37,37.133783,23.508867,2019-09-26 07:39,37.133783,23.508867
14.0,8.34,30.0,8.87,157.38,0.37,37.129667,23.506133,2019-09-26 07:40,37.129667,23.506133
13.99,8.33,30.0,7.68,162.72,0.37,37.121533,23.5006,2019-09-26 07:42,37.121533,23.5006
14.05,8.32,30.0,8.2,153.32,0.37,37.121533,23.5006,2019-09-26 07:43,37.121533,23.5006
14.08,8.34,30.0,5,159.09,0.25,37.117433,23.497783,2019-09-26 07:44,37.117433,23.497783
14.09,8.33,30.0,4,156.06,0.25,37.1134,23.495033,2019-09-26 07:45,37.1134,23.495033
14.09,8.32,30.0,7.59,161.82000000000005,0.25,37.105317,23.489417,2019-09-26 07:47,37.105317,23.489417
13.99,8.34,30.0,8.87,153.82000000000005,0.25,37.105317,23.489417,2019-09-26 07:48,37.105317,23.489417
14.06,8.33,30.0,8.68,155.75,0.25,37.09725,23.483683,2019-09-26 07:50,37.09725,23.483683
14.06,8.31,30.0,5,158.47,0.25,37.09323300000001,23.480867,2019-09-26 07:51,37.09323300000001,23.480867
14.04,8.32,30.0,8.55,158.19,0.25,37.08915,23.477933,2019-09-26 07:53,37.08915,23.477933
14.03,8.33,30.0,5,157.89,0.25,37.085133,23.47505,2019-09-26 07:54,37.085133,23.47505
14.08,8.32,30.0,8.3,157.55,0.25,37.077083,23.469183,2019-09-26 07:56,37.077083,23.469183
13.96,8.29,30.0,8.3,157.53,0.25,37.073067,23.466267,2019-09-26 07:57,37.073067,23.466267
13.86,8.33,30.0,8.3,156.6,0.25,37.06903300000001,23.463317,2019-09-26 07:59,37.06903300000001,23.463317
13.84,8.32,30.0,8.75,160.22,0.25,37.060917,23.457333,2019-09-26 08:01,37.060917,23.457333
14.02,8.3,30.0,8.68,160.48999999999995,0.25,37.056883,23.454383,2019-09-26 08:03,37.056883,23.454383
14.04,8.3,30.0,8.3,158.75,0.25,37.048767,23.4483,2019-09-26 08:05,37.048767,23.4483
14.0,8.32,30.0,8.75,159.47,0.25,37.040733,23.442183,2019-09-26 08:07,37.040733,23.442183
13.97,8.34,30.0,5,158.86999999999995,0.25,37.040733,23.442183,2019-09-26 08:08,37.040733,23.442183
13.8,8.32,30.0,4,159.53,0.25,37.032633,23.435967,2019-09-26 08:10,37.032633,23.435967
13.92,8.32,30.0,8.49,153.44,0.25,37.0205,23.42675,2019-09-26 08:14,37.0205,23.42675
14.04,8.32,30.0,7.78,162.38,0.25,37.004067,23.414283,2019-09-26 08:19,37.004067,23.414283
14.05,8.32,30.0,8.49,163.35000000000005,0.25,36.9917,23.404967000000006,2019-09-26 08:22,36.9917,23.404967000000006
13.94,8.34,30.0,8.68,160.54999999999995,0.25,36.987567,23.4019,2019-09-26 08:24,36.987567,23.4019
13.98,8.31,30.0,8.36,156.6,0.25,36.979183,23.395833,2019-09-26 08:26,36.979183,23.395833
13.9,8.32,30.0,8.55,162.12,0.25,36.975033,23.39275,2019-09-26 08:28,36.975033,23.39275
13.9,8.32,29.0,7.78,161.17,0.25,36.970817,23.389683,2019-09-26 08:29,36.970817,23.389683
13.72,8.34,29.0,6.88,161.94,0.25,36.966583,23.386933,2019-09-26 08:30,36.966583,23.386933
13.65,8.32,29.0,6.69,165.43,0.25,36.96223300000001,23.384583,2019-09-26 08:31,36.96223300000001,23.384583
13.61,8.32,30.0,6.69,168.34,0.25,36.957767,23.382617,2019-09-26 08:32,36.957767,23.382617
13.61,8.32,29.0,6.69,168.94,0.25,36.957767,23.382617,2019-09-26 08:33,36.957767,23.382617
13.69,8.34,30.0,7.3,169.45999999999995,0.25,36.953267,23.381,2019-09-26 08:34,36.953267,23.381
14.02,8.34,30.0,6.88,168.83,0.25,36.939267,23.3772,2019-09-26 08:38,36.939267,23.3772
14.15,8.32,30.0,8.68,180.71,0.25,36.92505,23.37335,2019-09-26 08:41,36.92505,23.37335
14.13,8.34,30.0,5,186.61,0.25,36.920317,23.372133,2019-09-26 08:43,36.920317,23.372133
14.12,8.32,30.0,8.49,185.51,0.25,36.910867,23.369783,2019-09-26 08:45,36.910867,23.369783
14.07,8.32,30.0,8.49,185.29,0.25,36.906167,23.368567,2019-09-26 08:46,36.906167,23.368567
14.07,8.34,30.0,8.36,183.39,0.25,36.906167,23.368567,2019-09-26 08:47,36.906167,23.368567
14.05,8.34,30.0,7.88,181.02,0.25,36.89673300000001,23.366033,2019-09-26 08:49,36.89673300000001,23.366033
13.98,8.34,30.0,8.36,182.98,0.25,36.89205,23.3648,2019-09-26 08:50,36.89205,23.3648
14.01,8.35,30.0,8.3,183.19,0.25,36.88735,23.363533,2019-09-26 08:52,36.88735,23.363533
14.01,8.34,30.0,8.68,184.04,0.25,36.882633,23.362183,2019-09-26 08:53,36.882633,23.362183
14.08,8.28,30.0,5,186.12,0.25,36.873267,23.359667,2019-09-26 08:55,36.873267,23.359667
14.08,8.34,30.0,8.07,202.74,0.25,36.868533,23.358417000000006,2019-09-26 08:57,36.868533,23.358417000000006
14.04,8.3,30.0,8.87,203.29,0.25,36.8543,23.354683,2019-09-26 09:00,36.8543,23.354683
13.91,8.34,30.0,8.87,204.28,0.25,36.8495,23.353483,2019-09-26 09:01,36.8495,23.353483
13.99,8.31,30.0,8.2,199.26,0.25,36.830067,23.349783,2019-09-26 09:06,36.830067,23.349783
14.14,8.36,30.0,8.36,193.03,0.25,36.820267,23.348533,2019-09-26 09:09,36.820267,23.348533
13.97,8.32,30.0,7.3,195.91,0.25,36.810367,23.3472,2019-09-26 09:11,36.810367,23.3472
13.97,8.32,30.0,8.07,190.41,0.25,36.810367,23.3472,2019-09-26 09:12,36.810367,23.3472
14.06,8.34,30.0,7.68,199.23,0.25,36.80545,23.346533,2019-09-26 09:13,36.80545,23.346533
14.17,8.32,30.0,7.88,192.62,0.25,36.795533,23.345267,2019-09-26 09:15,36.795533,23.345267
14.16,8.3,30.0,7.88,192.6,0.25,36.79065,23.344633,2019-09-26 09:16,36.79065,23.344633
14.2,8.35,30.0,7.59,191.29,0.25,36.785683,23.34395,2019-09-26 09:18,36.785683,23.34395
14.19,8.32,30.0,7.68,193.35,0.25,36.780767,23.3433,2019-09-26 09:19,36.780767,23.3433
14.14,8.32,30.0,7.88,185.89,0.25,36.770933,23.34195,2019-09-26 09:22,36.770933,23.34195
14.12,8.33,30.0,7.88,183.33,0.25,36.76605,23.34125,2019-09-26 09:23,36.76605,23.34125
14.23,8.32,30.0,5.18,190.01,0.25,36.756167,23.339833,2019-09-26 09:25,36.756167,23.339833
14.17,8.32,30.0,5.18,190.0,0.25,36.751267,23.339183,2019-09-26 09:26,36.751267,23.339183
14.17,8.32,30.0,6.08,179.9,0.25,36.751267,23.339183,2019-09-26 09:27,36.751267,23.339183
14.22,8.33,30.0,8.36,179.95,0.25,36.746433,23.3385,2019-09-26 09:28,36.746433,23.3385
14.18,8.32,30.0,7.88,186.04,0.25,36.741567,23.337783,2019-09-26 09:29,36.741567,23.337783
14.06,8.32,30.0,8.55,176.68,0.25,36.736667,23.33715,2019-09-26 09:30,36.736667,23.33715
14.1,8.34,30.0,8.49,181.97,0.25,36.7318,23.336483,2019-09-26 09:32,36.7318,23.336483
14.11,8.34,30.0,8.68,183.08,0.25,36.726967,23.33575,2019-09-26 09:33,36.726967,23.33575
14.04,8.34,30.0,4,178.16,0.25,36.717233,23.334083,2019-09-26 09:35,36.717233,23.334083
14.15,8.32,30.0,7.78,180.85,0.25,36.712433,23.333217,2019-09-26 09:37,36.712433,23.333217
14.03,8.34,30.0,7.68,181.08,0.25,36.70753300000001,23.3323,2019-09-26 09:38,36.70753300000001,23.3323
14.09,8.3,30.0,8.2,180.0,0.25,36.702733,23.3314,2019-09-26 09:39,36.702733,23.3314
13.91,8.32,30.0,7.49,181.65,0.25,36.697967,23.330517,2019-09-26 09:41,36.697967,23.330517
13.91,8.35,30.0,8.36,182.31,0.25,36.693117,23.32965,2019-09-26 09:42,36.693117,23.32965
14.01,8.33,30.0,5,185.64,0.25,36.688333,23.328767000000006,2019-09-26 09:43,36.688333,23.328767000000006
14.09,8.33,30.0,8.36,182.03,0.25,36.678733,23.32695,2019-09-26 09:45,36.678733,23.32695
13.99,8.31,30.0,8.87,181.87,0.25,36.673833,23.325983,2019-09-26 09:47,36.673833,23.325983
14.08,8.34,30.0,5,185.77,0.25,36.669,23.32495,2019-09-26 09:48,36.669,23.32495
14.11,8.32,30.0,5,183.74,0.25,36.659283,23.32275,2019-09-26 09:50,36.659283,23.32275
14.08,8.32,30.0,5,183.03,0.25,36.654433,23.321583,2019-09-26 09:52,36.654433,23.321583
14.03,8.35,30.0,8.75,180.83,0.25,36.64965,23.320433,2019-09-26 09:53,36.64965,23.320433
14.04,8.32,30.0,8.75,182.17,0.25,36.639983,23.31805,2019-09-26 09:55,36.639983,23.31805
14.03,8.35,30.0,8.49,179.37,0.25,36.635167,23.31685,2019-09-26 09:57,36.635167,23.31685
14.21,8.34,30.0,8.68,177.2,0.25,36.6207,23.3131,2019-09-26 10:00,36.6207,23.3131
14.09,8.35,30.0,8.36,173.04,0.25,36.60625,23.309167,2019-09-26 10:04,36.60625,23.309167
14.04,8.3,30.0,8.36,172.88,0.25,36.601467,23.307917,2019-09-26 10:05,36.601467,23.307917
14.04,8.32,30.0,8.2,167.68,0.25,36.601467,23.307917,2019-09-26 10:06,36.601467,23.307917
13.96,8.32,30.0,8.87,174.06,0.25,36.592067,23.305433,2019-09-26 10:08,36.592067,23.305433
13.84,8.3,30.0,8.49,162.75,0.25,36.582667,23.302867000000006,2019-09-26 10:10,36.582667,23.302867000000006
13.75,8.34,30.0,8.36,160.93999999999997,0.25,36.573367,23.300283,2019-09-26 10:13,36.573367,23.300283
13.86,8.32,30.0,8.2,163.62000000000003,0.25,36.564083,23.297717,2019-09-26 10:16,36.564083,23.297717
13.71,8.34,30.0,8.87,160.49,0.25,36.54095,23.291533,2019-09-26 10:22,36.54095,23.291533
