stw,draft,foc,ws,wd,swh,lat,lon,dt,vslHeading,wsWS
24.25,13.35,91.0,14.0,92.95,1.72,53.945417000000006,7.13615,2020-04-01 12:12,258.05,9.56
24.55,13.35,105.0,19.0344,92.01999999999998,1.72,53.94433299999999,7.1282,2020-04-01 12:13,257.98,9.56
24.66,13.35,89.0,18.52,91.38,1.72,53.94315,7.1203,2020-04-01 12:14,255.62,9.56
24.22,13.35,91.0,18.0056,92.55,1.72,53.941782999999994,7.1125169999999995,2020-04-01 12:15,255.45,9.56
23.88,13.35,91.0,17.5426,87.69999999999996,1.72,53.940417000000004,7.104717,2020-04-01 12:16,255.3,9.56
24.49,13.35,91.0,17.594,93.73000000000002,1.72,53.939117,7.0970830000000005,2020-04-01 12:17,255.27,9.56
23.82,13.35,92.0,17.7998,90.2,1.72,53.93641700000001,7.081567,2020-04-01 12:19,254.8,9.56
23.62,13.35,91.0,18.2628,91.02999999999996,1.72,53.934982999999995,7.0736669999999995,2020-04-01 12:20,254.97,9.56
24.6,13.35,93.0,16.7195,91.7,1.72,53.93225,7.058066999999999,2020-04-01 12:22,255.3,9.56
24.68,13.35,90.0,17.5426,91.87,1.72,53.930932999999996,7.050382000000001,2020-04-01 12:23,255.13,9.56
23.51,13.35,89.0,14.0,90.51999999999998,1.72,53.929517000000004,7.042452000000001,2020-04-01 12:24,255.48,9.56
24.12,13.35,91.0,17.7483,93.51,1.72,53.926883,7.02705,2020-04-01 12:26,255.49,9.56
24.36,13.35,91.0,17.2339,93.0,1.72,53.9255,7.01925,2020-04-01 12:27,255.0,9.56
24.09,13.35,94.61,17.1825,95.39999999999998,1.72,53.924082999999996,7.0113,2020-04-01 12:28,254.6,9.56
24.08,13.35,89.0,17.594,87.00999999999998,1.72,53.922683,7.00365,2020-04-01 12:29,254.99,9.56
24.13,13.35,90.0,14.0,89.69999999999996,1.72,53.9213,6.995717,2020-04-01 12:30,255.3,9.56
23.57,13.35,91.0,17.0796,86.84000000000003,1.72,53.91996700000001,6.9880830000000005,2020-04-01 12:31,255.16,9.56
24.05,13.35,92.0,17.2339,93.56,1.72,53.918567,6.980217,2020-04-01 12:32,255.44,9.56
23.93,13.35,91.0,18.8287,93.97000000000004,1.72,53.915833,6.964633,2020-04-01 12:34,255.03,9.56
23.9,13.35,91.0,14.0,91.96000000000004,1.72,53.913132999999995,6.94915,2020-04-01 12:36,255.04,9.56
23.58,13.35,91.0,14.0,89.25,1.72,53.9118,6.941567,2020-04-01 12:37,254.75,9.56
23.39,13.35,65.63,14.0,93.76999999999998,1.72,53.9104,6.933767,2020-04-01 12:38,255.23,9.56
24.58,13.35,92.0,14.0,93.84000000000003,1.72,53.909082999999995,6.926233,2020-04-01 12:39,255.16,9.56
24.2,13.35,93.0,18.8801,92.84000000000003,1.72,53.90773299999999,6.918433,2020-04-01 12:40,255.16,9.56
24.0,13.35,90.0,18.2628,95.43,1.72,53.906367,6.91085,2020-04-01 12:41,254.57,9.56
23.3,13.35,65.63,14.0,92.39,1.72,53.90493299999999,6.902966999999999,2020-04-01 12:42,255.61,9.56
24.21,13.35,92.0,18.7258,91.81,1.72,53.90255,6.88745,2020-04-01 12:44,257.19,9.56
23.89,13.35,91.0,17.9027,90.83999999999996,1.72,53.90135,6.87985,2020-04-01 12:45,257.16,9.56
24.27,13.35,89.0,18.2628,92.07999999999998,1.72,53.9002,6.87195,2020-04-01 12:46,256.92,9.56
22.87,13.35,58.47,17.9541,90.93,1.72,53.89905,6.86435,2020-04-01 12:47,257.07,9.56
24.13,13.35,90.0,17.4397,92.22000000000004,1.72,53.89786700000001,6.856466999999999,2020-04-01 12:48,256.78,9.56
23.79,13.35,90.0,18.52,89.86000000000001,1.72,53.89553299999999,6.841,2020-04-01 12:50,257.14,9.56
24.35,13.35,92.0,18.6743,88.26999999999998,1.72,53.894417000000004,6.833383,2020-04-01 12:51,258.73,9.56
23.68,13.35,89.0,18.3142,88.13,1.72,53.892582999999995,6.81755,2020-04-01 12:53,259.87,9.56
23.51,13.35,88.0,18.3142,88.23000000000002,1.72,53.89101700000001,6.8016,2020-04-01 12:55,261.77,9.56
23.97,13.35,89.0,17.9027,87.27999999999996,1.72,53.8903,6.79355,2020-04-01 12:56,261.72,9.56
24.03,13.35,90.0,18.8801,88.24000000000002,1.72,53.8896,6.7857330000000005,2020-04-01 12:57,261.76,9.56
23.76,13.35,100.0,14.0,88.19,1.72,53.88888299999999,6.77765,2020-04-01 12:58,261.81,9.56
23.65,13.35,91.0,18.2113,89.01999999999998,1.72,53.88815,6.7699,2020-04-01 12:59,261.98,9.56
23.67,13.35,92.0,14.0,89.86000000000001,1.72,53.8874,6.761867,2020-04-01 13:00,262.14,9.56
23.6,13.35,92.0,14.0,86.05000000000004,1.72,53.88675,6.754017,2020-04-01 13:01,261.95,9.56
23.95,13.35,92.0,17.9027,80.77999999999997,1.72,53.884032999999995,6.7303,2020-04-01 13:04,257.22,9.56
24.15,13.35,93.0,14.0,88.81,1.72,53.88288299999999,6.722567,2020-04-01 13:05,257.19,9.56
24.11,13.35,90.0,14.0,91.89,1.72,53.8817,6.7144,2020-04-01 13:06,257.11,9.56
24.06,13.35,90.0,14.0,89.83999999999996,1.72,53.880567000000006,6.706617,2020-04-01 13:07,257.16,9.56
