stw,draft,foc,ws,wd,swh,lat,lon,dt,vslHeading,wsWS
16.31,11.03,30.0,7.9739,-90.62,1.0,51.610533000000004,1.776617,2020-05-14 06:06,160.62,4.49
15.62,11.03,23.08,7.9224,-91.72000000000004,1.0,51.607267,1.7786,2020-05-14 06:07,160.72,4.49
15.54,11.03,23.08,10.5976,-101.63,1.0,51.604033,1.780517,2020-05-14 06:08,160.63,4.49
15.47,11.03,23.08,8.797,-91.73000000000002,1.0,51.600716999999996,1.7825669999999998,2020-05-14 06:09,160.73,4.49
15.54,11.03,23.08,8.0768,-84.16999999999996,1.0,51.5975,1.7845330000000001,2020-05-14 06:10,161.17,4.49
15.52,11.03,22.5,7.407999999999999,-80.69,1.0,51.5942,1.7864830000000005,2020-05-14 06:11,161.69,4.49
15.91,11.03,23.9,9.26,-94.81,1.0,51.5909,1.78845,2020-05-14 06:12,160.81,4.49
15.89,11.03,23.9,8.8484,-81.57,1.0,51.587633000000004,1.790517,2020-05-14 06:13,158.57,4.49
14.96,11.03,22.8,10.9577,-80.75999999999998,1.0,51.584367,1.7928169999999999,2020-05-14 06:14,157.76,4.49
15.6,11.03,23.08,9.5172,-75.01999999999998,1.0,51.581133,1.795133,2020-05-14 06:15,158.02,4.49
15.29,11.03,23.08,8.0253,-79.23000000000002,1.0,51.5779,1.79735,2020-05-14 06:16,158.23,4.49
15.85,11.03,23.9,8.2826,-81.36000000000001,1.0,51.574683,1.7997,2020-05-14 06:17,157.36,4.49
15.99,11.03,23.9,9.5687,-79.93,1.0,51.571467,1.802083,2020-05-14 06:18,157.93,4.49
15.65,11.03,23.08,10.649000000000001,-92.0,1.0,51.56825,1.80445,2020-05-14 06:19,158.0,4.49
15.63,11.03,23.08,9.9288,-82.31,1.0,51.565067,1.8068,2020-05-14 06:20,158.31,4.49
16.31,11.03,31.0,10.8033,-93.68,1.0,51.561766999999996,1.8091830000000002,2020-05-14 06:21,157.68,4.49
15.28,11.03,21.81,7.7681,-75.48000000000002,1.0,51.558667,1.811567,2020-05-14 06:22,157.48,4.49
15.89,11.03,23.9,10.5461,-93.27999999999996,1.0,51.555583,1.8139669999999999,2020-05-14 06:23,158.28,4.49
15.59,11.03,23.08,9.2086,-94.96000000000004,1.0,51.5524,1.8163,2020-05-14 06:24,157.96,4.49
15.26,11.03,23.08,9.1571,-86.24000000000002,1.0,51.549217,1.818617,2020-05-14 06:25,158.24,4.49
15.48,11.03,23.08,8.334,-84.94999999999997,1.0,51.54605,1.8209830000000002,2020-05-14 06:26,157.95,4.49
15.44,11.03,23.08,10.0317,-90.75,1.0,51.542883,1.8233830000000002,2020-05-14 06:27,157.75,4.49
15.53,11.03,23.08,9.8259,-93.75,1.0,51.539733,1.825767,2020-05-14 06:28,157.75,4.49
15.46,11.03,23.08,9.0542,-81.08000000000004,1.0,51.536567,1.8281669999999999,2020-05-14 06:29,158.08,4.49
15.1,11.03,22.29,9.9802,-80.74000000000002,1.0,51.5334,1.83055,2020-05-14 06:30,157.74,4.49
14.98,11.03,22.34,10.3403,-93.90999999999997,1.0,51.53025,1.8329669999999998,2020-05-14 06:31,157.91,4.49
15.28,11.03,23.08,8.7456,-85.19999999999997,1.0,51.52708300000001,1.835333,2020-05-14 06:32,158.2,4.49
15.1,11.03,23.31,12.964,-101.37,1.0,51.523917,1.8376830000000002,2020-05-14 06:33,158.37,4.49
15.39,11.03,23.08,9.5687,-70.32,1.0,51.5207,1.84005,2020-05-14 06:34,158.32,4.49
15.81,11.03,23.9,8.2311,-76.58000000000004,1.0,51.517633000000004,1.84235,2020-05-14 06:35,157.58,4.49
15.23,11.03,23.31,11.4207,-83.0,1.0,51.514466999999996,1.8448330000000002,2020-05-14 06:36,157.0,4.49
15.95,11.03,32.0,10.8033,-81.83000000000004,1.0,51.511367,1.8473169999999999,2020-05-14 06:37,157.83,4.49
15.59,11.03,23.08,9.7744,-87.02999999999996,1.0,51.508267,1.84975,2020-05-14 06:38,158.03,4.49
15.63,11.03,24.48,11.4721,-88.10000000000002,1.0,51.50515,1.85215,2020-05-14 06:39,158.1,4.49
15.51,11.03,23.08,9.1057,-91.10000000000002,1.0,51.501983,1.8545669999999999,2020-05-14 06:40,158.1,4.49
15.16,11.03,23.31,12.1923,-100.34000000000003,0.0,51.498767,1.8569669999999998,2020-05-14 06:41,158.34,6.03
15.14,11.03,22.29,10.0317,-84.03999999999995,0.0,51.495533,1.8593169999999999,2020-05-14 06:42,158.04,6.03
15.72,11.03,23.08,9.6716,-68.81,0.0,51.492333,1.8617169999999998,2020-05-14 06:43,157.81,6.03
16.23,11.03,32.0,10.9062,-95.53999999999996,0.0,51.489133,1.8641169999999998,2020-05-14 06:44,158.54,6.03
15.37,11.03,23.08,10.4432,-77.89999999999998,0.0,51.4859,1.8664169999999998,2020-05-14 06:45,158.9,6.03
15.68,11.03,23.08,9.5172,-72.86000000000001,0.0,51.482633,1.8687669999999998,2020-05-14 06:46,157.86,6.03
15.12,11.03,23.31,11.3692,-100.87,0.0,51.4795,1.8711,2020-05-14 06:47,157.87,6.03
16.03,11.03,23.65,10.5461,-82.90999999999997,0.0,51.47635,1.8735169999999999,2020-05-14 06:48,154.91,6.03
16.59,11.03,30.0,11.8322,-83.11000000000001,0.0,51.473267,1.876167,2020-05-14 06:49,152.11,6.03
16.09,11.03,31.0,11.4207,-83.23000000000002,0.0,51.47025,1.878983,2020-05-14 06:50,149.23,6.03
15.56,11.03,30.0,11.7808,-82.65999999999997,0.0,51.467417,1.8821330000000005,2020-05-14 06:51,146.66,6.03
15.93,11.03,31.0,15.1761,-84.88999999999999,0.0,51.464566999999995,1.8855169999999999,2020-05-14 06:52,144.89,6.03
15.99,11.03,31.0,14.4045,-82.75999999999998,0.0,51.461867,1.8889,2020-05-14 06:53,142.76,6.03
15.79,11.03,23.9,10.0,-100.52999999999996,0.0,51.459216999999995,1.892467,2020-05-14 06:54,141.53,6.03
15.43,11.03,23.08,10.0,-93.58000000000004,0.0,51.4566,1.8961169999999998,2020-05-14 06:55,141.58,6.03
15.21,11.03,33.0,15.4848,-92.89999999999998,0.0,51.453967,1.8997,2020-05-14 06:56,141.9,6.03
15.09,11.03,23.31,11.0,-91.73000000000002,0.0,51.451367,1.9032830000000005,2020-05-14 06:57,141.73,6.03
15.47,11.03,23.08,10.0,-95.93,0.0,51.44875,1.9068169999999998,2020-05-14 06:58,141.93,6.03
15.07,11.03,32.0,15.2276,-101.14999999999998,0.0,51.44615,1.91035,2020-05-14 06:59,142.15,6.03
14.75,11.03,23.16,15.3819,-99.55,0.0,51.443533,1.9138669999999998,2020-05-14 07:00,142.55,6.03
15.65,11.03,32.0,13.7357,-103.75,0.0,51.440917,1.9173,2020-05-14 07:01,142.75,6.03
15.41,11.03,29.26,14.4559,-107.14999999999998,0.0,51.438283,1.9208330000000002,2020-05-14 07:02,142.15,6.03
14.77,11.03,32.0,13.8386,-105.89999999999998,0.0,51.435733,1.92425,2020-05-14 07:03,141.9,6.03
15.0,11.03,22.8,13.1183,-99.31,0.0,51.4332,1.9277830000000002,2020-05-14 07:04,142.31,6.03
