stw,draft,foc,ws,wd,swh
18.372,7.165,80.25,5,0.49,0.49
17.908,7.165,81.08,5,0.49,0.49
17.617,7.225,80.02,4,0.49,0.49
17.718,7.2200000000000015,80.02,4,0.49,0.49
18.664,7.2200000000000015,80.25,6,0.49,0.49
18.718,9.1575,79.0,5,0.78,0.78
18.581,7.25,79.0,6,0.49,0.49
18.553,7.26,79.0,5,0.49,0.49
18.356,7.285,80.25,5,0.49,0.49
18.36,7.255000000000001,78.88,2,0.84,0.84
18.092,7.354999999999999,80.91,5,0.49,0.49
18.065,7.2799999999999985,80.91,6,0.49,0.49
17.467,7.2799999999999985,81.33,6,0.49,0.49
16.994,7.314999999999999,81.61,6,0.49,0.49
16.567,7.3,74.43,5,0.65,0.65
16.379,7.3450000000000015,71.6,5,0.65,0.65
12.882,7.4975,31.83,5,0.49,0.49
12.594,7.5025,31.66,5,0.65,0.65
12.366,7.52,31.53,5,0.78,0.78
12.278,5.1575000000000015,31.53,6,0.49,0.49
12.354,7.595,31.53,5,0.84,0.84
12.457,7.595,31.19,4,0.84,0.84
12.47,7.62,31.53,5,0.49,0.49
12.552,7.584999999999999,31.66,5,0.49,0.49
12.554,7.595,31.66,6,0.49,0.49
12.547,7.58,31.66,5,0.49,0.49
12.569,6.9875,31.66,6,0.49,0.49
12.571,7.6,31.66,5,0.49,0.49
12.454,7.6,31.53,6,0.49,0.49
12.406,7.3125,31.53,5,0.49,0.49
12.379,7.574999999999997,31.53,5,0.49,0.49
12.443,6.6999999999999975,31.53,5,0.49,0.49
14.797,7.365,39.5,6,0.49,0.49
15.949000000000002,7.365,70.0,6,0.49,0.49
16.512,6.8,73.0,6,0.49,0.49
16.955,6.92,79.0,6,0.51,0.51
17.358,6.92,81.33,6,0.51,0.51
17.660999999999994,7.255,82.35,6,0.49,0.49
17.824,7.274999999999999,81.08,6,0.49,0.49
17.967,7.275,81.01,5,0.8,0.8
18.173,7.25,83.22,6,0.49,0.49
18.392,7.229999999999999,79.0,6,0.49,0.49
18.465,7.2200000000000015,78.0,7,0.49,0.49
18.448,7.2200000000000015,79.0,6,0.49,0.49
18.511,7.215,80.25,7,0.49,0.49
18.534,7.225,80.25,7,0.49,0.49
18.537,7.2,80.0,7,0.49,0.49
18.654,7.22,77.48,5,0.49,0.49
16.469,7.25,71.6,6,0.54,0.54
13.07,7.449999999999997,33.13,7,0.54,0.54
12.09,5.005,31.47,7,0.54,0.54
12.124,7.5,30.0,6,0.54,0.54
12.034,6.6575,31.0,6,0.54,0.54
12.184,7.57,29.0,5,0.54,0.54
12.456,7.555,29.0,5,0.54,0.54
12.555,7.5,29.0,5,0.54,0.54
12.678,7.53,32.72,4,0.54,0.54
12.819,7.505,32.54,4,0.54,0.54
12.879,7.505,32.54,4,0.54,0.54
13.065,8.25,33.13,6,0.54,0.54
13.108,7.5299999999999985,32.4,4,0.54,0.54
13.105,7.5,32.4,4,0.54,0.54
13.105,7.479999999999999,32.4,4,0.54,0.54
13.101,7.51,32.4,4,0.82,0.82
13.095,7.505000000000001,32.4,4,0.82,0.82
13.069,7.505000000000001,32.4,4,0.54,0.54
13.066,7.545,33.13,6,0.54,0.54
13.117,7.53,32.4,4,0.82,0.82
13.123,7.535,32.4,4,0.54,0.54
13.1,7.53,32.4,4,0.95,0.95
13.226,7.545,32.4,4,0.54,0.54
13.455,8.7,39.65,4,0.82,0.82
13.844,7.51,47.56237451818337,5,0.53,0.53
13.949000000000002,7.52,48.25058447693846,5,0.8,0.8
13.916,7.52,48.107640544689644,5,0.53,0.53
