stw,draft,foc,ws,wd,swh
13.172,6.125,33.3,5,1.3,1.3
13.088,6.125,32.4,5,1.3,1.3
13.094,6.125,32.4,5,1.28,1.28
13.098,6.125,32.4,5,1.28,1.28
13.162,6.125,32.4,5,1.42,1.42
13.106,6.125,32.4,4,1.28,1.28
13.111,6.125,32.4,4,1.28,1.28
13.175,6.15,32.4,4,1.52,1.52
13.118,6.15,32.4,5,1.2,1.2
13.192,6.15,32.4,5,1.3,1.3
13.216,6.15,32.4,5,1.52,1.52
13.199000000000002,6.145,32.4,5,1.2,1.2
13.126,6.145,32.4,5,1.3,1.3
13.129,6.145,32.4,5,1.3,1.3
13.134,6.145,32.4,5,1.52,1.52
13.14,6.145,31.8,4,0.98,0.98
13.043,6.145,32.4,5,1.3,1.3
13.186,6.145,32.4,5,1.3,1.3
13.152,3.625,31.8,4,1.3,1.3
13.186,3.625,32.4,5,1.3,1.3
13.133,3.625,32.4,5,1.3,1.3
13.119000000000002,3.625,32.4,5,1.3,1.3
13.133,3.625,32.4,5,1.3,1.3
13.07,3.625,32.4,4,1.3,1.3
13.075,3.625,32.4,4,1.3,1.3
13.08,3.625,32.4,4,1.3,1.3
12.985,3.625,32.54,5,1.3,1.3
12.991,3.6125,32.54,5,1.27,1.27
13.005,3.6125,32.4,5,1.27,1.27
13.02,3.6125,32.4,5,1.27,1.27
12.905,3.6125,32.54,5,1.27,1.27
12.981,3.6125,32.54,5,1.27,1.27
12.915,3.6125,32.54,5,1.27,1.27
12.904000000000002,3.6125,32.54,5,1.27,1.27
12.769,3.6125,32.54,5,1.27,1.27
12.672,3.6125,29.59,5,1.27,1.27
12.684,3.6125,29.59,5,1.27,1.27
12.741,3.6125,32.72,3,1.27,1.27
12.697,3.6125,29.59,5,1.3,1.3
12.584,3.605,29.59,5,1.27,1.27
12.588,3.605,29.59,5,1.27,1.27
12.674,3.605,32.72,3,1.27,1.27
12.71,3.605,32.72,4,1.27,1.27
12.714,3.605,31.66,5,1.29,1.29
12.747,3.605,31.66,5,1.29,1.29
12.713,3.63,31.66,5,1.29,1.29
12.718,3.63,29.59,5,1.29,1.29
12.723,3.63,29.59,5,1.29,1.29
12.789,3.63,31.83,5,1.29,1.29
12.732,3.63,31.66,5,1.29,1.29
12.737,3.63,29.59,5,1.29,1.29
12.842,3.63,31.83,5,1.29,1.29
12.836,6.1549999999999985,31.83,5,1.29,1.29
12.754,6.1549999999999985,33.99,3,1.29,1.29
12.86,6.1549999999999985,31.83,5,1.23,1.23
12.865,6.1549999999999985,32.54,5,1.29,1.29
12.859000000000002,6.1549999999999985,32.54,5,1.29,1.29
12.877,6.1549999999999985,32.54,5,1.29,1.29
12.78,6.1549999999999985,33.99,4,1.1,1.1
12.887,6.1549999999999985,32.54,5,1.29,1.29
12.9,6.1549999999999985,31.83,5,1.23,1.23
12.895,6.1549999999999985,32.54,4,1.29,1.29
12.899,6.1549999999999985,31.83,5,1.29,1.29
12.915,6.1549999999999985,32.54,5,1.29,1.29
12.911,6.1549999999999985,31.83,5,1.29,1.29
12.957,6.1549999999999985,31.83,5,1.29,1.29
13.0,6.1549999999999985,33.99,3,1.29,1.29
13.052,6.1549999999999985,32.4,5,1.29,1.29
13.049,6.1549999999999985,33.3,5,1.29,1.29
13.053,6.1549999999999985,31.8,3,1.29,1.29
13.057,6.1549999999999985,32.4,5,1.1,1.1
13.06,6.1549999999999985,32.4,5,1.29,1.29
12.932,6.1549999999999985,32.54,5,1.29,1.29
12.806,6.1549999999999985,32.54,5,1.29,1.29
12.851,6.1549999999999985,32.54,4,1.29,1.29
12.921,6.1549999999999985,32.54,4,1.29,1.29
12.898,6.1549999999999985,32.54,4,1.29,1.29
12.887,3.6,32.54,4,1.29,1.29
12.81,3.6,32.54,4,1.29,1.29
12.826,3.6,32.54,4,1.29,1.29
12.885,3.6,32.54,4,1.29,1.29
12.882,3.6,33.99,4,1.29,1.29
12.904000000000002,3.6,33.99,4,1.29,1.29
12.925,3.6,33.99,4,1.32,1.32
12.943,3.6,33.99,2,1.29,1.29
12.995,3.6,33.99,3,1.29,1.29
12.947,3.6,33.99,3,1.29,1.29
13.042,3.6,31.8,3,1.29,1.29
13.014,3.6,31.8,3,1.29,1.29
12.956,3.6,33.99,3,1.29,1.29
12.96,3.6,33.99,4,1.29,1.29
12.97,3.6,33.99,4,1.29,1.29
12.974,3.6,33.99,4,1.29,1.29
13.045,3.6,31.8,4,1.29,1.29
12.988,3.6,33.99,4,1.29,1.29
13.025,3.6,31.8,4,1.29,1.29
13.029000000000002,3.6,31.8,4,1.29,1.29
13.041,3.6,32.4,4,1.23,1.23
12.984000000000002,4.86,33.99,4,1.29,1.29
12.987,4.86,33.99,4,1.29,1.29
12.988,6.12,33.99,4,1.29,1.29
12.894,6.12,32.54,4,1.29,1.29
