stw,draft,foc,ws,wd,swh,lat,lon,dt,vslHeading,wsWS
12.41,12.315,49.5,5.0,69.84999999999997,0.0,9.183208,-79.852533,2020-06-28 15:51:00,268.05,0.37
11.93,12.32,30.0,4.0,26.18000000000001,0.0,9.194898,-79.893683,2020-06-28 16:03:00,301.42,0.37
11.93,12.4475,30.0,5.0,36.04999999999996,0.0,9.196686999999999,-79.89676700000003,2020-06-28 16:04:00,300.35,0.37
10.34,12.09,23.0,5.8,26.11000000000001,0.0,9.213557000000002,-79.921367,2020-06-28 16:15:00,306.09,0.37
10.74,10.8525,32.0,5.9,324.91,0.0,9.409658,-79.9172,2020-06-28 20:20:00,0.29,1.65
11.0713,11.46,25.0,7.7,319.6,0.0,9.425805,-79.91635,2020-06-28 20:24:00,359.9,1.65
11.2258,11.405,26.0,7.2,154.24,0.0,9.429077000000001,-79.9161,2020-06-28 20:25:00,359.81,1.65
11.2158,11.17,27.0,8.7,153.82000000000005,0.0,9.43235,-79.915817,2020-06-28 20:26:00,0.23,1.65
11.1868,11.425,28.0,9.1,319.81,0.0,9.43235,-79.91551700000002,2020-06-28 20:27:00,0.59,1.65
11.3029,11.38,30.0,7.5,311.83,0.0,9.43892,-79.91495,2020-06-28 20:28:00,7.37,1.65
11.0741,11.41,28.0,6.2,269.59000000000003,0.0,9.442008,-79.7499415,2020-06-28 20:29:00,19.26,1.65
10.7,11.37,31.0,5.3,291.04,0.0,9.444833000000001,-79.91225,2020-06-28 20:30:00,19.26,1.65
10.58,11.445,29.5,4.8,277.84,0.0,9.444833000000001,-79.910317,2020-06-28 20:31:00,36.36,1.65
10.8,11.395,27.0,4.3,266.49,0.0,9.450097,-79.90825,2020-06-28 20:32:00,36.41,1.65
14.57,11.24,57.0,4.15,291.22,0.0,9.475132,-79.88771700000002,2020-06-28 20:40:00,40.98,1.65
14.75,10.895,56.0,6.3,293.0499999999999,0.0,9.48184,-79.88193299999998,2020-06-28 20:42:00,39.35,1.65
14.87,11.25,57.0,5.7,284.9,0.0,9.485207,-79.87898299999998,2020-06-28 20:43:00,40.3,1.65
17.04,11.105,83.0,7.7,279.48,1.82,9.510652,-79.856783,2020-06-28 20:50:00,40.02,0.86
17.16,11.105,80.0,8.3,288.7,1.82,9.510652,-79.85345,2020-06-28 20:51:00,39.8,0.86
17.21,11.21,80.0,7.9,287.8300000000001,1.82,9.516377499999999,-79.85015,2020-06-28 20:52:00,39.77,0.86
17.33,11.17,79.0,7.2,290.62,1.82,9.522128,-79.846783,2020-06-28 20:53:00,40.18,0.86
17.33,10.485,77.0,5.4,284.07,1.82,9.526005,-79.843383,2020-06-28 20:54:00,39.93,0.86
17.64,11.125,82.0,7.3,285.22,1.82,9.533807000000001,-79.83655,2020-06-28 20:56:00,39.88,0.86
17.68,11.095,80.0,7.7,278.55,1.82,9.537643,-79.8332,2020-06-28 20:57:00,39.95,0.86
17.77,11.105,82.0,7.4,123.24,1.82,9.541557000000001,-79.82978299999998,2020-06-28 20:58:00,40.01,0.86
17.87,10.955,81.0,6.8,275.39,1.82,9.545507,-79.826317,2020-06-28 20:59:00,39.91,0.86
17.98,11.08,81.0,7.5,237.87,0.0,20.013845,21.3405665,2020-06-28 21:00:00,40.13,5.17
18.21,10.775,83.0,7.7,279.71,0.0,9.557398,21.344025,2020-06-28 21:02:00,39.79,1.23
18.2202,11.055,79.0,7.7,281.77,1.82,9.569417999999999,-79.8058,2020-06-28 21:05:00,37.13,0.86
18.31,11.06,82.0,5.45,280.84,1.82,9.57355,-79.802483,2020-06-28 21:06:00,38.06,0.86
18.34,11.06,84.0,6.6,277.2,0.0,9.577632000000001,21.352425,2020-06-28 21:07:00,38.2,1.23
18.33,11.09,83.0,6.7,235.35,1.82,9.585807,-79.79253299999998,2020-06-28 21:09:00,38.05,0.86
18.24,11.055,82.0,6.7,277.11,1.82,9.589913000000001,-79.79253299999998,2020-06-28 21:10:00,38.19,0.86
18.24,11.135000000000002,82.0,6.7,281.49,1.82,9.59401,-79.78586700000002,2020-06-28 21:11:00,38.01,0.86
18.23,11.125,83.0,6.7,277.27,1.82,9.598103,-79.78586700000002,2020-06-28 21:12:00,38.03,0.86
18.26,11.145,83.0,7.0,271.71,1.82,9.602213,-79.779217,2020-06-28 21:13:00,37.99,0.86
18.21,11.085,83.0,6.4,275.71,0.0,9.293681,-79.77595,2020-06-28 21:14:00,38.19,1.65
18.29,11.1,90.0,6.7,261.51,1.82,9.614275,-79.76899999999998,2020-06-28 21:16:00,43.49,0.86
18.2,9.353333333333332,94.0,7.6,273.65000000000003,1.82,9.621822,-79.761483,2020-06-28 21:18:00,42.65,0.86
18.07,11.3,80.0,7.6,271.95,1.82,9.629455,-79.75425,2020-06-28 21:20:00,43.35,0.86
18.22,11.055,79.0,5.8,277.67999999999995,1.82,9.633315,-79.750567,2020-06-28 21:21:00,43.22,0.86
17.97,11.09,80.0,6.2,277.78000000000003,1.82,9.637163000000001,-79.746933,2020-06-28 21:22:00,42.82,0.86
18.16,11.09,79.0,3.95,139.23000000000002,1.82,9.641062,-79.743267,2020-06-28 21:23:00,182.37,0.86
18.38,10.955,77.0,7.8,256.82,1.82,9.644948,-79.739583,2020-06-28 21:24:00,43.18,0.86
18.46,10.965,77.0,6.0,276.55,1.82,9.648838,-79.735867,2020-06-28 21:25:00,42.95,0.86
18.39,10.965,77.0,5.9,272.64000000000004,1.82,9.652652999999999,-79.73225,2020-06-28 21:26:00,42.96,0.86
18.09,11.07,79.0,6.5,276.79,0.0,9.660357000000001,21.5242165,2020-06-28 21:28:00,42.71,1.67
18.09,11.09,79.0,6.5,274.26,1.82,9.664225,-79.72121700000002,2020-06-28 21:29:00,43.04,0.86
18.09,11.05,79.0,5.9,269.45,1.82,9.6681,-79.71753299999997,2020-06-28 21:30:00,43.35,0.86
18.24,11.4125,79.0,7.3,262.53,1.82,9.671983,-79.71386700000002,2020-06-28 21:31:00,42.97,0.86
18.32,11.035,79.0,7.2,270.35,1.82,9.675832000000002,-79.71028299999998,2020-06-28 21:32:00,42.45,0.86
18.28,11.09,79.0,7.3,265.99,1.82,9.679763000000001,-79.70661700000002,2020-06-28 21:33:00,42.81,0.86
18.43,11.015,78.0,7.1,270.54999999999995,1.82,9.683683,-79.702933,2020-06-28 21:34:00,43.35,0.86
18.38,11.015,78.0,6.3,276.33,1.82,9.687585,-79.69925,2020-06-28 21:35:00,43.17,0.86
18.38,11.08,78.0,6.3,276.33,1.82,9.69152,-79.69555,2020-06-28 21:36:00,43.17,0.86
18.45,10.43,79.0,7.5,261.43,1.82,9.695453,-79.69188299999998,2020-06-28 21:37:00,42.87,0.86
18.45,11.045,85.0,5.8,269.84,1.82,9.711055,-79.680867,2020-06-28 21:41:00,45.56,0.86
18.18,11.14,84.0,4.4,272.25,1.82,9.717189999999999,-79.66833299999998,2020-06-28 21:43:00,61.05,0.86
18.18,10.51,73.0,5.8,276.72,1.82,9.720133,-79.663883,2020-06-28 21:44:00,55.48,0.86
18.0,11.12,81.0,4.2,266.25,1.82,9.723307,-79.659617,2020-06-28 21:45:00,53.25,0.86
18.19,11.095,81.0,4.5,269.8,1.82,9.726432,-79.65525,2020-06-28 21:46:00,55.4,0.86
18.37,11.02,87.0,4.1,250.37,1.82,9.729377000000001,-79.65075,2020-06-28 21:47:00,58.83,0.86
17.95,11.035,87.0,2.85,293.24,1.82,9.733452,-79.640967,2020-06-28 21:49:00,75.26,0.86
