stw,draft,foc,ws,wd,swh,lat,lon,dt,vslHeading,wsWS
19.06,7.24,78.0,6.0,69.88,0.62,33.8352,125.66799999999999,2020-05-28 15:12:00,289.12,0.11
19.28,7.244999999999999,78.0,6.0,84.82,0.62,33.836783000000004,125.661833,2020-05-28 15:13:00,289.18,0.11
18.485,7.2349999999999985,78.0,6.0,92.21000000000004,0.62,33.8384,125.655833,2020-05-28 15:14:00,289.09,0.11
19.11,7.2200000000000015,78.0,5.0,87.62,0.62,33.840067,125.655833,2020-05-28 15:15:00,288.08,0.11
19.09,7.225,78.0,5.0,87.71999999999996,0.62,33.841667,125.6435,2020-05-28 15:16:00,287.98,0.11
19.04,7.21,78.0,6.0,71.17000000000002,0.62,33.844867,125.63116699999999,2020-05-28 15:18:00,287.83,0.11
19.0301,7.1999999999999975,78.0,5.0,71.94999999999997,0.92,31.999758500000002,125.625,2020-05-28 15:19:00,288.05,0.69
18.99,7.2200000000000015,78.0,5.0,71.01999999999998,0.62,33.848083,125.61883300000001,2020-05-28 15:20:00,287.98,0.11
18.97,8.3125,78.0,5.0,66.81,0.62,33.849717,125.61266699999999,2020-05-28 15:21:00,285.49,0.11
19.17,7.215,79.0,5.0,243.95,0.62,33.8526,125.600333,2020-05-28 15:23:00,284.95,0.11
19.03,7.23,77.0,5.0,73.98000000000002,0.62,33.853967,125.594,2020-05-28 15:24:00,285.02,0.11
19.03,7.209999999999999,78.0,5.0,60.27999999999997,0.62,33.8553,125.587833,2020-05-28 15:25:00,284.92,0.11
19.1,7.215,78.0,4.0,85.47000000000003,0.62,33.856633,125.5815,2020-05-28 15:26:00,274.53,0.11
19.13,7.210000000000001,78.0,3.0,73.95999999999998,0.62,33.857983000000004,125.575333,2020-05-28 15:27:00,285.04,0.11
10.215,7.2349999999999985,78.0,8.0,83.25,0.69,33.859333,123.79675,2020-05-28 15:28:00,285.05,4.85
19.1,7.215,77.0,5.0,64.05000000000001,0.62,33.8607,125.56266699999999,2020-05-28 15:29:00,284.95,0.11
19.13,7.215,78.0,4.0,84.21999999999997,0.62,33.861999999999995,125.5565,2020-05-28 15:30:00,285.18,0.11
19.1,7.19,78.0,5.0,62.02999999999997,0.62,33.861999999999995,125.55016699999999,2020-05-28 15:31:00,285.17,0.11
19.11,7.23,77.0,6.0,86.99000000000002,0.62,33.8647,125.543833,2020-05-28 15:32:00,285.06,0.11
19.23,7.195,78.0,6.0,245.26,0.62,33.86735,125.531167,2020-05-28 15:34:00,113.74,0.11
19.28,7.215,78.0,6.0,245.26,0.62,33.8120665,125.524833,2020-05-28 15:35:00,113.74,0.11
19.45,7.215,79.0,5.0,345.905,0.62,33.869917,125.5185,2020-05-28 15:36:00,168.945,0.11
19.34,7.25,78.0,6.0,69.94999999999999,0.62,33.8725,125.50566699999999,2020-05-28 15:38:00,285.2,0.11
19.34,7.25,77.0,6.0,70.09999999999997,0.66,33.873816999999995,125.49933300000001,2020-05-28 15:39:00,285.05,2.3
19.44,7.225,78.0,7.0,75.01999999999998,0.66,33.876433,125.493,2020-05-28 15:42:00,284.98,2.3
10.35165,7.6066666666666665,78.0,8.0,160.62,0.66,33.879083,125.47399999999999,2020-05-28 15:43:00,199.38,2.3
19.46,7.621666666666666,78.0,8.0,83.32,0.66,33.880433000000004,125.47399999999999,2020-05-28 15:44:00,285.08,2.3
19.42,7.215,78.0,8.45,82.91000000000003,0.66,33.881766999999996,125.46116699999999,2020-05-28 15:45:00,285.09,2.3
19.38,7.225,78.0,8.45,45.61000000000002,0.66,33.883117,124.80983300000001,2020-05-28 15:46:00,285.09,2.3
19.38,7.2200000000000015,78.0,7.0,84.65000000000003,0.66,33.884483,125.4485,2020-05-28 15:47:00,284.95,2.3
19.36,7.215,77.0,8.0,139.11,0.66,33.885833,125.442167,2020-05-28 15:48:00,284.99,2.3
19.36,7.215,78.0,7.0,68.43499999999995,0.66,33.885833,125.435833,2020-05-28 15:49:00,290.56500000000005,2.3
19.23,7.1850000000000005,86.0,7.0,74.32,0.66,33.889967,125.42333300000001,2020-05-28 15:51:00,284.68,2.3
19.13,6.77,78.0,7.0,69.10000000000002,0.66,33.89535,125.39816699999999,2020-05-28 15:55:00,290.9,2.3
19.07,7.205,78.0,7.0,74.07,0.66,33.896683,125.391833,2020-05-28 15:56:00,284.93,2.3
19.07,7.19,78.0,6.0,73.83999999999997,0.66,33.898,125.3855,2020-05-28 15:57:00,285.16,2.3
19.29,7.0325,78.0,7.0,74.75999999999998,0.66,33.900633,125.37299999999999,2020-05-28 15:59:00,285.24,2.3
15.68,7.21,78.0,8.0,74.16000000000003,0.66,33.902017,125.36666699999999,2020-05-28 16:00:00,284.84,2.3
19.5101,7.21,78.0,9.4,74.0,0.66,33.903417,125.36033300000001,2020-05-28 16:01:00,285.0,2.3
19.5101,9.0875,77.0,6.0,191.44,0.66,33.9048,125.354,2020-05-28 16:02:00,167.56,2.3
19.41,7.18,77.0,7.0,74.94,0.66,33.907567,125.335,2020-05-28 16:05:00,285.06,2.3
15.4806,7.2200000000000015,77.0,6.0,44.60999999999997,0.66,33.910216999999996,125.328667,2020-05-28 16:06:00,290.79,2.3
19.38,7.2175,77.5,6.4,74.80000000000003,0.66,33.910216999999996,125.31583300000001,2020-05-28 16:08:00,285.2,2.3
19.38,7.195,77.5,6.0,75.08999999999997,0.66,33.91425,125.3095,2020-05-28 16:09:00,284.91,2.3
19.46,7.210000000000001,77.0,6.0,191.59,0.66,33.91555,125.30333300000001,2020-05-28 16:10:00,168.41,2.3
19.42,7.9725,77.0,9.4,101.79000000000002,0.66,33.9182,125.290667,2020-05-28 16:12:00,285.01,2.3
19.3,7.195,77.0,7.0,85.49000000000002,0.66,33.92015,125.281,2020-05-28 16:13:00,285.21,2.3
19.23,7.195,77.0,5.0,243.91,0.62,33.922117,126.031167,2020-05-28 16:14:00,285.04,0.11
19.04,6.115,77.0,7.0,96.05,0.66,33.926033000000004,125.25283300000001,2020-05-28 16:17:00,284.95,2.3
19.0,8.32,78.0,6.0,74.89999999999998,0.66,33.928583,125.240167,2020-05-28 16:19:00,285.1,2.3
19.0,7.21,78.0,8.8,84.82,0.66,33.929883000000004,125.233833,2020-05-28 16:20:00,284.98,2.3
19.0,7.2,77.0,8.8,264.78,0.66,33.931133,125.233833,2020-05-28 16:21:00,284.97,2.3
19.0,7.2,77.0,6.0,85.72999999999995,0.66,33.9324,125.221333,2020-05-28 16:22:00,284.97,2.3
19.02,7.2,78.0,6.0,92.52999999999996,0.66,33.9337,125.215,2020-05-28 16:23:00,284.97,2.3
19.03,7.17,78.0,6.0,91.43,0.66,33.935016999999995,125.20866699999999,2020-05-28 16:24:00,285.17,2.3
19.05,7.22,79.0,6.0,84.04000000000002,0.66,33.936433,125.20866699999999,2020-05-28 16:25:00,286.96,2.3
19.0,7.0875,77.0,7.0,88.94999999999996,0.66,33.937867,125.19616699999999,2020-05-28 16:26:00,287.05,2.3
19.04,7.0875,78.0,5.2,95.14000000000004,0.66,33.9394,125.19616699999999,2020-05-28 16:27:00,286.96,2.3
19.08,7.1175,78.0,9.35,88.34000000000003,0.66,33.9409,125.1835,2020-05-28 16:28:00,286.96,2.3
19.15,7.1175,77.0,6.0,251.21,0.66,33.94245,125.177167,2020-05-28 16:29:00,287.14,2.3
19.15,7.1075,78.0,6.0,73.0,0.66,33.94245,124.55333300000001,2020-05-28 16:30:00,287.0,2.3
19.19,7.0875,78.0,6.0,73.0,0.59,33.9455,125.6245,2020-05-28 16:31:00,287.0,1.87
19.51,7.955,77.0,7.0,73.07999999999998,0.65,33.950067,125.15166699999999,2020-05-28 16:34:00,286.92,3.24
19.51,7.215,77.0,7.0,77.90999999999997,0.65,33.9516,125.15166699999999,2020-05-28 16:35:00,286.99,3.24
19.51,7.195,76.0,7.0,78.02999999999997,0.65,33.9531,125.132333,2020-05-28 16:36:00,286.87,3.24
19.19,7.21,75.0,7.0,262.80999999999995,0.65,33.9531,125.132333,2020-05-28 16:37:00,287.04,3.24
19.11,7.9725,77.0,10.2,78.76999999999998,0.65,33.956083,125.11966699999999,2020-05-28 16:38:00,292.13,3.24
19.11,7.2349999999999985,77.0,7.0,83.88,0.65,33.9576,125.11966699999999,2020-05-28 16:39:00,287.02,3.24
18.94,7.229999999999999,77.0,7.0,79.94,0.65,33.959133,125.10700000000001,2020-05-28 16:40:00,287.06,3.24
19.04,7.229999999999999,78.0,7.0,88.0,0.61,33.960667,126.692167,2020-05-28 16:41:00,287.05,2.15
19.15,7.2349999999999985,78.0,7.0,209.365,0.65,33.9622,125.094167,2020-05-28 16:42:00,172.03500000000003,3.24
19.4,6.594999999999999,77.0,8.0,72.97000000000003,0.65,33.9383335,125.087833,2020-05-28 16:43:00,287.03,3.24
19.49,6.779999999999999,78.0,8.0,81.66000000000003,0.65,33.965267,125.081667,2020-05-28 16:44:00,286.84,3.24
19.49,7.229999999999999,86.0,7.0,73.16000000000003,0.65,33.966817,125.075167,2020-05-28 16:45:00,286.84,3.24
19.49,7.06,82.0,8.0,82.87,0.65,33.969967,125.0625,2020-05-28 16:47:00,287.03,3.24
19.53,7.235,82.0,7.0,73.05000000000003,0.65,33.971533,125.05616699999999,2020-05-28 16:48:00,286.95,3.24
10.38,7.22,78.0,8.0,85.25,0.65,33.974683,125.043667,2020-05-28 16:50:00,286.95,3.24
19.52,7.227500000000001,78.0,8.0,81.59999999999997,0.65,33.9763,125.037333,2020-05-28 16:51:00,287.1,3.24
19.53,7.225,78.0,7.0,42.5,0.65,33.977933,125.031,2020-05-28 16:52:00,287.1,3.24
19.55,7.18,78.0,7.0,73.07999999999998,0.65,33.9812,125.01816699999999,2020-05-28 16:54:00,286.92,3.24
19.56,7.2,79.0,7.0,73.04000000000002,0.65,33.9828,125.012,2020-05-28 16:55:00,286.96,3.24
19.57,7.225,78.0,8.0,72.04000000000002,0.65,33.984433,125.00566699999999,2020-05-28 16:56:00,286.96,3.24
19.67,7.215,78.0,7.0,84.09999999999997,0.65,33.986067,124.99916699999999,2020-05-28 16:57:00,287.1,3.24
19.72,9.39,77.0,7.0,84.09999999999997,0.65,33.987733,124.99916699999999,2020-05-28 16:58:00,287.1,3.24
19.6,7.195,77.0,7.0,84.47000000000003,0.65,33.991067,124.980167,2020-05-28 17:00:00,287.13,3.24
19.61,7.1850000000000005,78.0,7.0,66.64000000000004,0.65,33.9927,124.97383300000001,2020-05-28 17:01:00,286.96,3.24
19.45,7.215,78.0,7.0,94.95,0.65,33.995967,124.95483300000001,2020-05-28 17:04:00,285.85,3.24
19.48,7.205,78.0,12.5,81.94999999999997,0.86,33.999167,123.48641599999999,2020-05-28 17:05:00,285.85,7.22
19.41,6.77,78.0,12.6,81.88,0.86,34.000766999999996,123.48325,2020-05-28 17:06:00,285.92,7.22
19.42,6.77,78.0,7.0,68.86500000000001,0.65,34.002333,124.935667,2020-05-28 17:07:00,291.135,3.24
19.42,7.215,78.0,7.0,67.86500000000001,0.65,34.003966999999996,124.935667,2020-05-28 17:08:00,291.135,3.24
19.5201,7.19,78.0,7.0,73.04000000000002,0.65,34.003966999999996,124.92283300000001,2020-05-28 17:09:00,285.96,3.24
19.3803,7.185,79.0,7.0,93.39,0.65,34.007233,124.9165,2020-05-28 17:10:00,286.01,3.24
19.46,7.2,78.0,7.0,86.5,0.65,34.0088,124.903833,2020-05-28 17:12:00,285.6,3.24
19.46,7.22,79.0,10.2,159.115,0.65,34.011967,124.8975,2020-05-28 17:13:00,199.885,3.24
19.46,7.09,77.0,7.0,40.089999999999975,0.65,34.0136,124.891167,2020-05-28 17:14:00,285.91,3.24
19.39,7.924999999999999,78.0,10.4,74.08999999999997,0.65,34.0152,124.884833,2020-05-28 17:15:00,285.91,3.24
19.39,7.1999999999999975,77.0,7.0,86.79000000000002,0.65,34.016833,124.8785,2020-05-28 17:16:00,286.21,3.24
19.39,7.195,77.0,9.9,68.89999999999998,0.65,34.01845,124.87216699999999,2020-05-28 17:17:00,291.1,3.24
19.26,7.16,77.0,6.0,74.10000000000002,0.59,34.02,125.94091599999999,2020-05-28 17:18:00,285.9,1.87
19.22,7.164999999999999,77.0,8.7,73.91000000000003,0.65,34.0216,124.85966699999999,2020-05-28 17:19:00,286.09,3.24
10.09,7.022500000000001,77.0,10.2,73.07,0.65,34.0232,124.853333,2020-05-28 17:20:00,285.93,3.24
19.19,7.022500000000001,77.0,10.0,72.37,0.65,34.024867,124.84700000000001,2020-05-28 17:21:00,286.63,3.24
19.19,7.1999999999999975,83.0,7.0,69.05000000000001,0.65,34.024867,124.840833,2020-05-28 17:22:00,290.95,3.24
19.29,7.235,82.0,10.7,77.43,0.65,34.02905,124.835,2020-05-28 17:23:00,295.57,3.24
19.28,7.244999999999999,81.0,7.0,59.55000000000001,0.65,34.031733,124.829167,2020-05-28 17:24:00,300.45,3.24
19.31,7.195,78.0,7.0,58.99000000000001,0.65,34.037483,124.81783300000001,2020-05-28 17:26:00,301.01,3.24
19.31,6.74,79.0,9.05,83.13999999999999,0.65,34.040366999999996,124.81216699999999,2020-05-28 17:27:00,301.06,3.24
19.3,7.195,78.0,10.1,64.97000000000003,0.65,34.04325,124.8065,2020-05-28 17:28:00,301.03,3.24
19.27,7.19,78.0,10.5,59.01999999999998,0.65,34.04905,124.789667,2020-05-28 17:31:00,300.98,3.24
19.18,7.19,79.0,7.0,59.01999999999998,0.65,34.054867,124.784167,2020-05-28 17:32:00,300.98,3.24
19.18,7.19,78.0,9.9,59.06999999999999,0.65,34.057767,124.7785,2020-05-28 17:33:00,300.93,3.24
19.16,7.2125,78.0,10.6,59.01999999999998,0.65,34.060666999999995,124.772833,2020-05-28 17:34:00,300.98,3.24
19.23,7.0875,78.0,9.9,68.53999999999996,0.65,34.06355,124.76733300000001,2020-05-28 17:35:00,301.16,3.24
19.24,7.1850000000000005,79.0,10.5,59.04000000000002,0.65,34.066483000000005,124.76166699999999,2020-05-28 17:36:00,300.96,3.24
19.25,7.19,78.0,7.0,59.02999999999997,0.65,34.0694,124.756,2020-05-28 17:37:00,300.97,3.24
19.32,7.209999999999999,78.0,8.0,238.56,0.65,34.072333,124.75033300000001,2020-05-28 17:38:00,300.94,3.24
19.33,9.015,79.0,8.0,238.77,0.65,34.075267,124.74466699999999,2020-05-28 17:39:00,300.73,3.24
19.41,7.195,78.0,7.0,238.54,0.65,34.078167,124.73899999999999,2020-05-28 17:40:00,300.96,3.24
19.44,7.19,78.0,8.0,21.44999999999999,0.65,34.078167,124.7335,2020-05-28 17:41:00,301.05,3.24
19.42,7.19,77.0,10.4,57.91000000000002,0.65,34.089867,124.716333,2020-05-28 17:44:00,301.09,3.24
19.43,7.22,78.0,10.6,57.79000000000002,0.65,34.0928,124.71066699999999,2020-05-28 17:45:00,301.21,3.24
19.42,7.205,77.0,9.9,42.69999999999999,0.65,34.095683,124.70516699999999,2020-05-28 17:46:00,301.1,3.24
19.4,7.205,76.0,9.9,57.920000000000016,0.65,34.0986,124.6995,2020-05-28 17:47:00,301.08,3.24
19.45,7.19,78.0,9.7,58.920000000000016,0.65,34.101517,124.69383300000001,2020-05-28 17:48:00,301.08,3.24
19.5,7.1850000000000005,77.0,8.6,58.94999999999999,0.65,34.10445,124.68816699999999,2020-05-28 17:49:00,301.05,3.24
19.41,7.164999999999999,77.0,7.0,80.75,0.65,34.107366999999996,124.6825,2020-05-28 17:50:00,300.95,3.24
19.37,8.2825,78.0,7.75,252.89,0.65,34.11025,124.676833,2020-05-28 17:51:00,301.11,3.24
19.41,7.9175,77.0,7.0,58.83999999999998,0.65,34.1131,124.671333,2020-05-28 17:52:00,301.16,3.24
19.4,7.205,77.0,10.7,232.25,0.65,34.116,124.665667,2020-05-28 17:53:00,159.55,3.24
19.52,7.0025,77.0,7.0,52.01999999999998,0.65,34.40525,124.64883300000001,2020-05-28 17:56:00,300.88,3.24
19.225,7.154999999999999,78.0,7.0,74.57,0.65,34.127717,124.64316699999999,2020-05-28 17:57:00,301.08,3.24
19.4,6.7375,77.0,7.0,58.88,0.65,34.130567,124.6375,2020-05-28 17:58:00,301.12,3.24
19.4,7.0150000000000015,78.0,9.65,58.94999999999999,0.65,34.1335,124.632,2020-05-28 17:59:00,301.05,3.24
19.38,7.0150000000000015,77.0,9.65,58.94999999999999,0.65,34.136433000000004,124.626333,2020-05-28 18:00:00,301.05,3.24
19.34,7.1850000000000005,78.0,7.0,68.48000000000002,0.65,34.136433000000004,124.626333,2020-05-28 18:01:00,301.02,3.24
19.25,7.1850000000000005,79.0,7.0,129.11666666666667,0.65,34.145133,124.6095,2020-05-28 18:03:00,229.88333333333333,3.24
19.3,7.460000000000001,77.0,6.2,67.64999999999998,0.65,34.148,124.60383300000001,2020-05-28 18:04:00,301.05,3.24
19.33,7.460000000000001,78.0,12.1,59.01999999999998,0.73,34.150933,124.0175,2020-05-28 18:05:00,300.98,4.65
19.27,7.18,78.0,10.1,58.01999999999998,0.73,34.153817,124.0175,2020-05-28 18:06:00,300.98,4.65
19.2509,7.145,76.0,10.1,50.83999999999998,0.65,34.156617,124.587,2020-05-28 18:07:00,298.86,3.24
19.2509,6.6875,76.0,7.0,76.74000000000002,0.65,34.1594,124.581167,2020-05-28 18:08:00,298.86,3.24
19.28,7.1750000000000025,78.0,6.4,195.215,0.83,32.157608,124.569833,2020-05-28 18:10:00,180.085,2.45
19.27,7.19,78.0,6.4,60.98000000000002,0.65,34.167667,124.564,2020-05-28 18:11:00,299.02,3.24
