stw,draft,foc,ws,wd,swh,lat,lon,dt,vslHeading,wsWS
17.16,9.25,70.0,9.59,-249.98,1.46,54.20186700000001,6.972875,2020-07-01 08:31,54.20186700000001,6.972875
17.25,9.25,70.0,9.38,-251.96000000000004,1.46,54.201933,6.96468,2020-07-01 08:32,54.201933,6.96468
17.15,9.25,70.0,9.81,-250.03,1.46,54.201917,6.956467,2020-07-01 08:33,54.201917,6.956467
17.15,9.25,69.0,10.1,-249.02,1.46,54.20183299999999,6.948117999999999,2020-07-01 08:34,54.20183299999999,6.948117999999999
17.18,9.25,70.0,9.15,-252.04,1.46,54.2018,6.939933,2020-07-01 08:35,54.2018,6.939933
17.18,9.25,70.0,9.63,-248.16000000000008,1.46,54.201733,6.931767999999999,2020-07-01 08:36,54.201733,6.931767999999999
17.17,9.25,70.0,9.2,-254.04999999999995,1.46,54.201717,6.9235630000000015,2020-07-01 08:37,54.201717,6.9235630000000015
17.16,9.25,71.0,9.43,-249.08,1.46,54.2017,6.9153270000000004,2020-07-01 08:38,54.2017,6.9153270000000004
17.26,9.25,70.0,8.49,-253.11,1.46,54.20165,6.906986999999999,2020-07-01 08:39,54.20165,6.906986999999999
17.25,9.25,70.0,10.15,-248.04,1.46,54.201567000000004,6.898808,2020-07-01 08:40,54.201567000000004,6.898808
17.24,9.25,70.0,9.76,-253.79999999999995,1.46,54.201533,6.890558,2020-07-01 08:41,54.201533,6.890558
17.24,9.25,71.0,9.43,-251.96000000000004,1.46,54.201517,6.882172,2020-07-01 08:42,54.201517,6.882172
17.23,9.25,70.0,9.44,-249.01,1.46,54.201467,6.8739300000000005,2020-07-01 08:43,54.201467,6.8739300000000005
17.22,9.25,70.0,9.98,-250.93000000000006,1.46,54.2014,6.8656630000000005,2020-07-01 08:44,54.2014,6.8656630000000005
17.31,9.25,70.0,9.01,-251.89,1.46,54.201432999999994,6.857407000000001,2020-07-01 08:45,54.201432999999994,6.857407000000001
17.31,9.25,70.0,10.75,-248.96000000000004,1.46,54.201417000000006,6.849133,2020-07-01 08:46,54.201417000000006,6.849133
17.37,9.25,71.0,10.28,-246.85,1.46,54.201417000000006,6.840742999999999,2020-07-01 08:47,54.201417000000006,6.840742999999999
17.37,9.25,70.0,9.55,-251.94000000000003,1.46,54.20138299999999,6.832364999999999,2020-07-01 08:48,54.20138299999999,6.832364999999999
17.36,9.25,70.0,11.03,-246.79,1.46,54.201283,6.824077000000001,2020-07-01 08:49,54.201283,6.824077000000001
17.36,9.25,70.0,10.47,-249.94000000000003,1.46,54.2012,6.8157820000000005,2020-07-01 08:50,54.2012,6.8157820000000005
17.45,9.25,71.0,11.13,-249.93000000000006,1.46,54.201133,6.80733999,2020-07-01 08:51,54.201133,6.80733999
17.45,9.25,71.0,11.21,-244.64,1.46,54.201067,6.7990520000000005,2020-07-01 08:52,54.201067,6.7990520000000005
17.44,9.25,70.0,10.25,-252.58,1.46,54.20096700000001,6.790705,2020-07-01 08:53,54.20096700000001,6.790705
17.53,9.25,71.0,10.99,-247.58999999999992,1.46,54.200832999999996,6.782353,2020-07-01 08:54,54.200832999999996,6.782353
17.53,9.25,71.0,10.47,-244.53,1.46,54.200667,6.77387,2020-07-01 08:55,54.200667,6.77387
17.52,9.25,71.0,9.94,-245.81,1.46,54.2005,6.765495,2020-07-01 08:56,54.2005,6.765495
17.51,9.25,71.0,9.91,-246.23,1.46,54.20033299999999,6.75715,2020-07-01 08:57,54.20033299999999,6.75715
17.4,9.25,70.0,10.44,-246.0,1.46,54.20016700000001,6.7488220000000005,2020-07-01 08:58,54.20016700000001,6.7488220000000005
17.44,9.25,70.0,9.37,-248.33999999999992,1.46,54.2,6.7403619999999975,2020-07-01 08:59,54.2,6.7403619999999975
17.43,9.25,70.0,8.42,-248.44000000000003,1.46,54.19986700000001,6.732078,2020-07-01 09:00,54.19986700000001,6.732078
17.33,9.25,70.0,10.82,-251.68000000000006,1.46,54.199633,6.715428,2020-07-01 09:02,54.199633,6.715428
17.32,9.25,70.0,9.78,-251.72000000000003,1.46,54.199417000000004,6.707007000000001,2020-07-01 09:03,54.199417000000004,6.707007000000001
17.32,9.25,71.0,10.52,-249.15,1.46,54.199183,6.6987380000000005,2020-07-01 09:04,54.199183,6.6987380000000005
17.31,9.25,70.0,10.66,-248.31,1.46,54.198983,6.690435000000001,2020-07-01 09:05,54.198983,6.690435000000001
17.31,9.25,70.0,9.17,-248.32,1.46,54.19881700000001,6.682123,2020-07-01 09:06,54.19881700000001,6.682123
17.3,9.25,71.0,10.59,-249.17000000000007,1.46,54.198632999999994,6.6737350000000015,2020-07-01 09:07,54.198632999999994,6.6737350000000015
17.2,9.25,70.0,10.42,-249.35,1.46,54.198467,6.665453,2020-07-01 09:08,54.198467,6.665453
17.19,9.25,70.0,10.76,-252.39,1.46,54.198267,6.657222999999999,2020-07-01 09:09,54.198267,6.657222999999999
17.19,9.25,70.0,9.38,-251.12,1.46,54.1981,6.64896999,2020-07-01 09:10,54.1981,6.64896999
17.18,9.25,69.0,9.74,-248.18000000000006,1.46,54.197917000000004,6.640605,2020-07-01 09:11,54.197917000000004,6.640605
17.08,9.25,67.0,9.39,-251.17000000000007,1.46,54.197767000000006,6.6324179999999995,2020-07-01 09:12,54.197767000000006,6.6324179999999995
17.07,9.25,68.0,9.44,-248.13,1.46,54.197582999999995,6.624225,2020-07-01 09:13,54.197582999999995,6.624225
17.07,9.25,67.0,9.12,-249.04,1.46,54.197433,6.616028,2020-07-01 09:14,54.197433,6.616028
17.06,9.25,68.0,9.5,-246.25,1.46,54.197267000000004,6.6077369999999975,2020-07-01 09:15,54.197267000000004,6.6077369999999975
16.96,9.25,68.0,9.59,-246.01,1.46,54.197132999999994,6.599597,2020-07-01 09:16,54.197132999999994,6.599597
17.06,9.25,68.0,9.12,-250.98,1.46,54.196982999999996,6.591415,2020-07-01 09:17,54.196982999999996,6.591415
17.05,9.25,68.0,9.3,-248.1,1.46,54.19686700000001,6.583255,2020-07-01 09:18,54.19686700000001,6.583255
17.05,9.25,68.0,8.59,-247.9,1.46,54.196767,6.574922,2020-07-01 09:19,54.196767,6.574922
17.14,9.25,68.0,9.25,-250.08999999999992,1.46,54.196633,6.5667,2020-07-01 09:20,54.196633,6.5667
17.14,9.25,69.0,10.57,-245.03,1.46,54.196567,6.5584130000000025,2020-07-01 09:21,54.196567,6.5584130000000025
17.14,9.25,69.0,10.67,-243.35,1.46,54.19646700000001,6.55018,2020-07-01 09:22,54.19646700000001,6.55018
17.21,9.25,68.0,8.96,-246.37,1.46,54.19635,6.54177,2020-07-01 09:23,54.19635,6.54177
17.21,9.25,69.0,9.51,-247.18000000000006,1.46,54.1962,6.5334650000000005,2020-07-01 09:24,54.1962,6.5334650000000005
17.2,9.25,68.0,12.99,-240.37,1.46,54.19603299999999,6.525195,2020-07-01 09:25,54.19603299999999,6.525195
17.1,9.25,69.0,11.04,-246.62,1.46,54.19583299999999,6.516943,2020-07-01 09:26,54.19583299999999,6.516943
17.09,9.25,68.0,10.64,-244.02,1.46,54.195632999999994,6.508522,2020-07-01 09:27,54.195632999999994,6.508522
17.08,9.25,69.0,10.56,-244.85,1.46,54.195482999999996,6.500272,2020-07-01 09:28,54.195482999999996,6.500272
16.98,9.25,68.0,8,-242.9,1.34,54.1953,6.492032,2020-07-01 09:29,54.1953,6.492032
16.98,9.25,68.0,11.95,-244.07,1.34,54.19516700000001,6.4838379999999995,2020-07-01 09:30,54.19516700000001,6.4838379999999995
16.97,9.25,68.0,8,-241.93000000000006,1.34,54.19501700000001,6.475533,2020-07-01 09:31,54.19501700000001,6.475533
16.97,9.25,68.0,12.44,-243.03,1.34,54.194883,6.467365,2020-07-01 09:32,54.194883,6.467365
16.96,9.25,69.0,8,-241.89,1.34,54.194782999999994,6.459158,2020-07-01 09:33,54.194782999999994,6.459158
16.96,9.25,69.0,8,-241.92000000000007,1.34,54.194667,6.450952,2020-07-01 09:34,54.194667,6.450952
16.93,9.25,69.0,12.41,-242.98,1.34,54.19453299999999,6.442607,2020-07-01 09:35,54.19453299999999,6.442607
