stw,draft,foc,ws,wd,swh,lat,lon,dt,vslHeading,wsWS
16.94,12.82,64.0,4.63,127.83,1.25,51.57315,1.826232,2020-04-04 20:30,51.57315,1.826232
16.94,12.82,64.0,4.63,127.78,1.25,51.5691,1.8300919999999998,2020-04-04 20:31,51.5691,1.8300919999999998
16.95,12.82,65.0,4.63,127.55,1.25,51.5691,1.8300919999999998,2020-04-04 20:32,51.5691,1.8300919999999998
16.86,12.82,64.0,4.63,127.68,1.25,51.565067,1.8339130000000001,2020-04-04 20:33,51.565067,1.8339130000000001
16.87,12.82,64.0,4.63,126.66,1.25,51.560967,1.837822,2020-04-04 20:34,51.560967,1.837822
16.88,12.82,63.0,4.63,126.63,1.25,51.55695,1.841688,2020-04-04 20:35,51.55695,1.841688
16.96,12.82,63.0,4.63,127.05,1.25,51.552867,1.845452,2020-04-04 20:36,51.552867,1.845452
16.87,12.82,63.0,4.63,126.9,1.25,51.548817,1.8492680000000001,2020-04-04 20:37,51.548817,1.8492680000000001
16.98,12.82,63.0,4.63,127.28,1.25,51.544733,1.85317,2020-04-04 20:38,51.544733,1.85317
16.88,12.82,63.0,4.63,128.16,1.25,51.5407,1.8570119999999999,2020-04-04 20:39,51.5407,1.8570119999999999
16.89,12.82,63.0,4.63,127.63,1.25,51.536733,1.8609779999999998,2020-04-04 20:40,51.536733,1.8609779999999998
16.7,12.82,65.0,4.63,127.95,1.25,51.532833000000004,1.8649950000000002,2020-04-04 20:41,51.532833000000004,1.8649950000000002
16.92,12.82,63.0,4.63,127.91,1.25,51.520967,1.8769999999999998,2020-04-04 20:44,51.520967,1.8769999999999998
17.03,12.82,64.0,4.63,127.75,1.25,51.517016999999996,1.88103,2020-04-04 20:45,51.517016999999996,1.88103
16.94,12.82,63.0,4.63,128.19,1.25,51.512983,1.885152,2020-04-04 20:46,51.512983,1.885152
16.95,12.82,64.0,4.63,127.78,1.25,51.50905,1.889213,2020-04-04 20:47,51.50905,1.889213
16.96,12.82,63.0,4.63,127.1,1.25,51.50515,1.893332,2020-04-04 20:48,51.50515,1.893332
16.69,12.82,64.0,4.63,127.1,1.25,51.501217,1.8973369999999998,2020-04-04 20:49,51.501217,1.8973369999999998
16.88,12.82,64.0,4.63,127.61,0.0,51.497267,1.9014330000000002,2020-04-04 20:50,51.497267,1.9014330000000002
16.88,12.82,64.0,4.63,128.16,0.0,51.49335,1.90547,2020-04-04 20:51,51.49335,1.90547
16.89,12.82,64.0,4.63,127.88,0.0,51.489467,1.909582,2020-04-04 20:52,51.489467,1.909582
16.9,12.82,64.0,4.63,128.12,0.0,51.485583,1.913668,2020-04-04 20:53,51.485583,1.913668
16.8,12.82,65.0,4.63,128.19,0.0,51.481667,1.917827,2020-04-04 20:54,51.481667,1.917827
16.82,12.82,65.0,4.63,127.87,0.0,51.477783,1.92189,2020-04-04 20:55,51.477783,1.92189
16.82,12.82,64.0,4.63,128.35,0.0,51.473917,1.9259419999999998,2020-04-04 20:56,51.473917,1.9259419999999998
16.83,12.82,65.0,4.63,127.92,0.0,51.470067,1.930023,2020-04-04 20:57,51.470067,1.930023
16.85,12.82,66.0,4.63,127.15,0.0,51.466133,1.934118,2020-04-04 20:58,51.466133,1.934118
16.88,12.82,66.0,4.63,125.23,0.0,51.4622,1.93796,2020-04-04 20:59,51.4622,1.93796
16.89,12.82,66.0,4.63,124.31,0.0,51.458217,1.941658,2020-04-04 21:00,51.458217,1.941658
16.89,12.82,66.0,4.63,124.1,0.0,51.450167,1.948875,2020-04-04 21:02,51.450167,1.948875
16.89,12.82,65.0,4.63,124.27,0.0,51.446083,1.952538,2020-04-04 21:03,51.446083,1.952538
16.8,12.82,66.0,4.63,124.1,0.0,51.442067,1.9561680000000001,2020-04-04 21:04,51.442067,1.9561680000000001
16.81,12.82,65.0,4.63,123.85,0.0,51.438067,1.9598,2020-04-04 21:05,51.438067,1.9598
16.82,12.82,66.0,4.63,123.97,0.0,51.434033,1.963472,2020-04-04 21:06,51.434033,1.963472
16.82,12.82,66.0,4.63,123.91,0.0,51.430067,1.967173,2020-04-04 21:07,51.430067,1.967173
16.84,12.82,67.0,4.63,123.25,0.0,51.426066999999996,1.9708130000000001,2020-04-04 21:08,51.426066999999996,1.9708130000000001
16.85,12.82,66.0,4.63,122.82,0.0,51.422067,1.9744119999999998,2020-04-04 21:09,51.422067,1.9744119999999998
16.85,12.82,66.0,4.63,123.25,0.0,51.41805,1.977972,2020-04-04 21:10,51.41805,1.977972
16.86,12.82,67.0,4.63,123.2,0.0,51.413983,1.9816080000000005,2020-04-04 21:11,51.413983,1.9816080000000005
16.87,12.82,69.0,4.63,123.12,0.0,51.409983000000004,1.9852020000000001,2020-04-04 21:12,51.409983000000004,1.9852020000000001
16.87,12.82,69.0,4.63,123.12,0.0,51.405983,1.988825,2020-04-04 21:13,51.405983,1.988825
16.88,12.82,67.0,4.63,123.45,0.0,51.4019,1.9924830000000002,2020-04-04 21:14,51.4019,1.9924830000000002
16.63,12.82,59.0,4.63,133.12,0.0,51.398,1.996303,2020-04-04 21:15,51.398,1.996303
16.32,12.82,60.0,4.63,145.59,0.0,51.39465,2.0011900000000002,2020-04-04 21:16,51.39465,2.0011900000000002
16.73,12.82,70.0,4.63,145.21,0.0,51.386666999999996,2.0191380000000003,2020-04-04 21:19,51.386666999999996,2.0191380000000003
16.86,12.82,70.0,4.63,143.75,0.0,51.38385,2.025093,2020-04-04 21:20,51.38385,2.025093
16.98,12.82,69.0,4.63,142.78,0.0,51.3809,2.0309150000000002,2020-04-04 21:21,51.3809,2.0309150000000002
17.1,12.82,70.0,4.63,141.9,0.0,51.377817,2.036787,2020-04-04 21:22,51.377817,2.036787
17.12,12.82,68.0,4.63,141.0,0.0,51.37475,2.042537,2020-04-04 21:23,51.37475,2.042537
17.11,12.82,69.0,4.63,138.19,0.0,51.371567,2.04813,2020-04-04 21:24,51.371567,2.04813
17.05,12.82,69.0,4.63,136.46,0.0,51.36825,2.0534380000000003,2020-04-04 21:25,51.36825,2.0534380000000003
17.06,12.82,67.0,4.63,136.35,0.0,51.36485,2.058593,2020-04-04 21:26,51.36485,2.058593
17.05,12.82,67.0,4.63,137.07,0.0,51.361416999999996,2.063972,2020-04-04 21:27,51.361416999999996,2.063972
17.07,12.82,67.0,4.63,136.26,0.0,51.35805,2.069223,2020-04-04 21:28,51.35805,2.069223
16.92,12.82,68.0,4.63,136.28,0.0,51.3547,2.074418,2020-04-04 21:29,51.3547,2.074418
16.84,12.82,67.0,4.63,135.92,0.0,51.351267,2.079688,2020-04-04 21:30,51.351267,2.079688
16.9,12.82,68.0,4.63,137.34,0.0,51.347867,2.084848,2020-04-04 21:31,51.347867,2.084848
16.92,12.82,67.0,4.63,140.77,0.0,51.34455,2.090218,2020-04-04 21:32,51.34455,2.090218
16.93,12.82,66.0,4.63,144.72,0.0,51.341467,2.095957,2020-04-04 21:33,51.341467,2.095957
16.94,12.82,65.0,4.63,148.31,0.0,51.3386,2.102067,2020-04-04 21:34,51.3386,2.102067
16.98,12.82,67.0,4.63,151.04000000000005,0.0,51.335967,2.108625,2020-04-04 21:35,51.335967,2.108625
