stw,draft,foc,ws,wd,swh,lat,lon,dt,vslHeading,wsWS
12.9,10.35,34.0,1.77,-193.25,0.0,40.446883,26.787183000000002,2020-06-16 08:30,40.446883,26.787183000000002
13.1,10.35,33.0,1.62,-189.93000000000006,0.0,40.445233,26.782916999999998,2020-06-16 08:31,40.445233,26.782916999999998
13.31,10.35,32.0,2.72,-204.11,0.0,40.443567,26.77855,2020-06-16 08:32,40.443567,26.77855
13.51,10.35,35.0,2.37,-196.64,0.0,40.441883000000004,26.774167,2020-06-16 08:33,40.441883000000004,26.774167
13.71,10.35,36.0,2.52,-201.68000000000006,0.0,40.440133,26.769733000000002,2020-06-16 08:34,40.440133,26.769733000000002
13.91,10.35,38.0,2.7,-199.72000000000003,0.0,40.438317,26.765283,2020-06-16 08:35,40.438317,26.765283
14.11,10.35,39.0,2.19,-206.9,0.0,40.436483,26.760766999999998,2020-06-16 08:36,40.436483,26.760766999999998
14.21,10.35,40.0,2.18,-199.34000000000003,0.0,40.43463300000001,26.756083,2020-06-16 08:37,40.43463300000001,26.756083
14.22,10.35,40.0,3.2,-201.67,0.0,40.43265,26.751583,2020-06-16 08:38,40.43265,26.751583
14.52,10.35,45.0,2.98,-200.53,0.0,40.4305,26.7471,2020-06-16 08:39,40.4305,26.7471
14.47,10.35,43.0,3.3,-194.81,0.0,40.428267,26.742566999999998,2020-06-16 08:40,40.428267,26.742566999999998
15.09,10.35,41.0,3.73,-194.68000000000006,0.0,40.426,26.7381,2020-06-16 08:41,40.426,26.7381
14.57,10.35,38.0,4.34,-204.75,0.0,40.42375,26.73368300000001,2020-06-16 08:42,40.42375,26.73368300000001
14.57,10.35,41.0,3.19,-187.78,0.0,40.42145,26.729233,2020-06-16 08:43,40.42145,26.729233
10.77,10.35,24.0,4.02,-120.66999999999996,0.0,40.383367,26.66800000000001,2020-06-16 09:07,40.383367,26.66800000000001
11.07,10.35,22.0,3.69,-109.55,0.0,40.380866999999995,26.665733000000003,2020-06-16 09:08,40.380866999999995,26.665733000000003
11.27,10.35,23.0,3.12,-107.8,0.0,40.378283,26.6634,2020-06-16 09:09,40.378283,26.6634
11.38,10.35,21.0,3.36,-108.95,0.0,40.375617,26.660999999999998,2020-06-16 09:10,40.375617,26.660999999999998
11.58,10.35,21.0,3.53,-117.7,0.0,40.372966999999996,26.658633000000002,2020-06-16 09:11,40.372966999999996,26.658633000000002
11.58,10.35,21.0,3.35,-112.75,0.0,40.370317,26.656267,2020-06-16 09:12,40.370317,26.656267
11.68,10.35,21.0,3.57,-112.49,0.0,40.367616999999996,26.653917,2020-06-16 09:13,40.367616999999996,26.653917
11.68,10.35,21.0,3.21,-115.82,0.0,40.36485,26.651466999999997,2020-06-16 09:14,40.36485,26.651466999999997
11.17,10.35,22.0,0.44,50.19999999999999,0.0,40.314533000000004,26.5965,2020-06-16 09:36,40.314533000000004,26.5965
11.47,10.35,22.0,0.41,134.25,0.0,40.3123,26.593566999999997,2020-06-16 09:37,40.3123,26.593566999999997
11.97,10.35,31.0,0.48,-149.69,0.0,40.303166999999995,26.581333,2020-06-16 09:41,40.303166999999995,26.581333
13.77,10.35,39.0,1.55,106.24,0.0,40.293533000000004,26.567166999999998,2020-06-16 09:45,40.293533000000004,26.567166999999998
13.97,10.35,39.0,1.74,111.19,0.0,40.29105,26.5632,2020-06-16 09:46,40.29105,26.5632
14.47,10.35,42.0,1.73,-202.95000000000005,0.0,40.286017,26.5552,2020-06-16 09:48,40.286017,26.5552
14.67,10.35,44.0,1.83,-219.78,0.0,40.283417,26.551083000000002,2020-06-16 09:49,40.283417,26.551083000000002
15.76,10.35,47.0,2.14,-210.95000000000005,0.0,40.278067,26.542633000000002,2020-06-16 09:51,40.278067,26.542633000000002
15.67,10.35,54.0,2.2,-197.77,0.0,40.2726,26.534033,2020-06-16 09:53,40.2726,26.534033
