stw,draft,foc,ws,wd,swh,vslHeading,dt,lat,lon,wsWS,sovg,currSpeed,currDir
19.87,12.455,95.0,12.76,59.5,1.22,301.6,2019-11-26 12:00:00,35.802233,14.29545,5.83,19.8,0.03,103.39999999999998
19.83,12.455,95.0,12.57,68.69999999999999,1.22,301.7,2019-11-26 12:01:00,35.805183,14.289717000000001,5.83,19.8,0.03,103.3
19.8,12.455,97.0,12.11,58.80000000000001,1.22,302.3,2019-11-26 12:02:00,35.808116999999996,14.283983,5.83,19.8,0.03,102.7
19.79,12.455,97.0,12.36,65.59999999999997,1.22,302.1,2019-11-26 12:03:00,35.811133,14.278282999999998,5.83,19.8,0.03,102.89999999999998
19.81,12.455,96.0,12.52,61.899999999999984,1.22,302.5,2019-11-26 12:04:00,35.8141,14.272567,5.83,19.9,0.03,102.5
19.72,12.455,83.27,12.72,60.899999999999984,1.22,302.1,2019-11-26 12:05:00,35.817116999999996,14.266867000000001,5.83,19.9,0.03,102.89999999999998
19.79,12.455,96.0,12.36,68.19999999999999,1.22,302.0,2019-11-26 12:06:00,35.82008300000001,14.261117,5.83,19.9,0.03,103.0
19.82,12.455,97.0,11.86,65.59999999999997,1.22,302.3,2019-11-26 12:07:00,35.823067,14.255382999999998,5.83,19.9,0.03,102.7
19.92,12.455,96.0,12.96,60.69999999999999,1.22,302.2,2019-11-26 12:08:00,35.826033,14.249633,5.83,19.9,0.03,102.8
19.92,12.455,97.0,12.46,66.5,1.22,302.0,2019-11-26 12:09:00,35.829017,14.2439,5.83,19.9,0.03,103.0
19.92,12.455,96.0,11.61,58.80000000000001,1.22,302.4,2019-11-26 12:10:00,35.832,14.238167,5.83,19.9,0.03,102.60000000000002
19.85,12.455,96.0,11.42,51.5,1.22,301.9,2019-11-26 12:11:00,35.835,14.232467000000002,5.83,19.9,0.03,103.10000000000002
19.83,12.455,95.0,12.66,68.10000000000002,1.22,301.5,2019-11-26 12:12:00,35.837967,14.226717,5.83,19.9,0.03,103.5
19.78,12.455,96.0,12.22,56.90000000000003,1.22,302.2,2019-11-26 12:13:00,35.84095,14.220932999999999,5.83,19.9,0.03,102.8
19.76,12.455,97.0,13.22,64.39999999999998,1.22,302.3,2019-11-26 12:14:00,35.843933,14.215233,5.83,19.9,0.03,102.7
19.79,12.455,97.0,13.26,63.80000000000001,1.22,301.7,2019-11-26 12:15:00,35.846933,14.209517000000002,5.83,19.9,0.03,103.3
19.82,12.455,95.0,12.72,64.69999999999999,1.22,301.8,2019-11-26 12:16:00,35.849866999999996,14.20375,5.83,19.9,0.03,103.2
19.85,12.455,97.0,12.42,65.0,1.22,302.3,2019-11-26 12:17:00,35.85285,14.197982999999999,5.83,19.9,0.03,102.7
19.8,12.455,97.0,13.07,62.899999999999984,1.22,302.3,2019-11-26 12:18:00,35.855817,14.192267000000001,5.83,19.9,0.03,102.7
19.9,12.455,96.0,12.46,65.20000000000005,1.22,301.9,2019-11-26 12:19:00,35.85881699999999,14.186532999999999,5.83,19.9,0.03,103.10000000000002
19.83,12.455,96.0,13.02,65.89999999999998,1.22,302.1,2019-11-26 12:20:00,35.861733,14.180817000000001,5.83,19.9,0.03,102.89999999999998
19.86,12.455,97.0,12.36,58.200000000000045,1.22,301.9,2019-11-26 12:21:00,35.864717,14.17505,5.83,19.9,0.03,103.10000000000002
19.79,12.455,96.0,12.76,71.30000000000003,1.22,302.2,2019-11-26 12:22:00,35.86765,14.1693,5.83,19.9,0.03,102.8
19.83,12.455,97.0,12.32,70.30000000000001,1.22,302.4,2019-11-26 12:23:00,35.87063300000001,14.163567,5.83,19.9,0.03,102.60000000000002
19.85,12.455,97.0,11.96,72.80000000000003,1.22,302.0,2019-11-26 12:24:00,35.873616999999996,14.157832999999998,5.83,19.9,0.03,103.0
19.76,12.455,97.0,12.61,68.10000000000002,1.22,302.0,2019-11-26 12:25:00,35.87658300000001,14.152083,5.83,19.9,0.03,103.0
19.73,12.455,83.27,12.46,65.0,1.22,301.6,2019-11-26 12:26:00,35.87955,14.146282999999999,5.83,19.9,0.03,103.39999999999998
19.94,12.455,96.0,13.22,65.5,1.22,302.0,2019-11-26 12:27:00,35.882483,14.140482999999998,5.83,19.9,0.03,103.0
19.83,12.455,97.0,12.66,65.0,1.22,302.0,2019-11-26 12:28:00,35.885433,14.1347,5.83,19.9,0.03,103.0
19.88,12.455,97.0,12.52,63.5,1.22,301.9,2019-11-26 12:29:00,35.88838300000001,14.128932999999998,5.83,19.9,0.03,103.10000000000002
19.92,12.455,96.0,12.57,68.19999999999999,1.22,302.2,2019-11-26 12:30:00,35.891317,14.123167,5.83,19.9,0.03,102.8
19.85,12.455,96.0,13.22,69.0,1.22,302.0,2019-11-26 12:31:00,35.894283,14.1174,5.83,19.9,0.03,103.0
19.84,12.455,97.0,12.46,55.5,1.22,302.0,2019-11-26 12:32:00,35.8972,14.1116,5.83,19.9,0.03,103.0
19.85,12.455,96.0,12.22,61.899999999999984,1.22,301.8,2019-11-26 12:33:00,35.90013300000001,14.105817000000002,5.83,19.9,0.03,103.2
19.87,12.455,96.0,12.82,71.39999999999998,1.22,301.6,2019-11-26 12:34:00,35.903033,14.100017000000001,5.83,19.9,0.03,103.39999999999998
19.88,12.455,97.0,13.16,60.899999999999984,1.22,302.1,2019-11-26 12:35:00,35.905967,14.094217,5.83,19.9,0.03,102.89999999999998
19.79,12.455,96.0,12.22,66.20000000000005,1.22,301.9,2019-11-26 12:36:00,35.9089,14.08845,5.83,19.9,0.03,103.10000000000002
19.79,12.455,97.0,11.76,66.40000000000003,1.22,302.2,2019-11-26 12:37:00,35.91185,14.082667,5.83,20.0,0.03,102.8
19.83,12.455,97.0,12.92,59.5,1.22,302.1,2019-11-26 12:38:00,35.914817,14.076882999999999,5.83,19.9,0.03,102.89999999999998
19.81,12.455,96.0,13.11,68.5,1.22,301.9,2019-11-26 12:39:00,35.91775,14.071117000000001,5.83,19.9,0.03,103.10000000000002
19.78,12.455,97.0,12.96,63.40000000000003,1.22,301.9,2019-11-26 12:40:00,35.9207,14.065332999999999,5.83,20.0,0.03,103.10000000000002
19.87,12.455,96.0,12.57,72.30000000000003,1.22,301.9,2019-11-26 12:41:00,35.923633,14.0595,5.83,19.9,0.03,103.10000000000002
19.87,12.455,96.0,12.57,72.30000000000003,1.22,301.9,2019-11-26 12:41:36,35.923633,14.0595,5.83,19.9,0.03,103.10000000000002
19.85,12.455,96.0,12.92,67.0,1.22,302.5,2019-11-26 12:42:00,35.926567,14.053733,5.83,19.9,0.03,102.5
19.89,12.455,97.0,12.42,71.69999999999997,1.22,302.1,2019-11-26 12:43:00,35.929533,14.047967000000002,5.83,19.9,0.03,102.89999999999998
19.85,12.455,97.0,13.02,59.5,1.22,302.1,2019-11-26 12:44:00,35.9325,14.042182999999998,5.83,19.9,0.03,102.89999999999998
19.89,12.455,97.0,13.26,65.39999999999998,1.22,301.8,2019-11-26 12:45:00,35.935433,14.0364,5.83,20.0,0.03,103.2
19.85,12.455,96.0,12.72,66.5,1.22,301.8,2019-11-26 12:46:00,35.938383,14.0306,5.83,20.0,0.03,103.2
19.84,12.455,96.0,10.92,64.60000000000002,1.22,302.2,2019-11-26 12:47:00,35.94135,14.0248,5.83,20.0,0.03,102.8
19.82,12.455,98.0,13.57,65.0,1.22,302.2,2019-11-26 12:48:00,35.944367,14.019017000000002,5.83,20.0,0.03,102.8
19.82,12.455,98.0,13.57,65.0,1.22,302.2,2019-11-26 12:48:06,35.944367,14.019017000000002,5.83,20.0,0.03,102.8
19.82,12.455,96.0,11.92,68.59999999999997,1.22,301.8,2019-11-26 12:49:00,35.947333,14.013233,5.83,19.9,0.03,103.2
19.93,12.455,96.0,13.16,66.40000000000003,1.22,302.2,2019-11-26 12:50:00,35.9503,14.007432999999999,5.83,20.0,0.03,102.8
19.76,12.455,98.0,12.92,65.30000000000001,1.22,302.2,2019-11-26 12:51:00,35.953283,14.001667000000001,5.83,20.0,0.03,102.8
19.89,12.455,97.0,11.72,64.30000000000001,1.22,303.0,2019-11-26 12:52:00,35.9563,13.995883,5.83,20.0,0.03,102.0
19.78,12.455,97.0,13.11,62.40000000000003,1.22,303.2,2019-11-26 12:53:00,35.9594,13.990167000000001,5.83,20.0,0.03,101.8
19.85,12.455,97.0,13.52,59.5,1.22,302.8,2019-11-26 12:54:00,35.962483,13.984467,5.83,20.0,0.03,102.2
19.84,12.455,95.0,12.76,60.399999999999984,1.22,302.5,2019-11-26 12:55:00,35.965533,13.97875,5.83,19.9,0.03,102.5
19.77,12.455,96.0,13.11,67.5,1.22,303.0,2019-11-26 12:56:00,35.968583,13.973033,5.83,20.0,0.03,102.0
