stw,draft,foc,ws,wd,swh,vslHeading,dt,lat,lon,wsWS,sovg,currSpeed,currDir
15.14,12.45,37.74,5.3,285.3,0.29,142.6,2019-11-28 15:00:00,39.2259,-0.03885,4.76,15.5,0.69,350.11
15.11,12.45,37.0,6.0,290.2,0.29,142.8,2019-11-28 15:01:00,39.222433,-0.03555,4.76,15.5,0.69,349.91
15.12,12.45,37.0,5.4,282.7999999999999,0.29,142.8,2019-11-28 15:02:00,39.218967,-0.032283,4.76,15.6,0.69,349.91
15.15,12.45,37.0,3.8,274.7,0.29,142.6,2019-11-28 15:03:00,39.215483,-0.028999999999999998,4.76,15.5,0.69,350.11
15.17,12.45,37.74,5.0,284.1,0.29,142.6,2019-11-28 15:04:00,39.211999999999996,-0.025733,4.76,15.5,0.69,350.11
15.09,12.45,38.26,6.7,276.1,0.29,142.6,2019-11-28 15:05:00,39.208533,-0.022466999999999997,4.76,15.5,0.69,350.11
14.98,12.45,37.05,5.8,271.6,0.29,142.6,2019-11-28 15:06:00,39.205083,-0.019233,4.76,15.4,0.69,350.11
14.83,12.45,37.05,4.2,288.8,0.29,142.7,2019-11-28 15:07:00,39.20165,-0.016,4.76,15.4,0.69,350.01
14.87,12.45,37.05,4.0,272.6,0.29,142.9,2019-11-28 15:08:00,39.198217,-0.012783,4.76,15.3,0.69,349.81
14.88,12.45,37.05,3.7,290.7,0.29,142.9,2019-11-28 15:09:00,39.1948,-0.009583,4.76,15.3,0.69,349.81
14.84,12.45,37.05,4.5,291.9,0.29,141.7,2019-11-28 15:10:00,39.191367,-0.006383,4.76,15.3,0.69,351.01
14.7,12.45,38.47,4.0,293.5,0.29,141.0,2019-11-28 15:11:00,39.188,-0.003117,4.76,15.3,0.69,351.71000000000015
14.8,12.45,37.05,5.8,299.8,0.29,141.4,2019-11-28 15:12:00,39.18465,0.0002,4.76,15.3,0.69,351.31
14.8,12.45,37.05,5.2,310.9,0.29,142.2,2019-11-28 15:13:00,39.181283,0.0035,4.76,15.2,0.69,350.51
14.77,12.45,37.05,5.3,300.8,0.29,142.2,2019-11-28 15:14:00,39.1779,0.00675,4.76,15.2,0.69,350.51
14.78,12.45,37.05,5.1,306.3,0.29,141.9,2019-11-28 15:15:00,39.1745,0.01,4.76,15.2,0.69,350.81
14.71,12.45,38.47,5.3,307.5,0.29,141.5,2019-11-28 15:16:00,39.171116999999995,0.013267,4.76,15.3,0.69,351.21000000000015
14.76,12.45,37.05,4.7,299.4,0.29,141.4,2019-11-28 15:17:00,39.16775,0.016567,4.76,15.3,0.69,351.31
14.77,12.45,37.05,3.6,292.9,0.29,141.7,2019-11-28 15:18:00,39.164367,0.019867,4.76,15.3,0.69,351.01
14.8,12.45,37.05,3.2,290.6,0.29,142.0,2019-11-28 15:19:00,39.161,0.02315,4.76,15.3,0.69,350.71000000000015
14.78,12.45,37.05,4.6,296.5,0.29,141.9,2019-11-28 15:20:00,39.1576,0.026432999999999998,4.76,15.3,0.69,350.81
14.86,12.45,37.05,4.9,301.7,0.29,141.5,2019-11-28 15:21:00,39.154216999999996,0.029717,4.76,15.3,0.69,351.21000000000015
14.77,12.45,37.14,3.0,295.7,0.29,141.6,2019-11-28 15:22:00,39.15085,0.033033,4.76,15.3,0.69,351.11
14.8,12.45,37.05,4.0,304.4,0.29,141.9,2019-11-28 15:23:00,39.147467,0.036333,4.76,15.3,0.69,350.81
14.82,12.45,37.05,4.6,296.1,0.29,142.1,2019-11-28 15:24:00,39.144083,0.039633,4.76,15.3,0.69,350.61
14.82,12.45,37.05,4.0,299.3,0.29,141.9,2019-11-28 15:25:00,39.14075,0.042867,4.76,15.3,0.69,350.81
14.8,12.45,37.05,5.1,315.4,0.29,141.6,2019-11-28 15:26:00,39.137316999999996,0.046217,4.76,15.3,0.69,351.11
14.78,12.45,37.05,4.3,294.7,0.29,141.6,2019-11-28 15:27:00,39.133967,0.049567,4.76,15.3,0.69,351.11
14.83,12.45,37.05,5.0,299.1,0.29,141.9,2019-11-28 15:28:00,39.1306,0.0529,4.76,15.3,0.69,350.81
14.85,12.45,37.05,5.0,299.2000000000001,0.29,142.2,2019-11-28 15:29:00,39.127217,0.056216999999999996,4.76,15.3,0.69,350.51
14.84,12.45,37.05,4.4,296.7,0.29,141.9,2019-11-28 15:30:00,39.12385,0.059533,4.76,15.3,0.69,350.81
14.81,12.45,37.05,4.5,306.7000000000001,0.29,141.7,2019-11-28 15:31:00,39.120483,0.06288300000000001,4.76,15.3,0.69,351.01
14.92,12.45,37.05,3.6,296.2,0.29,142.1,2019-11-28 15:32:00,39.117133,0.066233,4.76,15.3,0.69,350.61
14.85,12.45,37.05,4.8,303.3,0.29,142.4,2019-11-28 15:33:00,39.11375,0.06955,4.76,15.3,0.69,350.31
14.86,12.45,37.05,4.9,303.4,0.29,142.2,2019-11-28 15:34:00,39.110367,0.07283300000000001,4.76,15.3,0.69,350.51
14.84,12.45,37.05,3.9,299.0,0.29,141.7,2019-11-28 15:35:00,39.106983,0.076133,4.76,15.3,0.69,351.01
14.68,12.45,38.47,4.6,313.5,0.29,141.5,2019-11-28 15:36:00,39.103633,0.07945,4.76,15.3,0.69,351.21000000000015
14.71,12.45,38.47,4.1,307.9,0.29,141.5,2019-11-28 15:37:00,39.10028300000001,0.0828,4.76,15.3,0.69,351.21000000000015
14.72,12.45,38.47,4.3,305.9,0.29,141.8,2019-11-28 15:38:00,39.096933,0.086167,4.76,15.3,0.69,350.91
