stw,draft,foc,ws,wd,swh,vslHeading,dt,lat,lon
10.06,12.4,25.0,9.11,225.1,0.13,89.9,2019-11-29 07:07:00,1.204283,103.65383299999999
10.3,12.4,24.0,7.53,220.1,0.13,84.9,2019-11-29 07:08:00,1.20425,103.65683299999999
10.24,12.4,22.0,7.99,241.9,0.13,80.1,2019-11-29 07:09:00,1.2046,103.65983299999999
10.37,12.4,24.0,7.89,233.2,0.13,79.8,2019-11-29 07:10:00,1.20515,103.662667
10.57,12.4,25.0,5.68,250.5,0.13,79.5,2019-11-29 07:11:00,1.20575,103.66583299999999
10.83,12.4,44.52,8.14,249.9,0.13,75.1,2019-11-29 07:12:00,1.206333,103.66883299999999
10.71,12.4,22.0,9.93,256.5,0.13,67.5,2019-11-29 07:13:00,1.2072,103.67200000000001
10.47,12.4,23.0,6.91,290.3,0.13,57.7,2019-11-29 07:14:00,1.208483,103.67483299999999
10.21,12.4,23.0,10.04,272.0,0.13,55.0,2019-11-29 07:15:00,1.210167,103.67733299999999
10.32,12.4,27.0,9.52,271.0,0.13,55.0,2019-11-29 07:16:00,1.21195,103.68
10.46,12.4,25.0,9.42,271.9,0.13,55.1,2019-11-29 07:17:00,1.213833,103.68266700000001
10.56,12.4,25.0,8.96,279.8,0.13,55.2,2019-11-29 07:18:00,1.215717,103.685333
10.78,12.4,44.52,9.57,277.1,0.13,58.9,2019-11-29 07:19:00,1.217667,103.68799999999999
10.91,12.4,44.52,8.19,279.0,0.13,60.0,2019-11-29 07:20:00,1.219517,103.690833
11.17,12.4,18.0,8.55,267.0,0.13,60.0,2019-11-29 07:21:00,1.22135,103.693833
11.15,12.4,18.0,8.19,272.7,0.13,59.3,2019-11-29 07:22:00,1.2231670000000001,103.696667
10.48,12.4,6.0,7.99,288.8,0.13,55.2,2019-11-29 07:23:00,1.22505,103.6995
10.07,12.4,6.0,7.89,285.8,0.13,55.2,2019-11-29 07:24:00,1.226983,103.702167
