stw,draft,foc,ws,wd,swh,vslHeading,dt,lat,lon
14.16,7.925,31.0,14.03,243.7,0.81,94.3,2019-11-12 22:00:00,38.56765,120.7515
14.04,7.925,31.0,13.62,245.1,0.81,93.9,2019-11-12 22:01:00,38.567017,120.75633300000001
14.12,7.925,32.0,14.34,245.2,0.81,93.8,2019-11-12 22:02:00,38.566133,120.76116699999999
14.12,7.925,32.0,14.34,245.2,0.81,93.8,2019-11-12 22:02:55,38.566133,120.76116699999999
14.09,7.925,31.0,14.64,247.3,0.81,93.7,2019-11-12 22:03:00,38.5655,120.766167
14.06,7.925,32.0,13.11,248.3,0.81,93.7,2019-11-12 22:04:00,38.5649,120.771
14.14,7.925,31.0,12.75,244.2,0.81,93.8,2019-11-12 22:05:00,38.564267,120.77600000000001
14.2,7.925,31.0,14.03,248.0,0.81,94.0,2019-11-12 22:06:00,38.563666999999995,120.781
14.21,7.925,31.0,13.26,248.0,0.81,94.0,2019-11-12 22:07:00,38.56305,120.78583300000001
14.19,7.925,32.0,12.65,247.1,0.81,93.9,2019-11-12 22:08:00,38.56235,120.790833
14.24,7.925,31.0,12.34,249.1,0.81,93.9,2019-11-12 22:09:00,38.5617,120.795833
14.25,7.925,31.0,12.7,247.9,0.81,94.1,2019-11-12 22:10:00,38.561,120.80066699999999
14.22,7.925,32.0,13.98,246.9,0.81,94.1,2019-11-12 22:11:00,38.560383,120.80566699999999
14.29,7.925,31.0,12.49,240.9,0.81,94.1,2019-11-12 22:12:00,38.559733,120.810667
14.28,7.925,31.0,13.31,242.8,0.81,94.2,2019-11-12 22:13:00,38.559166999999995,120.8155
14.21,7.925,31.0,13.67,248.2,0.81,93.8,2019-11-12 22:14:00,38.558533000000004,120.8205
14.19,7.925,31.0,12.29,238.2,0.81,97.8,2019-11-12 22:15:00,38.558,120.8255
14.2,7.925,30.22,12.34,230.6,0.81,98.4,2019-11-12 22:16:00,38.5572,120.8305
14.21,7.925,30.0,12.13,242.8,0.81,99.2,2019-11-12 22:17:00,38.5563,120.835333
14.23,7.925,30.0,11.78,238.8,0.81,99.2,2019-11-12 22:18:00,38.55533300000001,120.840333
14.24,7.925,31.0,12.34,237.0,0.81,99.0,2019-11-12 22:19:00,38.554433,120.84516699999999
14.33,7.925,32.0,12.6,240.3,0.81,98.7,2019-11-12 22:20:00,38.553483,120.850167
14.37,7.925,30.0,13.16,239.2,0.81,98.8,2019-11-12 22:21:00,38.552566999999996,120.855
