FOC_pred,FOC_act,stw,draft,windMperS
131.3223173152522,0,20.31,12.46,5.83
131.2123181961206,0,20.29,12.46,5.83
131.07679381608534,0,20.29,12.46,5.6
130.83022067597955,0,20.29,12.46,4.11
128.1802384781657,0,19.88,12.46,3.61
127.78409380424901,0,19.88,12.46,3.71
130.5415500157327,0,20.29,12.46,5.97
130.47694583751255,0,20.3,12.46,5.97
131.07226603196688,0,20.3,12.46,2.91
131.21231529265214,0,20.3,12.46,2.91
123.09686074668005,0,19.34,12.46,6.14
121.67380202455524,0,19.22,12.46,7.53
122.88393787808283,0,19.3,12.46,7.53
122.65018237319686,0,19.28,12.46,7.53
123.75052726894445,0,19.35,12.46,6.33
123.75052726894445,0,19.35,12.46,6.33
131.8450789131556,0,20.41,12.46,6.49
131.8450789131556,0,20.41,12.46,6.49
131.86458354048352,0,20.41,12.46,6.98
131.02137625262887,0,20.28,12.46,5.85
131.02137625262887,0,20.28,12.46,5.85
128.49775163870743,0,19.81,12.46,10.24
128.49775163870743,0,19.81,12.46,10.24
128.49775163870743,0,19.81,12.46,10.24
131.06784862545794,0,20.16,12.46,10.44
131.06784862545794,0,20.16,12.46,8.49
131.29149443944738,0,20.28,12.46,6.97
131.77739988999255,0,20.28,12.46,8.42
133.44657258226292,0,20.28,12.46,8.11
133.44657258226292,0,20.28,12.46,8.11
131.77739988999255,0,20.28,12.46,8.48
131.8323181961206,0,20.29,12.46,8.78
131.8323181961206,0,20.29,12.46,8.78
131.07679381608534,0,20.29,12.46,7.29
50.99977528722157,0,14.68,12.46,6.06
50.99977528722157,0,14.68,12.46,6.06
51.07374264947245,0,14.68,12.46,6.83
53.49548154747947,0,14.68,12.46,6.28
53.49548154747947,0,14.68,12.46,6.28
50.41580792497068,0,14.68,12.46,7.58
