STARTING PORT,DESTINATION PORT,COUNT
YANGZHOU , Wakayama,1
La Plata , Ramallo,1
UST,LUGA ,1
Ust Luga , DANISH STRAITS,1
DANISH STRAITS , Ravenna,1
Hereke , Gemlik,1
Gemlik , Gibraltar,1
Corpus Christi , Tampa,1
ZONA COMUN , Magellan Straits,1
MAGELLAN , Ramallo,1
RECALADA , Ramallo,1
Camden , Pecem,1
SAN LORENZO  , ROSARIO,1
ROSARIO , ZONA COMUN,1
ZONA COMUN , SKAW,1
New Orleans , Galveston,1
Takoradi , LAGOS,1
LAGOS , Paranagua,1
RECALADA , Nueva Palmira,1
Nueva Palmira , Kaliningrad,1
Ust Luga , UST,1
Gibraltar , Charleston,1
Wakayama , Dangjin,1
TAMAN , Bosporus,1
CADIZ , Floro,1
Floro , Helsingor,1
Helsingor , ST. PETERSBURG,1
ST. PETERSBURG ," St Petersburg, Russia",1
ST. PETERSBURG , Oskarshamn,1
Nakskov , Kalundborg,1
"Baltimore, U.S.A. (WS) ", WILMINGTON,1
"Wilmington, Delaware, U.S.A. ", Aviles,1
Zanzibar , Maputo,1
Iskenderun , Gibraltar,1
Campha , Lug,1
Lug , VOSTOCHNY,1
VUNG ANG , Singapore,1
RUWAIS , FUJAIRAH,1
Alg , Fairless Hills,1
Fairless Hills , BALTIMORE,1
BALTIMORE , Kali Limenes,1
Kali Limenes , Iskenderun,1
Kaliningrad , Sillamae,1
