STARTING PORT,DESTINATION PORT,COUNT
DARDANELLES , BOSPHOROUS,30
BOSPHOROUS , DARDANELLES,26
TUAPSE , BOSPHOROUS,17
AT SEA , BOSPHOROUS,8
BOSPHOROUS , TUAPSE,7
ISTANBUL , BOSPHOROUS,7
DARDANELLES , LIMASSOL,6
DARDANELLES , BOZCAADA,6
BOSPHOROUS , ISTANBUL,6
BOSPHOROUS , NOVOROSSIYSK,6
NOVOROSSIYSK , BOSPHOROUS,6
GELIBOLU , DARDANELLES,5
ALIAGA , DARDANELLES,5
Dardanelles , N bound ,4
DARDANELLES , ALIAGA,4
Novorossiysk , BOSPHOROUS,4
BOZCAADA , DARDANELLES,4
DARDANELLES , Dardanelles ,4
Bosporus , N bound ,3
DARDANELLES , GELIBOLU ANCHORAGE,3
BOSPHOROUS , Novorossiysk,3
Bosporus , N bound ,3
MERSIN , DARDANELLES,3
DARDANELLES , Malta (Grand Harbour),3
DARDANELLES ," BOZCAADA,TURKEY",2
BOSPHOROUS , Kavkaz,2
Dardanelles , S bound ,2
DARDANELLES , EL DEKHEILA,2
Kavkaz , BOSPHOROUS,2
BEIRUT , DARDANELLES,2
DARDANELLES , Dardanelles ,2
AT SEA , DARDANELLES,2
DARDANELLES , GELIBOLU,2
DARDANELLES , BOZCAADA ANCHORAGE,2
LAVERA , Amchit,2
BOSPHOROUS , Tuapse,2
PIRAEUS , DARDANELLES,2
LIMASSOL , PIRAEUS,2
ISTANBUL NORTH BOUND , BOSPHOROUS,2
CONSTANTA , NOVOROSSIYSK,2
ISTANBUL , Bosporus ,2
GELIBOLU ANCHORAGE , DARDANELLES,2
LIMASSOL , DARDANELLES,2
BOSPHOROUS , VARNA,2
BOSPHOROUS , ISTANBUL NORTH BOUND,2
DARDANELLES , GEBZE,2
BOZCAADA ANCHORAGE , DARDANELLES,2
ALGECIRAS , CARTAGENA (SPA),1
BOSPHOROUS , Bourgas,1
Gebze , BOSPHOROUS,1
Marmara Ereglisi , EREGLISI,1
Sarroch , La Spezia,1
Fiumicino , Sarroch,1
BOSPHOROUS , EREGLISI,1
La Spezia , Civitavecchia,1
PERAMA , DARDANELLES,1
