TELEGRAM_DATE;TELEGRAM_TYPE;BALAST_FLAG;LATITUDE_DEGREES;LATITUDE_SECONDS;LONGITUDE_DEGREES;LONGITUDE_SECONDS;VESSEL_COURSE;DRAFT;ENGINE_RPM;WIND_DIRECTION;WIND_FORCE;AVERAGE_SPEED;HOURS_SLC;MINUTES_SLC;ME_CONS_24H;TRIM;ME_CONS_PER_MILE;WAVEH;WAVED;SWELLH;SWELLD
2020-03-11 12:00:00;N;L;38;55;43;52;225;9.4;100.3;180;4;11.0;1;0;15.84;0;0;3;180;3;180
2020-03-31 12:00:00;N;B;32;46;42;15;67;6.55;101.4;0;5;12.07;14;0;14.331428571428571;1.3;0;4;0;4;0
2020-03-09 12:00:00;N;B;38;52;43;22;90;6.55;100.2;90;3;12.17;24;0;16.42;1.3;0;2;90;2;90
2020-04-20 12:00:00;N;B;6;26;35;27;45;6.55;101.2;225;4;11.96;23;0;17.61391304347826;1.3;0;3;225;3;225
2020-04-01 11:30:00;A;B;37;25;44;34;90;6.55;100.6;22;5;10.77;23;30;15.88085106382979;1.3;0;4;22;4;22
2020-03-09 14:48:00;A;B;39;3;44;5;45;6.55;95.2;0;2;12.14;2;48;16.542857142857144;1.3;0;1;0;1;0
2020-04-19 12:00:00;N;B;10;23;32;56;45;6.55;101.2;315;4;11.25;24;0;17.92;1.3;0;3;315;3;315
2020-03-15 02:24:00;A;L;39;2;41;44;157;7.8;99.2;112;3;12.74;12;24;15.212903225806452;0;0;3;112;3;112
2020-05-22 06:00:00;A;B;23;54;37;5;270;6.55;99.3;0;3;11.83;18;0;18.506666666666668;1.3;0;2;0;2;0
2020-03-04 12:00:00;N;B;20;35;33;33;22;6.55;100.0;270;3;12.26;6;12;20.24516129032258;1.3;0;3;270;3;270
2009-09-12 12:00:00;N;L;8;0;4;50;90;10.6;118.1;202;6;14.29;24;0;31.5;0;0;5;202;5;202
2009-09-13 12:00:00;N;L;2;23;4;48;247;10.6;118.0;247;3;15.04;24;0;31.5;0;0;2;247;2;247
2020-02-17 12:00:00;N;L;14;55;39;33;337;8.25;100.9;270;3;12.5;24;0;15.449999999999998;0;0;2;270;2;270
2009-09-14 12:00:00;N;L;2;1;6;41;67;10.6;118.2;67;5;14.29;24;0;31.48;0;0;4;67;4;67
2009-08-06 12:00:00;N;L;7;21;36;52;286;0;0.0;337;4;13.47;9;30;27.789473684210527;0;0;3;337;0;0
2009-08-07 12:00:00;N;L;9;29;40;56;358;0;0.0;0;7;12.58;24;0;32.2;0;0;6;0;0;0
