TELEGRAM_DATE;TELEGRAM_TYPE;BALAST_FLAG;LATITUDE_DEGREES;LATITUDE_SECONDS;LONGITUDE_DEGREES;LONGITUDE_SECONDS;VESSEL_COURSE;DRAFT;ENGINE_RPM;WIND_DIRECTION;WIND_FORCE;AVERAGE_SPEED;HOURS_SLC;MINUTES_SLC;ME_CONS_24H;TRIM
2019-11-06 15:30:00;A;B;23;49;37;33;330;0;0.0;135;3;7.33;3;0;2.25;0
2019-11-08 12:00:00;N;B;26;49;38;2;73;6.75;105.0;135;3;12.72;12;30;11.24;1.5
2019-11-08 15:12:00;A;B;26;52;38;53;90;6.75;105.0;135;3;12.19;3;12;2.6;1.5
2019-11-15 12:00:00;N;L;27;57;35;17;153;8.85;105.0;225;3;13.19;18;48;18;0
2019-11-16 11:12:00;A;L;29;15;31;44;164;8.85;105.0;315;3;13.36;23;12;21.2;0
2019-11-19 12:00:00;N;B;29;43;31;8;311;7.25;101.0;45;5;13.64;3;18;2.88;1.5
2019-11-20 08:54:00;A;B;24;54;34;50;311;6.9;101.0;135;3;13.88;20;54;20.05;1
2019-11-21 12:00:00;N;B;25;33;37;52;350;6.9;100.0;135;4;12.05;21;30;16.1;1
2019-11-21 20:48:00;A;B;26;50;38;57;238;6.9;100.0;135;3;14.43;8;48;6.9;1
2019-11-23 12:00:00;N;L;26;48;38;22;252;9.8;105.0;90;3;13.0;2;0;1.58;0
2019-11-24 12:00:00;N;L;27;41;34;58;157;9.8;101.0;135;4;12.12;25;0;21.87;0
2019-11-25 06:30:00;A;L;29;11;31;52;139;9.8;101.0;225;4;12.49;18;30;19.75;0
2019-11-28 12:00:00;N;B;28;55;31;52;311;7;105.0;315;3;13.64;4;24;4.42;1
2019-11-29 08:00:00;A;B;24;51;34;53;311;7;108.0;247;3;13.65;20;0;20;1
2019-11-30 12:00:00;N;B;24;22;38;53;27;7;108.0;225;3;13.76;21;0;23.62;1
2019-11-30 18:30:00;A;B;26;0;40;8;27;7;106.0;225;3;13.69;6;30;7.04;1
2019-12-01 12:00:00;N;B;27;46;40;56;82;7;103.0;0;4;12.61;4;36;4.79;1
2019-12-01 15:30:00;A;B;28;49;40;52;82;0;103.0;0;4;12.86;3;30;3.4;0
2019-12-04 07:42:00;A;B;27;29;42;46;266;6.75;105.0;45;5;13.5;8;0;6.67;1.5
2019-12-06 10:42:00;A;L;29;12;41;6;146;10.68;105.0;90;2;13.06;6;12;6.3;0
2019-12-08 02:30:00;A;L;27;41;40;24;244;10.55;101.0;225;2;13.22;5;30;5.04;0
2019-12-09 12:00:00;N;L;26;54;36;15;139;10.55;104.8;315;4;13.35;15;30;15.58;0
2019-12-10 12:00:00;N;L;30;41;32;53;138;10.55;102.0;315;4;13.6;25;0;22.97;0
2019-12-10 19:00:00;A;L;32;34;31;9;135;10.55;104.0;315;1;13.43;7;0;6.1;0
2019-12-23 12:00:00;N;B;32;19;29;40;157;7.25;104.0;315;2;13.65;2;0;1.6;1.5
2019-12-24 12:00:00;N;B;35;6;25;57;145;7.25;104.9;315;3;13.53;23;0;22;1.5
2019-12-24 21:00:00;A;B;37;2;24;31;90;7.25;104.0;315;2;13.89;9;0;8.2;1.5
2019-12-27 12:00:00;N;L;38;28;22;18;192;12.6;110.0;270;2;13.5;4;0;3.9;0
2019-12-28 00:30:00;A;L;37;38;19;23;236;12.6;109.4;0;3;13.41;13;30;13.5;0
2020-01-09 12:00:00;N;B;36;48;23;47;337;8.5;104.0;315;4;13.55;20;0;17.5;0
2020-01-10 12:00:00;N;B;33;6;28;25;315;8.5;108.0;315;4;13.25;24;0;22.96;0
2020-01-10 19:30:00;A;B;32;58;29;32;353;8.5;108.8;315;3;13.6;7;30;7.3;0
2020-01-16 12:00:00;N;L;29;52;32;38;297;10.65;104.1;45;5;13.44;12;30;12.98;0
2020-01-17 08:30:00;A;L;24;51;34;59;352;10.65;105.0;45;5;13.17;20;30;21.3;0
2020-01-18 12:00:00;N;L;21;24;35;52;281;10.65;104.8;45;5;13.3;11;12;10.7;0
2020-01-19 12:00:00;N;L;15;27;36;23;281;10.65;104.3;315;4;12.92;25;0;22.96;0
2020-01-20 12:00:00;N;L;9;39;37;12;271;10.65;104.2;90;4;12.96;24;0;22.04;0
2020-01-21 12:00:00;N;L;2;11;37;45;264;10.65;104.5;90;5;12.92;24;0;22.84;0
2020-01-22 12:00:00;N;L;3;15;36;38;261;10.65;104.3;90;5;13.08;24;0;22.96;0
2020-01-23 12:00:00;N;L;9;3;37;28;347;10.65;104.4;0;4;12.75;24;0;22.74;0
2020-01-24 12:00:00;N;L;9;12;42;57;0;10.65;104.3;45;4;13.0;24;0;22.84;0
2020-01-25 12:00:00;N;L;7;49;46;21;31;10.65;104.3;45;5;12.63;24;0;22.56;0
2020-01-26 12:00:00;N;L;1;7;50;15;75;10.85;104.3;135;3;13.63;24;0;22.7;0
2020-01-27 05:00:00;A;L;3;55;51;21;75;11;100.0;135;3;13.53;17;0;16.07;0
2020-02-08 12:00:00;N;L;1;18;50;13;255;12.2;114.0;225;5;12.61;18;0;22.45;0
2020-02-09 12:00:00;N;L;6;30;48;11;217;12.2;106.0;225;7;9.12;25;0;31.2;0
2020-02-10 12:00:00;N;L;7;31;46;51;217;12.2;102.7;225;8;6.29;24;0;28.57;0
2020-02-11 12:00:00;N;L;10;35;43;40;217;12.2;100.4;225;7;8.46;24;0;24.65;0
2020-02-12 12:00:00;N;L;15;10;40;14;223;12.2;106.8;225;6;11.32;25;0;26.77;0
2020-02-13 12:00:00;N;L;20;17;37;43;240;12.2;108.7;225;5;13.04;24;0;27.25;0
2020-02-14 12:00:00;N;L;26;23;35;21;252;12.2;108.8;225;5;12.5;24;0;27.27;0
2020-02-15 12:00:00;N;L;32;50;33;7;252;12.2;107.8;225;6;12.08;25;0;28.85;0
2020-02-16 12:00:00;N;L;37;22;32;29;252;12.2;106.6;225;6;11.96;24;0;26.1;0
2020-02-17 12:00:00;N;L;43;47;30;13;252;12.2;108.7;225;5;12.88;24;0;26.75;0
2020-02-18 12:00:00;N;L;49;7;29;6;252;12.2;105.6;225;4;12.92;25;0;26.38;0
2020-02-19 12:00:00;N;L;54;32;27;41;252;12.2;104.3;225;4;12.96;24;0;23.75;0
2020-02-20 12:00:00;N;L;60;56;25;9;252;12.2;104.9;225;4;13.0;24;0;23.95;0
2020-02-21 12:00:00;N;L;65;18;24;41;252;12.2;104.6;225;4;12.88;25;0;25.07;0
2020-02-22 12:00:00;N;L;70;46;22;49;252;12.2;106.7;225;4;12.5;24;0;25.12;0
2020-02-23 12:00:00;N;L;76;39;21;21;282;12.2;106.4;45;3;13.4;25;0;26.04;0
2020-02-24 11:30:00;A;L;81;15;23;23;214;12.2;107.7;45;2;13.4;23;30;25.62;0
2020-02-27 02:30:00;A;L;82;20;23;19;261;9.8;104.0;270;5;12.75;4;0;3.9;0
2020-03-06 12:00:00;N;B;85;9;24;13;299;7.2;99.5;270;4;12.62;13;0;10.8;1
2020-03-07 12:00:00;N;B;90;48;26;28;299;7.2;99.7;315;2;13.63;24;0;19.9;1
2020-03-08 07:00:00;A;B;94;8;29;20;301;7.2;95.0;315;2;13.26;19;0;14.15;1
2020-03-18 12:00:00;N;L;92;6;28;47;143;11.05;107.6;135;2;13.18;8;30;9.3;0
2020-03-19 12:00:00;N;L;87;25;25;44;119;10.8;108.9;135;3;13.21;24;0;26.5;0
2020-03-20 12:00:00;N;L;85;20;21;27;137;10.8;108.9;180;6;12.33;24;0;27.1;0
2020-03-21 12:00:00;N;L;81;14;18;13;125;10.825;108.6;135;5;13.0;24;0;26.35;0.15
2020-03-22 12:00:00;N;L;78;16;14;24;197;10.825;108.9;135;4;13.63;24;0;26.4;0.15
2020-03-23 10:00:00;A;L;79;30;9;57;197;10.79;108.0;45;4;13.86;22;0;23.7;0.08
2020-03-27 12:00:00;N;L;81;58;6;9;270;10.825;105.1;270;3;13.77;13;0;12.65;0.15
2020-03-28 12:00:00;N;L;86;40;7;26;281;10.825;108.8;270;3;13.33;24;0;26.4;0.15
2020-03-29 12:00:00;N;L;91;39;8;37;281;10.825;108.5;270;3;13.17;24;0;26.35;0.15
2020-03-30 12:00:00;N;L;97;44;9;11;281;10.825;107.4;45;3;13.52;25;0;26.4;0.15
2020-03-31 12:00:00;N;L;102;50;10;58;281;10.825;108.9;45;3;14.58;24;0;25.8;0.15
2020-04-01 12:00:00;N;L;108;57;11;47;281;10.825;109.4;45;3;14.63;24;0;25.65;0.15
2020-04-02 12:00:00;N;L;114;4;13;37;281;10.825;109.1;45;3;14.0;25;0;26.85;0.15
2020-04-03 12:00:00;N;L;120;24;14;16;302;10.825;109.4;45;3;14.38;24;0;27.05;0.15
2020-04-04 12:00:00;N;L;125;21;17;22;301;10.825;109.4;45;3;13.84;25;0;28.64;0.15
2020-04-05 12:00:00;N;L;130;11;20;19;299;10.825;109.4;45;3;13.71;24;0;27.05;0.15
2020-04-06 12:00:00;N;L;135;57;22;39;297;10.825;109.3;0;3;13.72;25;0;27.6;0.15
