LATD,LOND,VESSEL_CODE,TELEGRAM_DATE,PORT
128,34,486,2010-01-16 15:18:00,Tong Yong
118,5,486,2010-01-22 05:30:00,SANDAKAN
118,5,486,2010-01-25 15:30:00,SANDAKAN
103,3,486,2010-01-28 16:00:00,KUANTAN
103,3,486,2010-02-02 23:00:00,KUANTAN
103,1,486,2010-02-03 12:18:00,SINGAPORE
103,1,486,2010-02-03 22:30:00,SINGAPORE
105,5,486,2010-02-06 01:12:00,PANJANG
105,5,486,2010-02-07 21:30:00,PANJANG
32,29,486,2010-02-22 08:06:00,SUEZ
32,29,486,2010-02-23 20:00:00,SUEZ
5,36,486,2010-03-01 17:00:00,GIBRALTAR
5,36,486,2010-03-02 10:00:00,GIBRALTAR
4,51,486,2010-03-06 16:48:00,ROTTERDAM
4,51,486,2010-03-13 02:00:00,ROTTERDAM
4,51,486,2010-03-21 22:30:00,Rotterdam
4,51,486,2010-03-24 09:00:00,ROTTERDAM
56,36,486,2010-04-13 08:00:00,Charlie Zone TSA; Rio De La Pl
56,36,486,2010-04-29 02:30:00,Charlie Zone TSA; Rio De La Pl
59,34,486,2010-04-29 14:00:00,Zarate
59,34,486,2010-05-03 00:00:00,Zarate
60,32,486,2010-05-08 00:00:00,"San Lorenzo, Argentina"
60,32,486,2010-05-10 00:00:00,"San Lorenzo, Argentina"
0,0,486,2010-05-11 00:00:00,ZONA COMUN
0,0,486,2010-05-15 17:00:00,ZONA COMUN
62,38,486,2010-05-17 07:30:00,BAHIA BLANCA
62,38,486,2010-05-21 13:30:00,BAHIA BLANCA
56,25,486,2010-06-19 14:30:00,FUJAIRAH
56,25,486,2010-06-20 00:30:00,FUJAIRAH
49,30,486,2010-06-21 14:30:00,Bandar Imam Khomeini
49,30,486,2010-06-26 12:00:00,Bandar Imam Khomeini
56,26,486,2010-06-27 21:36:00,BANDAR ABBAS
56,27,486,2010-07-08 20:36:00,BANDAR ABBAS
49,27,486,2010-07-09 19:18:00,Jubail
49,27,486,2010-07-12 12:00:00,Jubail
35,29,486,2010-07-22 07:48:00,AQABA
35,29,486,2010-07-31 06:00:00,AQABA
38,24,486,2010-08-01 09:36:00,YANBU
38,24,486,2010-08-03 13:54:00,YANBU
38,22,486,2010-08-27 01:48:00,Rabigh
38,22,486,2010-08-31 01:46:00,Rabigh
32,29,486,2010-09-01 15:00:00,SUEZ
32,29,486,2010-09-02 18:00:00,SUEZ
0,0,486,2010-09-05 11:30:00,MALTA
0,0,486,2010-09-06 02:24:00,MALTA
5,36,486,2010-09-09 03:30:00,ALGECIRAS
5,36,486,2010-09-11 03:24:00,ALGECIRAS
4,52,486,2010-09-15 09:42:00,AMSTERDAM
4,52,486,2010-09-19 00:06:00,AMSTERDAM
81,30,486,2010-10-01 09:54:00,JACKSONVILLE
81,30,486,2010-10-03 08:00:00,JACKSONVILLE
78,26,486,2010-10-04 03:18:00,FREEPORT (BAH)
78,26,486,2010-10-09 01:00:00,FREEPORT (BAH)
74,40,486,2010-10-11 13:30:00,NEW YORK
74,40,486,2010-10-14 15:36:00,NEW YORK
64,17,486,2010-10-18 23:30:00,ST. CROIX
64,17,486,2010-10-22 14:00:00,ST. CROIX
71,42,486,2010-10-27 10:30:00,BOSTON
71,42,486,2010-10-29 19:00:00,BOSTON
54,47,486,2010-11-01 07:00:00,COME BY CHANCE
54,47,486,2010-11-05 12:48:00,COME BY CHANCE
71,42,486,2010-11-08 02:24:00,BOSTON (USA)
71,42,486,2010-11-11 12:00:00,BOSTON (USA)
74,40,486,2010-11-13 05:06:00,NEW YORK
74,40,486,2010-11-15 18:00:00,NEW YORK
95,29,486,2010-11-21 09:36:00,HOUSTON
95,29,486,2010-11-23 16:00:00,HOUSTON
4,51,486,2010-12-13 04:18:00,ROTTERDAM
4,51,486,2010-12-16 06:30:00,ROTTERDAM
4,52,486,2010-12-16 09:00:00,AMSTERDAM
4,52,486,2010-12-25 02:00:00,AMSTERDAM
2,6,486,2011-01-07 21:00:00,Cotonou
2,6,486,2011-01-17 18:30:00,COTONOU
11,58,486,2011-02-01 08:00:00,BROFJORDEN
11,58,486,2011-02-04 01:30:00,BROFJORDEN
4,51,486,2011-02-06 13:30:00,ROTTERDAM
4,51,486,2011-02-19 12:00:00,ROTTERDAM
4,51,486,2011-02-20 09:00:00,ANTWERP
4,51,486,2011-02-22 23:00:00,Antwerp
14,35,486,2011-03-02 09:46:00,MALTA (GRAND HARBOUR)
14,35,486,2011-03-02 11:42:00,MALTA (GRAND HARBOUR)
32,29,486,2011-03-05 15:00:00,SUEZ
32,29,486,2011-03-06 17:00:00,SUEZ
103,1,486,2011-03-24 18:00:00,SINGAPORE
103,1,486,2011-03-25 04:30:00,SINGAPORE
120,32,486,2011-04-02 07:00:00,Nantong
120,32,486,2011-04-10 18:30:00,Nantong
113,22,486,2011-04-13 20:30:00,Zhuhai
113,22,486,2011-04-16 21:00:00,Zhuhai
114,22,486,2011-04-17 03:36:00,HONG KONG
114,22,486,2011-04-18 21:30:00,HONG KONG
120,23,486,2011-04-21 15:30:00,Mailiao
120,23,486,2011-04-24 21:00:00,Mailiao
114,22,486,2011-04-26 02:00:00,HONG KONG
114,22,486,2011-05-04 04:30:00,HONG KONG
120,23,486,2011-05-05 11:30:00,Mailiao
120,23,486,2011-05-06 21:00:00,Mailiao
103,1,486,2011-05-12 13:42:00,SINGAPORE
103,1,486,2011-05-14 06:00:00,SINGAPORE
103,1,486,2011-05-17 13:30:00,SINGAPORE
103,1,486,2011-05-18 23:24:00,SINGAPORE
103,1,486,2011-05-19 01:48:00,SINGAPORE
103,1,486,2011-05-19 22:00:00,SINGAPORE
103,1,486,2011-05-19 23:42:00,SINGAPORE
103,1,486,2011-05-21 07:36:00,SINGAPORE
103,1,486,2011-05-21 14:18:00,SINGAPORE
103,1,486,2011-05-26 18:00:00,SINGAPORE
114,22,486,2011-05-31 09:42:00,HONG KONG
114,22,486,2011-06-04 02:48:00,HONG KONG
119,24,486,2011-06-05 07:48:00,TAIWAN STRAIT
119,24,486,2011-06-07 05:18:00,TAIWAN STRAIT
103,1,486,2011-06-12 09:12:00,SINGAPORE
103,1,486,2011-06-12 12:00:00,SINGAPORE
103,1,486,2011-06-13 12:00:00,SINGAPORE
0,0,486,2011-06-14 12:00:00,Anchor Singapore
103,1,486,2011-06-15 12:00:00,Anchor Singapore
103,1,486,2011-06-16 12:00:00,Singapore Anchorage
103,1,486,2011-06-16 17:48:00,SINGAPORE
103,1,486,2011-06-16 23:42:00,SINGAPORE
