LATD,LOND,VESSEL_CODE,TELEGRAM_DATE,PORT
128,34,479,2009-05-05 15:30:00,TONGYEONG
104,1,479,2009-05-13 16:00:00,SINGAPORE
103,1,479,2009-05-16 13:00:00,SINGAPORE
0,0,479,2009-06-06 13:00:00,MALTA
NULL,NULL,479,2009-06-10 10:30:00,MALTA
0,0,479,2009-06-13 16:48:00,TRIPOLI
0,0,479,2009-06-17 23:00:00,TRIPOLI
35,33,479,2009-06-18 05:00:00,ZAHRANI
35,33,479,2009-06-18 21:30:00,ZAHRANI
26,40,479,2009-06-20 21:00:00,DARDANELLES
26,40,479,2009-06-21 17:00:00,DARDANELLES
29,41,479,2009-06-21 23:59:00,Bosporus - N bound
29,41,479,2009-06-23 04:00:00,Bosporus - N bound
39,44,479,2009-06-24 14:12:00,Tuapse
39,44,479,2009-06-26 23:30:00,Tuapse
29,41,479,2009-06-28 05:00:00,Bosporus - S bound
29,41,479,2009-06-28 21:00:00,Bosporus - S bound
26,40,479,2009-06-29 04:18:00,Dardanelles - S bound
26,40,479,2009-06-29 13:00:00,Dardanelles - S bound
8,41,479,2009-07-05 19:00:00,Leixoes
8,41,479,2009-07-08 12:30:00,Leixoes
14,35,479,2009-07-13 05:12:00,MALTA (GRAND HARBOUR)
14,35,479,2009-07-15 21:30:00,MALTA (GRAND HARBOUR)
0,37,479,2009-07-18 04:12:00,"Cartagena, Spain"
0,37,479,2009-07-19 18:30:00,"Cartagena, Spain"
14,35,479,2009-07-22 01:00:00,MALTA (GRAND HARBOUR)
14,35,479,2009-07-25 13:00:00,MALTA (GRAND HARBOUR)
2,41,479,2009-07-27 11:42:00,"Barcelona, Spain"
2,41,479,2009-07-29 16:00:00,"Barcelona, Spain"
12,32,479,2009-07-31 20:48:00,Zawia
12,32,479,2009-08-03 19:30:00,Zawia
17,40,479,2009-08-05 11:36:00,Brindisi
17,40,479,2009-08-10 03:00:00,Brindisi
12,45,479,2009-08-11 05:48:00,Porto Marghera
12,45,479,2009-08-12 17:30:00,Porto Marghera
26,40,479,2009-08-15 13:48:00,Dardanelles - N bound
26,40,479,2009-08-16 09:10:00,Dardanelles - N bound
29,41,479,2009-08-16 17:30:00,Bosporus - N bound
29,41,479,2009-08-17 05:00:00,Bosporus - N bound
39,44,479,2009-08-19 00:01:00,Tuapse
39,44,479,2009-08-20 23:50:00,Tuapse
29,41,479,2009-08-22 05:00:00,Bosporus - S bound
29,41,479,2009-08-22 20:25:00,Bosporus - S bound
26,40,479,2009-08-23 03:00:00,Dardanelles - S bound
26,40,479,2009-08-23 21:00:00,Dardanelles - S bound
