LATD,LOND,VESSEL_CODE,TELEGRAM_DATE,PORT
130,34,446,2006-10-02 12:00:00,KOREA STRAIT
130,34,446,2006-10-04 12:00:00,KOREA STRAIT
130,34,446,2006-10-05 00:01:00,KOREA STRAIT
118,5,446,2006-10-10 13:30:00,SANDAKAN
118,NULL,446,2006-10-13 03:00:00,SANDAKAN
103,NULL,446,2006-10-16 07:00:00,PASIR GUDANG
103,NULL,446,2006-10-20 03:00:00,PASIR GUDANG
3,51,446,2006-11-16 00:30:00,ROTTERDAM
NULL,51,446,2006-11-19 02:00:00,ROTTERDAM
4,43,446,2006-11-30 08:00:00,LAVERA
NULL,43,446,2006-12-03 16:00:00,LAVERA
35,35,446,2006-12-08 16:30:00,BANIAS
35,35,446,2006-12-10 20:00:00,BANIAS
23,37,446,2006-12-12 18:00:00,PIRAEUS
23,37,446,2006-12-22 12:00:00,PIRAEUS
29,31,446,2006-12-24 00:30:00,ALEXANDRIA
29,31,446,2006-12-26 08:42:00,ALEXANDRIA
34,31,446,2006-12-27 04:42:00,ASHKELON
34,31,446,2006-12-31 08:00:00,ASHKELON
14,35,446,2007-01-03 08:42:00,MALTA
19,34,446,2007-01-04 04:18:00,MALTA
15,37,446,2007-01-04 10:30:00,SICILIAN CHANNEL
15,37,446,2007-01-14 13:00:00,SICILIAN CHANNEL
34,31,446,2007-01-17 13:12:00,ASHKELON
34,31,446,2007-01-25 07:30:00,ASHKELON
26,40,446,2007-01-27 06:18:00,CANAKKALE
26,40,446,2007-01-28 23:00:00,CANAKKALE
37,44,446,2007-01-30 06:30:00,NOVOROSSISK
37,44,446,2007-02-01 08:30:00,NOVOROSSISK
29,41,446,2007-02-02 15:00:00,CANAKKALE
26,40,446,2007-02-06 04:00:00,CANAKKALE
0,39,446,2007-02-10 10:30:00,CASTELLON
NULL,39,446,2007-02-15 16:30:00,CASTELLON
1,41,446,2007-02-15 22:30:00,TARRAGONA
NULL,41,446,2007-02-20 12:00:00,TARRAGONA
5,36,446,2007-02-21 22:00:00,GIBRALTAR
5,36,446,2007-02-22 13:30:00,GIBRALTAR
73,40,446,2007-03-05 20:18:00,NEWARK
74,40,446,2007-03-09 10:00:00,NEWARK
4,52,446,2007-03-20 09:00:00,AMSTERDAM
NULL,52,446,2007-03-24 00:00:00,AMSTERDAM
71,41,446,2007-04-04 21:42:00,PROVIDENCE
71,41,446,2007-04-06 08:20:00,PROVIDENCE
72,41,446,2007-04-07 10:30:00,NEW HAVEN
72,41,446,2007-04-07 20:00:00,NEW HAVEN
33,69,446,2007-04-23 23:30:00,MURMANSK
0,0,446,2007-04-27 22:30:00,MURMANSK
0,54,446,2007-05-02 07:18:00,TEESPORT
NULL,54,446,2007-05-06 01:30:00,TEESPORT
33,69,446,2007-05-11 05:00:00,MURMANSK
33,69,446,2007-05-13 05:00:00,MURMANSK
