Terminal,Date,Latitude,Longitude,Course,Speed,Average Speed,Wind Speed,Wind Direction,Pressure,Significant Wave Height,Wind Wave Height,Swell Height,Wind Wave Direction,Swell Direction,Swell Period,Wind Wave Period,Current Speed ,Current Direction 
INC.463702393 (9469.007),04.12.2019 13:52 Z,"45° 57' 09.59"" N","014° 47' 21.60"" W",064°,011.8 kn.,012.3 kn.,010.0m/s,354°,1023mb,3.5m,1.8m,3.0m,355°,280°,010sec,005sec,0.09m/s,138°
INC.463702393 (9469.007),03.12.2019 13:52 Z,"43° 38' 04.79"" N","020° 53' 16.80"" W",062°,013.2 kn.,012.9 kn.,005.0m/s,254°,1020mb,3.3m,1.0m,3.1m,245°,265°,010sec,004sec,0.14m/s,114°
INC.463702393 (9469.007),03.12.2019 09:26 Z,"43° 11' 16.80"" N","022° 02' 21.59"" W",063°,012.4 kn.,012.7 kn.,006.0m/s,208°,1019mb,3.3m,1.3m,3.0m,210°,265°,010sec,004sec,0.14m/s,114°
INC.463702393 (9469.007),02.12.2019 13:52 Z,"41° 14' 07.20"" N","026° 57' 26.40"" W",060°,012.4 kn.,013.0 kn.,010.0m/s,178°,1021mb,3.4m,1.8m,2.9m,185°,265°,011sec,005sec,0.10m/s,116°
AIS.636013411.S-34,02.12.2019 05:45 Z,"40° 24' 29.23"" N","029° 00' 12.49"" W",060°,012.6 kn.,013.4 kn.,011.0m/s,176°,1021mb,3.4m,2.0m,2.8m,175°,265°,012sec,005sec,0.10m/s,113°
AIS.636013411.S-19,02.12.2019 04:21 Z,"40° 15' 39.77"" N","029° 21' 51.24"" W",061°,013.5 kn.,000.3 kn.,011.0m/s,176°,1021mb,3.5m,2.0m,2.8m,175°,265°,012sec,006sec,0.10m/s,113°
AIS.636013411.S-34,02.12.2019 04:21 Z,"40° 15' 39.78"" N","029° 21' 51.22"" W",060°,013.5 kn.,013.8 kn.,011.0m/s,176°,1021mb,3.5m,2.0m,2.8m,175°,265°,012sec,006sec,0.10m/s,113°
AIS.636013411.S-19,02.12.2019 04:12 Z,"40° 14' 42.11"" N","029° 24' 03.61"" W",064°,013.6 kn.,014.2 kn.,011.0m/s,176°,1021mb,3.5m,2.0m,2.9m,175°,265°,012sec,006sec,0.10m/s,113°
AIS.636013411.S-19,02.12.2019 04:10 Z,"40° 14' 26.27"" N","029° 24' 45.01"" W",061°,013.9 kn.,005.9 kn.,011.0m/s,176°,1021mb,3.5m,2.0m,2.9m,175°,265°,012sec,006sec,0.10m/s,113°
AIS.636013411.S-34,02.12.2019 04:10 Z,"40° 14' 25.58"" N","029° 24' 46.58"" W",063°,013.8 kn.,013.8 kn.,011.0m/s,176°,1021mb,3.5m,2.0m,2.9m,175°,265°,012sec,006sec,0.10m/s,113°
AIS.636013411.S-19,02.12.2019 03:54 Z,"40° 12' 44.97"" N","029° 29' 03.59"" W",062°,013.7 kn.,013.4 kn.,011.0m/s,176°,1021mb,3.5m,2.1m,2.9m,175°,265°,012sec,006sec,0.10m/s,113°
