FOC,PERC
34.56,21.613056
34.56,19.630402
31.68,10.693398
33.12,17.129776
33.12,14.828094
34.56,21.791943
33.12,17.017696
34.56,19.811811
33.12,16.199127
33.12,17.4097
34.56,19.845972
33.12,16.105913
33.12,16.953957
34.56,18.976662
33.12,16.4564
33.12,15.795485
33.12,13.592031
33.12,18.341333
33.12,14.958376
33.12,17.026543
33.12,16.854294
34.56,20.032393
33.12,16.975668
34.56,19.40906
33.12,17.311735
33.12,16.345184
33.12,20.198397
37.44,26.051653
36.0,24.48098
33.12,17.658583
33.12,17.680605
33.12,16.70944
33.12,16.109304
34.56,22.013739
33.12,17.857357
33.12,16.799942
34.56,20.976192
33.12,18.152449
33.12,17.295403
34.56,21.291231
34.56,20.976534
33.12,17.3935
33.12,16.57228
34.56,19.685255
31.68,13.152157
33.12,18.306694
34.56,19.188543
33.12,16.222784
33.12,17.809032
33.12,18.078003
34.56,21.850964
33.12,19.079178
33.12,18.857378
34.56,20.09671
34.56,20.773443
33.12,17.230787
34.56,20.301683
33.12,16.079191
33.12,17.92041
33.12,17.95254
33.12,17.124346
33.12,14.861068
33.12,16.775202
33.12,16.230425
33.12,19.700045
34.56,21.913393
37.44,28.232214
36.0,23.436737
33.12,16.422676
33.12,20.264513
33.12,19.011982
34.56,20.823975
33.12,19.474998
33.12,18.352127
34.56,22.540169
34.56,22.449966
34.56,22.120771
36.0,23.362637
33.12,18.674913
34.56,20.905302
34.56,21.928228
34.56,21.725704
34.56,22.216825
34.56,0.6915132
33.12,3.123318
33.12,6.982866
34.56,0.7026173
34.56,1.3906757
33.12,4.258513
34.56,1.054053
34.56,1.5458574
33.12,4.9166865
34.56,1.5057788
33.12,5.83894
33.12,8.519963
33.12,7.5110493
34.56,3.3092387
34.56,0.9119179
33.12,7.1985946
33.12,7.2230697
34.56,19.515675
33.12,15.884569
34.56,21.89252
37.44,26.38243
36.0,23.506504
33.12,15.3241415
33.12,17.871927
34.56,18.280622
33.12,15.994109
33.12,16.286165
33.12,16.419197
33.12,16.30191
34.56,19.081234
34.56,19.530743
33.12,15.92976
34.56,21.056984
33.12,16.908255
33.12,16.754837
33.12,17.018398
33.12,15.49768
34.56,18.920126
33.12,16.994282
33.12,17.54398
34.56,21.314972
33.12,15.929656
33.12,17.76985
33.12,17.57669
34.56,17.841402
33.12,17.09648
33.12,15.640328
33.12,17.076462
33.12,17.957584
33.12,15.50511
33.12,19.065971
33.12,17.85693
34.56,18.795794
38.88,35.196415
36.0,32.624447
36.0,31.79048
36.0,29.762852
36.0,31.654182
36.0,31.05906
37.44,33.832787
37.44,35.542908
38.88,38.33125
40.32,39.54015
38.88,36.770107
37.44,34.65612
38.88,34.22201
38.88,35.16415
38.88,35.405132
38.88,36.584602
38.88,38.676743
46.08,48.20393
36.0,32.209473
40.32,38.805634
40.32,39.58557
37.44,36.257538
36.0,34.15948
36.0,32.900967
36.0,31.44846
36.0,31.23438
36.0,31.700346
38.88,38.074867
36.0,31.265905
37.44,34.686626
37.44,34.956924
36.0,31.392967
38.88,38.141205
37.44,33.198933
36.0,33.869537
36.0,30.942186
38.88,37.74432
37.44,35.399464
36.0,30.86868
36.0,31.324518
37.44,33.10651
38.88,36.699066
40.32,40.479774
38.88,35.184223
36.0,31.734642
37.44,36.146183
38.88,37.036922
40.32,38.525738
38.88,36.434074
36.0,30.451426
37.44,34.390434
36.0,32.243217
36.0,28.742748
36.0,27.362087
36.0,29.815695
37.44,33.49226
36.0,29.765356
36.0,29.389387
36.0,31.16399
36.0,28.39827
36.0,27.864986
34.56,23.974852
43.2,43.13175
38.88,33.66622
38.88,36.311634
40.32,35.74124
38.88,36.27567
38.88,36.87473
38.88,35.541664
41.76,40.380226
37.44,34.09944
37.44,35.32207
36.0,30.748114
36.0,9.306845
36.0,29.81418
36.0,31.639957
36.0,8.517159
37.44,32.91402
34.56,23.971817
36.0,36.025063
37.44,32.330505
37.44,32.835304
36.0,38.08194
34.56,25.12137
36.0,28.621075
36.0,38.100105
36.0,30.226728
36.0,29.933569
37.44,42.52303
34.56,27.926222
36.0,26.844374
37.44,8.789953
37.44,31.926521
38.88,36.394665
36.0,5.901008
36.0,28.274382
36.0,31.273556
36.0,11.030812
36.0,32.13943
34.56,29.015768
36.0,6.420973
34.56,26.323
36.0,30.134842
37.44,9.478555
36.0,30.594742
34.56,27.687687
34.56,2.5635185
36.0,30.10903
34.56,24.781967
34.56,33.12467
36.0,26.467896
36.0,32.504498
34.56,28.300074
34.56,28.712576
37.44,32.745613
36.0,29.6381
36.0,30.76638
36.0,29.17782
37.44,32.368134
34.56,28.255316
36.0,27.538246
36.0,29.089344
36.0,30.08675
