STW,MAE
9.9,5.972309112548828
10.18,5.1702880859375
10.58,1.6243209838867188
10.2,4.091663360595703
10.44,3.091583251953125
9.8,6.068546295166016
10.04,4.017021179199219
10.49,5.099267959594727
10.1,3.6863021850585938
10.2,4.13764762878418
10.24,5.154140472412109
10.15,3.693227767944336
10.03,4.087093353271484
10.46,4.845762252807617
10.1,3.813915252685547
10.28,3.5364227294921875
10.71,2.5720901489257812
9.9,4.663312911987305
10.4,3.1911659240722656
10.03,4.104518890380859
10.16,3.9826126098632812
10.39,5.2214508056640625
10.26,4.030429840087891
10.24,5.025979995727539
10.02,4.230937957763672
10.2,3.711078643798828
9.38,5.472705841064453
10.18,8.156795501708984
9.9,7.296970367431641
10.03,4.340082168579102
9.96,4.313259124755859
10.18,3.883392333984375
10.24,3.5867271423339844
10.0,6.140117645263672
10.09,4.391269683837891
10.47,3.9379730224609375
10.19,5.742279052734375
9.96,4.564573287963867
10.03,4.123205184936523
10.18,5.794750213623047
9.96,5.734771728515625
10.02,4.267978668212891
10.25,3.8506851196289062
10.37,5.184192657470703
10.33,2.6222763061523438
10.02,4.658702850341797
10.48,4.891139984130859
10.5,3.677387237548828
9.93,4.438825607299805
10.16,4.459747314453125
10.13,6.073333740234375
9.88,5.01140022277832
9.86,4.923244476318359
10.23,5.383960723876953
10.1,5.574470520019531
10.04,4.338344573974609
10.24,5.525514602661133
10.33,3.7067794799804688
9.96,4.524143218994141
10.12,4.476310729980469
10.22,4.124797821044922
10.53,3.1983909606933594
10.15,3.963621139526367
10.27,3.764190673828125
9.88,5.256568908691406
9.94,6.241626739501953
10.2,9.184955596923828
10.28,6.936065673828125
10.15,3.875509262084961
9.5,5.487884521484375
9.93,5.005794525146484
10.04,5.652959823608398
9.81,5.151340484619141
10.03,4.610179901123047
10.03,6.4827423095703125
9.72,6.418186187744141
9.75,6.3634796142578125
10.08,6.844398498535156
9.63,4.723388671875
9.88,5.6552276611328125
9.74,6.153022766113281
10.06,5.997642517089844
9.94,6.213676452636719
9.74,4.836757659912109
9.88,3.3054351806640625
10.15,2.0365028381347656
10.02,4.224164962768555
10.0,3.990915298461914
9.87,3.074718475341797
10.23,4.268161773681641
9.84,5.051464080810547
10.2,2.5098495483398438
9.64,5.046049118041992
10.22,2.2329025268554688
10.7,0.93621826171875
10.23,1.7338886260986328
10.34,2.9389686584472656
