STW,MAE
9.9,4.661132945722173
10.18,4.223950236261274
10.58,7.869323357665209
10.2,2.7517849162833485
10.44,2.355872080397422
9.8,4.811407540018401
10.04,3.005589480066238
10.49,3.7110598139944813
10.1,2.911352610855566
10.2,2.7517849162833485
10.24,4.127074870020241
10.15,2.831961784268625
10.03,3.0211865910542777
10.46,3.7620444106421367
10.1,2.911352610855566
10.28,2.6218572965740563
10.71,1.3458171129173486
9.9,3.221132945722168
10.4,2.4231395878564825
10.03,3.0211865910542777
10.16,2.8159894178914406
10.39,3.8798758470763595
10.26,2.6545296481030327
10.24,4.127074870020241
10.02,3.0367526321103924
10.2,2.7517849162833485
9.38,3.969771308864761
10.18,7.103950236261269
9.9,6.101132945722171
10.03,3.0211865910542777
9.96,3.129498144588773
10.18,2.783950236261269
10.24,2.6870748700202363
10.0,4.507791628334868
10.09,2.927136791952158
10.47,3.0867622733968716
10.19,4.207883359054282
9.96,3.129498144588773
10.03,3.0211865910542777
10.18,4.223950236261274
9.96,4.569498144588778
10.02,3.0367526321103924
10.25,2.6708181347746063
10.37,3.9132518411812356
10.33,0.8946061421783327
10.02,4.450142425540811
10.48,3.7280871331149967
10.5,2.988874041652103
9.93,3.175453965884085
10.16,2.8159894178914406
10.13,4.3038122230322
9.88,3.251432211164669
9.86,5.492120270183207
10.23,4.14329988481693
10.1,4.351352610855571
10.04,4.317528734832649
10.24,4.127074870020241
10.33,2.539618599407543
9.96,3.129498144588773
10.12,2.879690357372585
10.22,2.719493210141671
10.53,2.7590939055901202
10.15,2.831961784268625
10.27,2.638209379028517
9.88,3.251432211164669
9.94,4.600166160250232
10.2,7.516163133287829
10.28,5.501857296574059
10.15,2.831961784268625
9.5,3.804140754369822
9.93,5.040381042989068
10.04,4.445589480066243
9.81,3.3565172002833457
10.03,3.0211865910542777
10.03,5.883246458967438
9.72,4.9294399913744265
9.75,7.6291459721279935
10.08,5.8228897172548315
9.63,3.6199239012290683
9.88,4.691432211164674
9.74,4.900113155944805
10.06,4.414301924386386
9.94,4.600166160250232
9.74,4.900113155944805
9.88,3.251432211164669
10.15,2.831961784268625
10.02,5.890142425540816
10.0,4.507791628334868
9.87,5.42797707753126
10.23,4.14329988481693
9.84,4.75166372654278
10.2,2.7517849162833485
9.64,5.045545425457224
10.22,2.719493210141671
10.7,1.4255924535168667
10.23,2.703299884816925
10.34,3.9630749861563963
10.18,4.223950236261274
10.25,2.6708181347746063
10.08,2.942889717254829
10.14,4.287902708989883
10.23,2.703299884816925
9.94,4.600166160250232
10.25,6.990818134774607
10.0,5.9477916283348655
10.28,2.6218572965740563
10.02,3.0367526321103924
10.33,3.979618599407548
10.18,2.783950236261269
10.08,2.942889717254829
10.06,2.9743019243863813
10.29,2.605473369762649
10.43,3.8127373898031323
10.26,4.0945296481030375
10.2,2.7517849162833485
9.78,4.841097178082801
9.97,3.1141178726071743
10.23,2.703299884816925
10.13,2.8638122230321947
10.38,2.4565799211922688
10.35,3.9464993426862947
10.15,2.831961784268625
10.03,3.0211865910542777
9.97,4.554117872607179
10.23,2.703299884816925
9.91,3.2059373276430527
9.96,3.129498144588773
10.44,3.7958720803974266
9.98,3.098706716555654
10.18,2.783950236261269
10.09,2.927136791952158
9.85,3.2966516471941105
10.2,2.7517849162833485
10.0,3.067791628334863
9.79,3.386267522292549
10.08,4.382889717254834
9.33,15.621849823878602
8.93,9.284592991631587
8.99,9.151777048291159
9.66,7.544685579196631
9.2,12.790910242661539
9.21,12.787185145931087
9.32,14.185672677322344
8.75,11.112451532035493
9.27,16.56152333562473
9.21,12.969425278884792
9.17,11.622573168186086
9.33,15.518318846104773
9.63,11.677092705051436
9.57,11.819124957706823
9.27,15.644664199108671
8.97,13.143936653392448
8.96,15.757906015134033
8.96,24.646695065860122
9.08,10.033800776713928
9.0,17.18372513098695
8.81,17.249966278943248
9.1,15.826543367189316
8.71,14.874664928609302
8.86,14.691976320150879
9.14,14.3340412895141
9.24,8.579031268843732
8.97,12.874372633404192
8.8,15.813374664321561
8.97,9.196246744966448
9.06,15.878585911026278
8.96,14.317906015134028
8.79,14.778007498455601
8.64,15.866862504697071
9.19,15.707764395724514
8.53,15.085736111199928
8.79,14.778007498455601
8.68,15.853674275875104
8.93,10.724592991631585
9.01,14.502995948597963
8.91,10.387110857013788
9.1,14.267717752524469
9.03,17.357317464936166
8.96,18.886695065860124
9.4,12.21197523359011
9.0,10.201728162499162
8.44,11.444684577813412
8.85,15.796255186232717
9.3,18.439397241851523
8.95,12.120518579024843
9.06,10.076061467401345
9.01,15.94299594859796
8.91,12.895454926383294
9.56,8.962624631470987
9.68,12.60281894044553
9.28,8.484458967225144
8.94,10.70258043543684
9.01,14.502995948597963
9.63,12.623310049158743
9.03,12.853006408082415
9.41,9.30925517298052
9.35,8.31698507225569
9.49,11.239562507652334
8.96,20.077906015134033
9.57,15.527620054621966
8.79,15.816775312165454
8.98,14.563246638449005
8.88,17.547144786389456
8.85,17.5843501261636
8.84,17.596696000346178
8.94,16.085730422554253
