FOC_pred,FOC_act,PERC,stw
35.57,35.32,0.705935,14.29
31.36,33.95,7.6271305,13.67
28.29,28.88,2.0450106,12.5
35.63,35.42,0.5914612,13.36
30.85,30.36,1.621152,12.52
28.22,28.02,0.72887677,12.04
30.93,30.4,1.7478403,13.04
29.48,30.07,1.9703159,12.71
35.88,35.39,1.3806316,13.87
32.61,34.49,5.4410696,13.47
36.03,35.53,1.3940877,13.43
38.47,38.0,1.2483999,14.28
31.69,30.91,2.5163305,13.61
30.84,30.53,1.0166361,13.29
29.31,27.47,6.71252,13.58
26.18,26.57,1.4857148,13.48
50.18,48.25,3.9900072,16.21
36.25,36.98,1.9734921,13.99
36.6,35.93,1.8546032,14.02
38.42,35.87,7.099166,14.23
33.85,34.89,2.9671,13.55
58.9,58.87,0.055240862,17.54
29.66,29.73,0.23150581,12.72
27.64,27.34,1.1120875,13.61
34.62,34.18,1.2730464,13.08
57.89,56.58,2.3081682,16.99
26.98,26.22,2.8923903,12.6
28.77,27.37,5.109269,13.93
36.82,36.13,1.9171784,13.92
59.04,60.96,3.1513116,16.51
36.1,35.94,0.4494104,13.65
30.21,33.34,9.3750305,13.69
26.15,27.36,4.428562,12.95
38.97,34.44,13.159986,14.32
35.06,37.47,6.4315977,13.76
39.8,34.95,13.882901,14.85
27.23,26.39,3.174995,12.58
35.66,36.0,0.94452965,14.28
31.53,32.61,3.3015556,13.49
28.55,27.83,2.5735295,12.49
59.74,61.34,2.601121,17.35
41.69,40.67,2.5090897,15.41
33.56,31.87,5.2991195,13.49
35.49,33.8,4.9981227,13.61
34.86,35.17,0.86847544,13.69
35.53,35.67,0.39100918,14.28
30.87,31.04,0.5379595,12.96
35.7,34.94,2.1856558,14.63
24.96,25.73,2.9756937,13.22
33.12,31.65,4.6525264,13.28
32.94,29.65,11.107685,14.07
33.62,32.27,4.1929398,13.41
29.81,30.67,2.8081806,14.06
31.42,31.66,0.7679157,13.53
58.15,57.55,1.0342966,16.09
64.07,60.02,6.7447753,16.85
33.71,32.7,3.0738993,13.05
43.4,44.4,2.262854,15.78
31.68,28.93,9.492781,13.58
55.63,55.34,0.5250965,16.78
34.16,35.73,4.3826847,13.7
31.79,31.77,0.07352628,12.55
34.1,37.17,8.2565565,14.03
56.88,57.08,0.34284157,16.99
35.69,35.39,0.8412815,13.83
36.36,36.87,1.3967565,14.0
37.18,37.88,1.844096,13.69
54.19,54.67,0.8792574,16.61
31.34,30.75,1.9297593,12.37
49.57,48.77,1.6408046,16.07
26.26,27.14,3.259247,12.11
58.11,57.78,0.5706597,16.08
29.58,28.8,2.7117665,13.89
33.56,31.96,5.0002255,13.54
31.63,31.55,0.25508898,13.18
26.77,27.19,1.5486633,13.39
26.55,26.76,0.76758665,13.2
35.98,36.54,1.5240415,13.91
36.01,34.48,4.439155,13.63
61.94,61.49,0.7248297,16.79
31.04,30.33,2.332166,13.02
28.23,27.07,4.2924504,13.85
31.58,33.66,6.181968,13.04
26.12,26.37,0.9599959,13.5
30.35,31.27,2.9376035,12.08
28.63,27.0,6.024742,13.93
28.62,28.44,0.6189494,12.62
31.89,30.48,4.6251264,13.54
35.42,34.24,3.4476771,13.43
28.33,27.47,3.1451464,13.04
51.29,51.83,1.0484934,15.56
37.18,37.87,1.8320117,13.62
33.85,35.55,4.777321,14.76
47.55,47.53,0.038066715,15.98
46.26,43.4,6.582418,15.95
42.99,41.13,4.515468,15.44
27.62,26.05,6.028401,13.62
30.85,30.39,1.5132198,12.34
27.79,27.87,0.29752448,13.26
29.72,30.66,3.0556707,14.11
32.05,29.52,8.559795,13.64
28.17,27.4,2.8247764,12.94
36.02,36.29,0.7480338,13.9
33.07,33.97,2.6457064,13.37
34.04,34.27,0.6575483,13.53
28.38,27.47,3.3126142,12.98
30.53,28.87,5.7382784,12.79
52.11,52.21,0.18729353,16.45
27.73,29.47,5.920392,12.26
27.6,26.05,5.933187,12.68
31.13,33.04,5.770041,12.99
30.66,33.25,7.79879,13.35
27.08,26.08,3.8472347,13.67
37.53,37.58,0.14438598,13.76
25.86,26.44,2.207287,13.12
26.67,26.4,1.0229675,12.91
34.27,34.54,0.78912544,13.54
38.97,37.25,4.6066384,14.07
31.64,28.07,12.705294,13.52
58.15,59.52,2.3000343,16.58
34.33,31.67,8.396965,13.45
32.26,28.07,14.920523,14.01
30.26,30.81,1.7729737,14.18
37.03,36.67,0.98044074,14.05
35.72,35.47,0.7106178,14.3
37.59,37.59,0.0014714847,13.69
25.45,26.66,4.531656,13.37
26.98,27.07,0.33126706,13.9
27.7,27.19,1.8861496,13.51
25.95,26.88,3.4596238,13.45
42.38,41.13,3.037484,15.3
33.12,34.93,5.194333,13.65
49.49,50.38,1.7728271,16.25
36.32,36.86,1.4528035,14.5
33.39,32.22,3.6299884,13.44
34.69,34.7,0.037278496,14.11
26.9,27.8,3.2514875,13.16
33.68,33.8,0.34657317,13.48
27.4,28.33,3.2886517,12.82
46.47,47.21,1.5701267,15.8
32.95,35.66,7.58944,13.97
27.68,27.0,2.53558,13.63
32.87,33.07,0.593291,13.31
29.64,31.35,5.463742,13.38
36.85,37.47,1.6597954,14.09
28.8,27.47,4.8316674,13.08
30.74,29.07,5.7310677,14.11
29.51,28.0,5.3914685,13.17
29.26,30.03,2.5702903,13.1
56.71,59.08,4.0176487,17.17
27.45,28.0,1.9688947,12.82
36.64,37.4,2.0243292,14.01
29.98,28.85,3.9060647,14.15
27.83,26.33,5.7102094,13.04
46.42,45.11,2.897191,15.76
66.05,74.24,11.025822,17.75
29.1,29.34,0.8295797,13.57
31.81,28.48,11.688251,12.97
29.62,28.47,4.025343,12.93
29.89,28.2,5.9865108,13.63
38.56,42.3,8.832386,14.95
30.71,30.87,0.5141747,12.2
35.25,35.32,0.19140449,13.78
49.66,50.38,1.4373866,16.19
26.68,29.35,9.111999,13.4
26.54,27.07,1.9441005,13.17
33.3,34.13,2.443038,13.4
35.77,34.9,2.4940686,13.88
32.51,35.06,7.2747774,13.14
25.94,27.07,4.183745,12.61
56.58,54.97,2.9253738,16.51
26.22,26.21,0.053334445,13.53
