FOC_pred,FOC_act,PERC,stw
27.31,26.53,2.944607,13.14
69.46,68.39,1.5623692,17.77
45.69,43.27,5.594716,15.55
72.82,71.9,1.2748197,17.99
34.54,32.77,5.405369,14.23
61.22,58.99,3.7722628,16.86
61.65,60.85,1.3220292,17.2
64.46,61.98,4.0006747,16.92
32.95,29.39,12.108672,13.13
25.83,24.87,3.8641565,12.99
30.22,29.55,2.26533,12.37
38.49,38.33,0.41825324,14.81
39.68,37.29,6.4134793,14.15
37.13,36.37,2.0887802,14.79
69.4,66.64,4.1382027,17.74
25.98,27.07,4.0196934,12.92
93.32,97.47,4.2615185,20.8
51.68,53.87,4.0581737,15.59
38.22,37.03,3.222724,15.06
45.93,38.99,17.809626,15.05
62.74,59.61,5.2490706,17.33
34.41,35.0,1.6786194,14.75
52.3,54.67,4.335881,15.53
31.01,30.53,1.5727911,14.21
59.4,54.6,8.792947,16.93
61.67,62.11,0.7041559,16.83
27.28,27.53,0.9036038,13.38
74.88,75.77,1.1788961,18.36
96.79,97.65,0.87932974,20.86
29.36,32.71,10.235115,13.44
33.67,32.05,5.0611334,14.15
74.31,70.42,5.5250926,17.79
59.95,61.47,2.4659996,17.14
32.04,32.32,0.8710186,14.06
51.06,48.53,5.2082763,16.22
39.91,38.73,3.0498075,14.86
49.91,47.55,4.9713244,16.2
70.14,70.68,0.7701284,18.0
26.16,26.38,0.8246789,13.01
36.66,37.73,2.846474,15.03
37.3,36.03,3.5208504,14.01
92.7,97.07,4.5067897,20.89
36.57,35.22,3.8407893,14.85
40.7,43.37,6.1476526,14.99
87.85,85.33,2.9557757,19.21
25.92,24.53,5.677282,13.15
49.03,48.0,2.1435418,16.16
29.57,29.4,0.56914246,13.13
66.6,61.51,8.279902,17.52
50.34,46.95,7.224801,16.24
84.42,79.73,5.884078,18.64
31.51,34.62,8.992499,14.29
87.73,82.13,6.8240585,19.49
61.71,60.14,2.608653,17.25
64.73,64.69,0.06774346,17.4
62.8,55.48,13.202855,16.94
73.59,74.01,0.5624784,18.0
31.63,31.21,1.3537898,14.18
30.72,24.41,25.855593,12.62
42.89,37.07,15.692978,15.12
82.55,81.07,1.8248435,18.95
27.88,28.43,1.9409066,13.09
44.83,41.53,7.936141,15.63
33.59,32.33,3.9074626,14.24
51.06,51.89,1.5911381,16.26
60.78,59.13,2.7886772,17.2
45.0,44.14,1.9455388,15.52
26.83,25.09,6.9540224,13.21
25.36,22.3,13.708748,12.46
26.74,25.47,4.9858484,13.37
73.13,71.85,1.7811583,17.96
32.61,32.4,0.6420818,14.18
57.33,59.98,4.4189625,16.24
59.43,60.47,1.722859,17.11
77.56,78.33,0.98147726,18.7
33.48,31.67,5.7144995,14.21
27.04,25.16,7.4889965,12.91
64.23,59.05,8.767234,17.03
36.4,36.22,0.50112396,13.97
51.43,49.67,3.53707,15.55
86.28,82.61,4.447528,18.82
60.43,59.07,2.2968068,17.13
83.19,80.64,3.1565864,18.99
61.1,59.13,3.3343859,17.29
43.86,44.79,2.0795166,15.7
56.15,56.07,0.14139621,16.83
59.23,54.02,9.642216,16.66
24.92,22.76,9.490468,12.27
69.79,70.83,1.4658821,17.98
29.56,32.1,7.922497,14.05
42.09,38.06,10.594806,14.57
36.29,41.99,13.570574,14.13
75.71,77.32,2.0827103,18.44
83.55,80.13,4.2717376,19.03
31.86,32.0,0.43168664,14.34
74.87,69.26,8.1026125,18.2
26.93,25.68,4.865722,13.38
61.73,61.2,0.8594039,16.61
35.32,38.85,9.074935,14.73
65.62,65.51,0.16868287,17.68
35.42,34.2,3.5725195,14.38
78.22,77.35,1.1263196,18.44
42.2,41.57,1.5170878,15.6
84.89,81.05,4.736343,19.24
33.3,29.8,11.735992,13.14
80.34,76.93,4.4371777,18.57
64.05,62.52,2.4459398,17.56
69.27,69.45,0.25886112,17.75
25.47,22.44,13.4964285,12.51
72.56,65.0,11.637726,17.85
69.32,68.3,1.4994049,17.77
50.11,49.73,0.75994784,15.26
40.31,37.69,6.956362,14.28
61.64,59.2,4.11745,17.2
57.47,54.32,5.805601,16.28
85.58,84.41,1.3827633,18.91
62.65,61.12,2.4979527,17.05
50.26,47.15,6.605599,16.21
57.14,52.33,9.188019,16.44
28.14,24.18,16.359434,12.38
37.13,36.33,2.192574,14.43
70.25,68.04,3.2465181,17.88
85.47,84.61,1.0139313,19.02
61.73,58.93,4.7561245,17.28
68.4,67.64,1.1184553,17.67
62.57,59.14,5.798643,16.83
72.65,73.57,1.2523636,18.47
36.08,38.1,5.293248,14.16
81.67,79.06,3.3049002,18.5
95.38,98.15,2.8265526,20.5
71.04,70.42,0.88403255,17.78
48.73,47.58,2.422076,15.08
80.31,79.93,0.48129234,18.72
84.91,80.41,5.5994782,19.23
96.14,97.65,1.5456849,20.65
26.47,25.27,4.749819,13.22
88.23,81.63,8.090962,19.66
40.52,37.8,7.2059126,14.89
61.55,58.93,4.449822,17.2
64.5,63.33,1.8478,17.53
74.3,72.21,2.9011457,18.49
59.33,59.15,0.3066591,16.37
28.61,29.41,2.7234163,13.6
93.06,90.15,3.2274835,19.99
75.16,72.71,3.3685281,18.47
51.43,53.97,4.7107377,15.55
95.59,98.39,2.842285,20.52
79.87,80.37,0.6272298,18.78
78.91,78.81,0.12941219,18.53
75.81,72.88,4.0266204,18.23
74.91,70.96,5.573221,17.96
93.45,97.54,4.190301,20.86
26.95,25.03,7.665179,13.2
70.62,70.69,0.099358045,17.97
62.45,59.74,4.538525,17.3
34.79,37.46,7.127975,14.4
79.85,80.74,1.1053646,18.76
32.34,35.33,8.469535,14.04
66.47,62.07,7.0896826,17.47
89.82,82.47,8.913579,19.83
25.81,24.62,4.849864,12.86
63.76,62.06,2.7365873,17.33
48.51,45.2,7.320759,15.13
35.37,36.27,2.476419,14.6
25.01,22.37,11.8180065,12.47
47.02,41.93,12.137187,15.07
62.52,64.7,3.3639557,16.9
89.13,81.34,9.571326,19.76
64.62,59.07,9.400752,17.62
82.26,79.34,3.675303,19.14
26.75,25.27,5.8763094,13.36
40.03,37.87,5.7061,15.04
25.54,27.9,8.4625845,12.54
37.07,37.17,0.2823102,14.93
25.01,22.67,10.335727,12.49
