stw,draft,foc,ws,wd,swh,lat,lon,dt,vslHeading,wsWS
12.26,15.01,37.0,33.751,73.90000000000003,0.69,21.896417,38.5651,2020-01-22 20:30,321.4,10.72
12.3,15.06,39.0,34.501,71.39999999999998,0.69,21.8999,38.56225,2020-01-22 20:31,322.0,10.72
12.34,15.1,38.0,36.501,64.38999999999999,0.69,21.903433,38.55945,2020-01-22 20:32,322.11,10.72
12.35,15.1,38.0,36.501,65.31,0.69,21.906983,38.556567,2020-01-22 20:33,321.19,10.72
12.35,15.02,37.0,38.001,71.11000000000001,0.69,21.906983,38.556567,2020-01-22 20:34,321.19,10.72
12.26,15.06,38.0,29.5005,74.38,0.69,21.91045,38.55365,2020-01-22 20:35,321.12,10.72
12.24,15.06,38.0,40.001,64.25999999999999,0.69,21.9139,38.550767,2020-01-22 20:36,321.24,10.72
12.23,15.03,37.0,29.5005,73.20000000000005,0.69,21.917367,38.547717,2020-01-22 20:37,320.4,10.72
12.24,15.02,39.0,29.5005,72.05000000000003,0.69,21.920733,38.544667,2020-01-22 20:38,321.55,10.72
12.24,15.03,39.0,35.751,70.64999999999998,0.69,21.920733,38.544667,2020-01-22 20:39,321.55,10.72
12.35,15.12,39.0,32.751,68.63,0.69,21.924133,38.5416,2020-01-22 20:40,321.67,10.72
12.21,15.12,39.0,38.751,61.38999999999999,0.69,21.927617,38.53845,2020-01-22 20:41,323.61,10.72
12.23,15.08,39.0,35.751,66.17000000000002,0.69,21.931133,38.53545,2020-01-22 20:42,324.13,10.72
12.23,15.1,39.0,35.751,66.17000000000002,0.69,21.934667,38.53245,2020-01-22 20:43,324.13,10.72
12.32,15.06,38.0,37.501,67.26999999999998,0.69,21.934667,38.53245,2020-01-22 20:44,324.13,10.72
12.33,15.0,38.0,33.001,62.640000000000036,0.69,21.938217,38.52945,2020-01-22 20:45,324.46,10.72
12.33,15.0,39.0,36.501,58.80000000000001,0.69,21.94185,38.526467,2020-01-22 20:46,324.5,10.72
12.31,15.05,37.0,37.751,58.52000000000004,0.69,21.94545,38.5235,2020-01-22 20:47,324.58,10.72
12.31,15.1,38.0,37.751,58.31,0.69,21.949067000000007,38.52055,2020-01-22 20:48,324.79,10.72
12.28,15.08,38.0,39.251,54.40999999999997,0.69,21.949067000000007,38.52055,2020-01-22 20:49,324.79,10.72
12.37,15.12,38.0,36.501,66.38,0.69,21.952717,38.517567,2020-01-22 20:50,324.92,10.72
12.34,15.06,37.0,33.001,52.92999999999995,0.69,21.95635,38.51465,2020-01-22 20:51,324.97,10.72
12.34,14.99,38.0,33.001,53.02999999999997,0.69,21.96,38.511733,2020-01-22 20:52,324.87,10.72
12.34,15.04,37.0,35.751,55.13,0.69,21.96,38.511733,2020-01-22 20:53,324.87,10.72
12.38,15.04,37.0,35.001,57.09999999999997,0.69,21.9637,38.5088,2020-01-22 20:54,324.8,10.72
12.42,15.1,37.0,35.251,58.56,0.69,21.967367000000007,38.505867,2020-01-22 20:55,324.64,10.72
12.38,15.1,38.0,32.751,62.73000000000002,0.69,21.971,38.502933,2020-01-22 20:56,324.77,10.72
12.38,15.1,37.0,32.751,62.55000000000001,1.29,21.9747,38.499967,2020-01-22 20:57,324.95,10.49
12.38,15.05,38.0,36.751,62.75,1.29,21.9747,38.499967,2020-01-22 20:58,324.95,10.49
12.35,15.06,37.0,41.75100000000001,57.77000000000004,1.29,21.978317,38.497067,2020-01-22 20:59,324.83,10.49
12.33,15.03,38.0,34.001,61.68000000000001,1.29,21.981967,38.4942,2020-01-22 21:00,325.02,10.49
12.37,15.1,37.0,34.751,55.420000000000016,1.29,21.985667000000007,38.4913,2020-01-22 21:01,325.08,10.49
12.37,15.06,38.0,34.751,55.55000000000001,1.29,21.989333,38.48845,2020-01-22 21:02,324.95,10.49
12.4,15.04,37.0,35.251,52.94999999999999,1.29,21.989333,38.48845,2020-01-22 21:03,324.95,10.49
12.35,15.02,37.0,37.251,59.54000000000002,1.29,21.993017,38.485583,2020-01-22 21:04,324.56,10.49
12.36,15.05,37.0,38.251,68.35000000000002,1.29,21.996717,38.482667,2020-01-22 21:05,324.65,10.49
12.33,15.11,38.0,38.251,56.43000000000001,1.29,22.000367,38.47978300000001,2020-01-22 21:06,325.07,10.49
12.33,15.11,37.0,38.251,56.49000000000001,1.29,22.00405,38.476967,2020-01-22 21:07,325.01,10.49
12.36,15.04,37.0,36.751,55.88999999999999,1.29,22.00405,38.476967,2020-01-22 21:08,325.01,10.49
12.27,15.06,38.0,34.751,58.38999999999999,1.29,22.007717,38.474133,2020-01-22 21:09,324.41,10.49
12.34,15.01,37.0,36.751,56.26999999999998,1.29,22.0114,38.47125,2020-01-22 21:10,324.63,10.49
12.34,14.99,38.0,36.001,62.47000000000003,1.29,22.015067,38.4684,2020-01-22 21:11,324.83,10.49
12.34,15.04,37.0,36.001,62.38999999999999,1.29,22.01875,38.465583,2020-01-22 21:12,324.91,10.49
12.37,15.06,38.0,35.751,56.69,1.29,22.01875,38.465583,2020-01-22 21:13,324.91,10.49
12.33,15.14,37.0,38.251,64.43,1.29,22.022483,38.462733,2020-01-22 21:14,324.77,10.49
12.36,15.06,38.0,37.501,68.69999999999999,1.29,22.026133,38.45988300000001,2020-01-22 21:15,325.2,10.49
12.34,15.0,38.0,35.751,68.03999999999996,1.29,22.029833,38.457083,2020-01-22 21:16,325.36,10.49
12.34,15.0,37.0,35.751,68.09999999999997,1.29,22.03355,38.454233,2020-01-22 21:17,325.3,10.49
12.36,15.07,38.0,35.501,54.19999999999999,1.29,22.03355,38.454233,2020-01-22 21:18,325.3,10.49
12.37,15.08,37.0,34.001,68.80000000000001,1.29,22.03725,38.451467,2020-01-22 21:19,324.9,10.49
12.39,15.1,37.0,41.00100000000001,65.49000000000001,1.29,22.040917,38.448633,2020-01-22 21:20,324.71,10.49
12.36,15.07,38.0,39.251,57.920000000000016,1.29,22.044583,38.445833,2020-01-22 21:21,325.08,10.49
12.36,15.06,37.0,39.251,57.99000000000001,1.29,22.0483,38.443017,2020-01-22 21:22,325.01,10.49
12.31,15.11,38.0,38.001,61.49000000000001,1.29,22.0483,38.443017,2020-01-22 21:23,325.01,10.49
12.28,15.02,37.0,38.001,58.83999999999998,1.29,22.051967,38.440233,2020-01-22 21:24,324.86,10.49
12.34,15.1,38.0,36.751,57.0,1.29,22.055633,38.43745,2020-01-22 21:25,325.2,10.49
12.34,15.03,38.0,35.251,56.5,1.29,22.059383,38.434683,2020-01-22 21:26,324.8,10.49
12.34,15.03,37.0,35.251,56.68000000000001,1.29,22.06305,38.4319,2020-01-22 21:27,324.62,10.49
12.35,15.08,37.0,40.501,54.48000000000002,1.29,22.06305,38.4319,2020-01-22 21:28,324.62,10.49
12.35,15.06,38.0,34.001,49.19,1.29,22.0667,38.4291,2020-01-22 21:29,324.81,10.49
