stw,draft,foc,ws,wd,swh,lat,lon,dt,vslHeading,wsWS
18.86,15.43,118.0,29.2505,298.13,1.06,36.01528300000001,-4.862273,2020-04-14 15:30,79.27,5.49
18.86,15.45,121.0,26.1255,294.73,1.06,36.01528300000001,-4.862273,2020-04-14 15:31,79.27,5.49
18.95,15.42,117.0,29.8755,296.44,1.06,36.016683,-4.854127,2020-04-14 15:32,79.26,5.49
19.07,15.41,117.0,28.3755,294.55,1.06,36.018133,-4.84587,2020-04-14 15:33,79.15,5.49
19.07,15.38,118.0,27.3755,294.32,1.06,36.01956699999999,-4.83766,2020-04-14 15:34,79.68,5.49
19.1,15.38,117.0,27.3755,294.24,1.06,36.020917,-4.829378,2020-04-14 15:35,79.76,5.49
19.1,15.46,116.0,27.3755,293.14,1.06,36.020917,-4.829378,2020-04-14 15:36,79.76,5.49
19.19,15.43,116.0,27.3755,293.32,1.06,36.0223,-4.820957,2020-04-14 15:37,78.98,5.49
19.23,15.42,117.0,24.6255,292.7,1.06,36.023733,-4.8126419999999985,2020-04-14 15:38,79.1,5.49
19.21,15.46,116.0,26.1255,293.25,1.06,36.02513300000001,-4.804335,2020-04-14 15:39,79.45,5.49
19.31,15.43,116.0,26.1255,293.17,1.06,36.026533,-4.795873,2020-04-14 15:40,79.53,5.49
19.31,15.42,115.0,26.6255,292.87,1.06,36.026533,-4.795873,2020-04-14 15:41,79.53,5.49
19.25,15.44,116.0,26.0005,293.57,1.06,36.02793300000001,-4.78751,2020-04-14 15:42,78.83,5.49
19.21,15.41,117.0,25.2505,292.49,1.06,36.029367,-4.779143,2020-04-14 15:43,79.21,5.49
19.32,15.42,116.0,26.0005,293.5,1.06,36.03075,-4.770732,2020-04-14 15:44,79.3,5.49
19.32,15.42,116.0,26.0005,293.91,1.06,36.032183,-4.762213,2020-04-14 15:45,78.89,5.49
19.32,15.44,115.0,26.0005,293.51,1.06,36.032183,-4.762213,2020-04-14 15:46,78.89,5.49
19.36,15.38,117.0,26.3755,293.43,1.06,36.033633,-4.753832,2020-04-14 15:47,79.37,5.49
19.34,15.41,115.0,27.0005,292.44,1.06,36.035033,-4.745407,2020-04-14 15:48,79.46,5.49
19.27,15.4,115.0,25.6255,293.28,1.06,36.036417,-4.736877,2020-04-14 15:49,79.32,5.49
19.21,15.4,114.0,25.6255,293.62,1.06,36.037833,-4.72849,2020-04-14 15:50,78.98,5.49
19.21,15.42,116.0,26.0005,294.32,1.06,36.037833,-4.72849,2020-04-14 15:51,78.98,5.49
19.27,15.4,115.0,25.6255,295.08,1.06,36.039217,-4.720122,2020-04-14 15:52,78.92,5.49
19.29,15.42,116.0,24.8755,294.8,1.06,36.04065,-4.711647,2020-04-14 15:53,79.1,5.49
19.23,15.42,116.0,26.0005,293.67,1.06,36.042033,-4.703233,2020-04-14 15:54,79.33,5.49
19.32,15.42,116.0,26.0005,293.89,1.06,36.0434,-4.694832,2020-04-14 15:55,79.11,5.49
19.32,15.42,116.0,23.8755,293.5900000000001,1.06,36.0434,-4.694832,2020-04-14 15:56,79.11,5.49
19.32,15.4,116.0,26.1255,295.78,1.06,36.044833,-4.686283,2020-04-14 15:57,78.72,5.49
19.36,15.44,116.0,24.2505,293.86,1.06,36.04625,-4.67786,2020-04-14 15:58,79.14,5.49
19.35,15.44,116.0,27.0005,298.1,1.06,36.047617,-4.66939,2020-04-14 15:59,79.4,5.49
19.32,15.42,115.0,27.0005,298.62,1.06,36.048967,-4.660805,2020-04-14 16:00,78.88,5.49
19.32,15.44,116.0,27.3755,297.12,1.06,36.048967,-4.660805,2020-04-14 16:01,78.88,5.49
19.35,15.41,116.0,26.7505,299.96,1.06,36.050383,-4.652327,2020-04-14 16:02,79.04,5.49
19.21,15.45,115.0,27.8755,298.63,1.06,36.051767,-4.64387,2020-04-14 16:03,79.17,5.49
19.26,15.45,116.0,29.1255,299.6,1.06,36.053133,-4.635293,2020-04-14 16:04,79.0,5.49
19.22,15.4,115.0,29.1255,299.62,1.06,36.054533,-4.62682,2020-04-14 16:05,78.98,5.49
19.22,15.39,116.0,25.0005,299.12,1.06,36.054533,-4.62682,2020-04-14 16:06,78.98,5.49
19.32,15.4,116.0,21.8755,293.19,1.06,36.055867,-4.618272,2020-04-14 16:07,79.21,5.49
19.28,15.4,115.0,30.6255,299.21,1.06,36.057233,-4.609677,2020-04-14 16:08,78.69,5.49
19.3,15.4,115.0,27.7505,299.95,1.06,36.058633,-4.601188,2020-04-14 16:09,78.65,5.49
19.17,15.44,117.0,27.7505,299.2,1.06,36.06,-4.592703,2020-04-14 16:10,79.4,5.49
19.17,15.4,117.0,25.0005,296.8,1.06,36.06,-4.592703,2020-04-14 16:11,79.4,5.49
19.18,15.42,118.0,24.2505,291.62,1.06,36.0612,-4.584158,2020-04-14 16:12,81.68,5.49
19.2,15.36,115.0,25.2505,292.57,1.06,36.062267,-4.575467,2020-04-14 16:13,80.63,5.49
19.13,15.36,118.0,26.6255,290.64,1.06,36.063367,-4.566925,2020-04-14 16:14,82.66,5.49
19.13,15.41,120.0,26.6255,288.62,1.06,36.064233,-4.558263,2020-04-14 16:15,84.68,5.49
19.3,15.44,116.0,25.6255,289.62,1.06,36.064233,-4.558263,2020-04-14 16:16,84.68,5.49
19.13,15.44,115.0,23.8755,289.88,1.06,36.064967,-4.54951,2020-04-14 16:17,83.72,5.49
19.14,15.44,117.0,29.6255,293.97,1.06,36.065767,-4.5408800000000005,2020-04-14 16:18,83.73,5.49
19.03,15.4,117.0,29.6255,293.62,1.06,36.06655,-4.532202,2020-04-14 16:19,84.08,5.49
19.03,15.41,117.0,29.8755,291.32,1.06,36.06655,-4.532202,2020-04-14 16:20,84.08,5.49
19.13,15.4,116.0,29.6255,290.75,1.06,36.0673,-4.523467,2020-04-14 16:21,83.85,5.49
19.05,15.4,117.0,27.3755,290.41,1.06,36.068067,-4.514803,2020-04-14 16:22,83.69,5.49
19.12,15.42,118.0,29.6255,290.26,1.06,36.06883300000001,-4.506137,2020-04-14 16:23,84.24,5.49
19.08,15.42,117.0,29.6255,290.75,0.64,36.06955,-4.497432,2020-04-14 16:24,83.75,9.22
19.08,15.43,116.0,30.5005,294.65,0.64,36.06955,-4.497432,2020-04-14 16:25,83.75,9.22
19.05,15.42,118.0,29.2505,294.4600000000001,0.64,36.070317,-4.488608,2020-04-14 16:26,83.94,9.22
19.18,15.41,117.0,30.6255,291.48,0.64,36.071033,-4.479968,2020-04-14 16:27,84.32,9.22
19.07,15.4,115.0,33.001,295.47,0.64,36.071717,-4.471242,2020-04-14 16:28,82.73,9.22
18.98,15.43,118.0,33.001,296.22,0.64,36.072567,-4.462467,2020-04-14 16:29,81.98,9.22
18.98,15.42,115.0,31.6255,298.82,0.64,36.072567,-4.462467,2020-04-14 16:30,81.98,9.22
