stw,draft,foc,ws,wd,swh,lat,lon,dt,vslHeading,wsWS
17.89,10.35,81.0,27.4501,189.83,0.41,39.1591,25.765283,2020-06-16 15:12,163.17,2.93
17.94,10.35,82.0,27.5,-159.21000000000004,0.41,39.154367,25.767133,2020-06-16 15:13,161.21,2.93
17.94,10.35,81.0,24.64,193.35,0.41,39.149767,25.7692,2020-06-16 15:14,160.65,2.93
17.94,10.35,81.0,28.8001,187.45,0.41,39.14495,25.771283,2020-06-16 15:15,160.55,2.93
17.94,10.35,81.0,28.2401,191.25,0.41,39.1403,25.77345,2020-06-16 15:16,157.75,2.93
17.94,10.35,81.0,28.6801,188.56,0.41,39.1357,25.775867,2020-06-16 15:17,156.44,2.93
17.94,10.35,82.0,28.74,189.28,0.41,39.1311,25.778467000000006,2020-06-16 15:18,155.72,2.93
18.04,10.35,82.0,30.74,188.95,0.41,39.126567,25.78105,2020-06-16 15:19,156.05,2.93
18.04,10.35,82.0,30.9502,187.85,0.41,39.122,25.783667,2020-06-16 15:20,156.15,2.93
18.04,10.35,83.0,30.11,188.88,0.41,39.117433,25.78625,2020-06-16 15:21,156.12,2.93
18.14,10.35,82.0,31.0202,188.7,0.41,39.1129,25.788883,2020-06-16 15:22,156.3,2.93
18.14,10.35,81.0,31.2002,188.66,0.41,39.108233,25.7915,2020-06-16 15:23,156.34,2.93
18.04,10.35,79.0,29.5401,187.83,0.41,39.103633,25.7941,2020-06-16 15:24,156.17,2.93
17.94,10.35,78.0,27.5502,187.88,0.41,39.099133,25.796667000000006,2020-06-16 15:25,156.12,2.93
17.94,10.35,79.0,29.2602,188.04,0.41,39.094567,25.7993,2020-06-16 15:26,155.96,2.93
17.84,10.35,78.0,30.4201,185.22,0.41,39.090083,25.8019,2020-06-16 15:27,155.78,2.93
17.74,10.35,78.0,30.3501,186.0,0.41,39.085617,25.8046,2020-06-16 15:28,153.0,2.93
17.64,10.35,79.0,31.55,186.13,0.41,39.08125,25.807483,2020-06-16 15:29,152.87,2.93
17.73,10.35,79.0,31.5001,187.94,0.41,39.076917,25.810383,2020-06-16 15:30,151.06,2.93
17.53,10.35,77.0,30.3701,190.18,0.41,39.072617,25.8136,2020-06-16 15:31,144.82,2.93
17.11,10.35,71.0,29.6902,193.11,0.41,39.06883300000001,25.81735,2020-06-16 15:32,131.89,2.93
16.58,10.35,84.0,25.9801,201.77,0.41,39.06595,25.821967,2020-06-16 15:33,120.23,2.93
16.88,10.35,114.0,25.6901,210.22,0.41,39.063617,25.82725,2020-06-16 15:34,118.78,2.93
17.28,10.35,85.0,27.5201,209.12,0.41,39.06133300000001,25.8326,2020-06-16 15:35,119.88,2.93
17.58,10.35,82.0,27.9201,209.06,0.41,39.05898300000001,25.837983,2020-06-16 15:36,119.94,2.93
17.78,10.35,82.0,28.0002,211.31,0.41,39.056617,25.843467,2020-06-16 15:37,119.69,2.93
17.75,10.35,81.0,27.9401,209.37,0.41,39.054167,25.848967,2020-06-16 15:38,119.63,2.93
17.75,10.35,80.0,30.2201,209.07,0.41,39.051767,25.8546,2020-06-16 15:39,119.93,2.93
17.65,10.35,79.0,28.29,211.35,0.41,39.049367,25.860117,2020-06-16 15:40,119.65,2.93
17.85,10.35,80.0,30.5301,209.04,0.41,39.046933,25.865633,2020-06-16 15:41,119.96,2.93
17.75,10.35,80.0,29.4001,208.52,0.41,39.044467,25.871233,2020-06-16 15:42,119.48,2.93
17.85,10.35,80.0,29.8702,207.17,0.41,39.04205,25.876767,2020-06-16 15:43,119.83,2.93
17.95,10.35,83.0,28.8701,207.25,0.41,39.039583,25.882283,2020-06-16 15:44,119.75,2.93
17.95,10.35,83.0,28.2601,205.35,0.41,39.03715,25.887883,2020-06-16 15:45,119.65,2.93
18.05,10.35,83.0,28.8102,208.2,0.41,39.03465,25.89355,2020-06-16 15:46,119.8,2.93
18.05,10.35,84.0,28.0601,206.18,0.41,39.032167,25.899167,2020-06-16 15:47,119.82,2.93
18.15,10.35,82.0,29.3,207.33,0.41,39.029683,25.904767,2020-06-16 15:48,119.67,2.93
18.15,10.35,83.0,29.0501,207.44,0.41,39.0272,25.910383,2020-06-16 15:49,119.56,2.93
18.15,10.35,83.0,28.5402,206.33,0.41,39.024667,25.916083,2020-06-16 15:50,119.67,2.93
18.15,10.35,83.0,28.1802,207.28,0.41,39.022183,25.9217,2020-06-16 15:51,119.72,2.93
18.15,10.35,82.0,28.4101,206.31,0.41,39.019667,25.9273,2020-06-16 15:52,119.69,2.93
18.15,10.35,83.0,27.7001,207.74,0.41,39.017167,25.932917,2020-06-16 15:53,119.26,2.93
18.15,10.35,82.0,27.2201,210.73,0.41,39.0147,25.93855,2020-06-16 15:54,119.27,2.93
18.15,10.35,83.0,26.0902,210.77,0.41,39.012167,25.944283,2020-06-16 15:55,119.23,2.93
18.16,10.35,82.0,25.4201,208.66,0.41,39.0097,25.949917000000006,2020-06-16 15:56,119.34,2.93
18.16,10.35,82.0,26.1201,209.58,0.41,39.0072,25.955533,2020-06-16 15:57,119.42,2.93
18.16,10.35,82.0,25.5502,206.82,0.41,39.004667,25.96125,2020-06-16 15:58,119.18,2.93
18.16,10.35,82.0,24.5802,206.78,0.41,39.002167,25.9669,2020-06-16 15:59,119.22,2.93
18.16,10.35,82.0,24.7501,206.76,0.41,38.999667,25.97255,2020-06-16 16:00,119.24,2.93
18.16,10.35,143.0,25.52,204.08,0.41,38.997183,25.9782,2020-06-16 16:01,118.92,2.93
18.16,10.35,82.0,23.6401,208.09,0.41,38.99475,25.98385,2020-06-16 16:02,118.91,2.93
18.16,10.35,82.0,24.5901,210.33,0.41,38.992233,25.989617000000006,2020-06-16 16:03,118.67,2.93
18.26,10.35,81.0,24.4702,213.3,0.41,38.9898,25.995333,2020-06-16 16:04,117.7,2.93
18.26,10.35,82.0,23.6201,218.37,0.41,38.987417,26.00105,2020-06-16 16:05,118.63,2.93
18.26,10.35,82.0,24.13,218.95,0.41,38.98495,26.006733,2020-06-16 16:06,119.05,2.93
18.26,10.35,82.0,23.99,221.95,0.41,38.9824,26.0125,2020-06-16 16:07,119.05,2.93
18.26,10.35,82.0,24.9901,224.17,0.41,38.9799,26.018133,2020-06-16 16:08,118.83,2.93
18.26,10.35,81.0,24.37,224.15,0.41,38.97743300000001,26.023783,2020-06-16 16:09,118.85,2.93
18.26,10.35,81.0,24.31,225.04,0.41,38.974917,26.02945,2020-06-16 16:10,118.96,2.93
18.26,10.35,81.0,23.72,222.99,0.41,38.972367,26.035217000000006,2020-06-16 16:11,119.01,2.93
18.26,10.35,81.0,22.2402,215.94,0.41,38.969833,26.040883,2020-06-16 16:12,119.06,2.93
18.26,10.35,81.0,20.9401,218.84,0.41,38.9673,26.046517,2020-06-16 16:13,119.16,2.93
18.16,10.35,81.0,20.82,215.97,0.41,38.964783,26.0521,2020-06-16 16:14,119.03,2.93
18.16,10.35,81.0,20.2701,216.93,0.41,38.9622,26.057833,2020-06-16 16:15,119.07,2.93
18.26,10.35,81.0,20.4201,214.78,0.41,38.959667,26.063417,2020-06-16 16:16,119.22,2.93
18.16,10.35,81.0,20.5201,225.92,0.41,38.957117,26.069033,2020-06-16 16:17,119.08,2.93
18.2,10.35,81.0,19.6601,225.06,0.41,38.954567,26.07465,2020-06-16 16:18,118.94,2.93
18.2,10.35,81.0,20.4901,233.97,0.41,38.952,26.080367000000006,2020-06-16 16:19,119.03,2.93
18.1,10.35,80.0,22.26,234.84,0.41,38.94945,26.08595,2020-06-16 16:20,118.16,2.93
18.0,10.35,80.0,22.6501,235.31,0.41,38.947,26.0916,2020-06-16 16:21,116.69,2.93
18.0,10.35,80.0,21.8201,232.12,0.41,38.944667,26.097283,2020-06-16 16:22,116.88,2.93
18.0,10.35,81.0,21.07,231.92,0.41,38.942283,26.103067000000006,2020-06-16 16:23,117.08,2.93
18.1,10.35,81.0,21.76,228.88,0.41,38.939917,26.10875,2020-06-16 16:24,117.12,2.93
18.0,10.35,81.0,20.8902,231.08,0.41,38.937567,26.11445,2020-06-16 16:25,116.92,2.93
17.9,10.35,81.0,21.7002,232.78,0.41,38.935233,26.12015,2020-06-16 16:26,117.22,2.93
18.0,10.35,81.0,20.0901,227.71,0.41,38.932817,26.1259,2020-06-16 16:27,117.29,2.93
18.0,10.35,81.0,21.54,236.04,0.41,38.93045,26.1316,2020-06-16 16:28,115.96,2.93
17.9,10.35,80.0,18.16,237.33,0.41,38.928233,26.137333,2020-06-16 16:29,114.67,2.93
