stw,draft,foc,ws,wd,swh,lat,lon,dt,vslHeading,wsWS
14.43,9.72,34.0,16.7601,155.14,1.61,53.73371700000001,8.238615,2020-06-30 15:00,121.86,4.44
14.53,9.72,62.0,16.93,127.01,1.61,53.731467,8.24472,2020-06-30 15:01,121.99,4.44
13.8,9.72,35.0,18.0401,143.93,1.61,53.7292,8.250862,2020-06-30 15:02,122.07,4.44
14.0,9.72,36.0,12.69,144.4,1.61,53.72691700000001,8.257037,2020-06-30 15:03,121.6,4.44
14.09,9.72,35.0,17.6101,138.11,1.61,53.7246,8.263238000000001,2020-06-30 15:04,121.89,4.44
14.09,9.72,36.0,24.89,136.1,1.61,53.72225,8.269633,2020-06-30 15:05,121.9,4.44
14.28,9.72,36.0,21.07,121.20999999999998,1.61,53.719917,8.275892,2020-06-30 15:06,121.79,4.44
14.28,9.72,36.0,18.84,136.28,1.61,53.717567,8.28222,2020-06-30 15:07,121.72,4.44
14.27,9.72,36.0,23.16,126.31,1.61,53.715183,8.288662,2020-06-30 15:08,121.69,4.44
14.27,9.72,36.0,21.81,131.97,1.61,53.712817,8.294977000000001,2020-06-30 15:09,122.03,4.44
14.26,9.72,35.0,27.1801,145.2,1.61,53.710433,8.3013,2020-06-30 15:10,121.8,4.44
14.16,9.72,33.0,23.0302,139.18,1.61,53.70806700000001,8.307533,2020-06-30 15:11,121.82,4.44
14.05,9.72,33.0,24.3401,126.25,1.61,53.70571700000001,8.313697,2020-06-30 15:12,121.75,4.44
14.05,9.72,34.0,23.0401,121.16,1.61,53.7033,8.319942,2020-06-30 15:13,121.84,4.44
14.14,9.72,35.0,24.6101,143.74,1.61,53.700883,8.326105,2020-06-30 15:14,124.26,4.44
14.04,9.72,35.0,28.1701,136.4,1.61,53.698317,8.332048,2020-06-30 15:15,131.6,4.44
13.77,9.72,34.0,24.69,121.68,1.61,53.695317,8.337457,2020-06-30 15:16,139.32,4.44
13.77,9.72,36.0,29.5102,130.88,1.61,53.692133,8.342263,2020-06-30 15:17,140.12,4.44
13.88,9.72,37.0,25.5801,147.06,1.61,53.6889,8.347083,2020-06-30 15:18,139.94,4.44
13.88,9.72,36.0,26.6801,128.14,1.61,53.685683,8.351963,2020-06-30 15:19,139.86,4.44
13.87,9.72,35.0,29.1502,136.09,1.61,53.6824,8.35678,2020-06-30 15:20,140.91,4.44
13.87,9.72,36.0,27.5401,137.92,1.61,53.679083,8.361603,2020-06-30 15:21,141.08,4.44
13.86,9.72,35.0,27.5502,143.07,1.61,53.6758,8.366378,2020-06-30 15:22,140.93,4.44
13.66,9.72,35.0,28.4401,142.98,1.61,53.67255,8.37111,2020-06-30 15:23,142.02,4.44
13.66,9.72,35.0,27.4701,127.96,1.61,53.6692,8.375775,2020-06-30 15:24,142.04,4.44
13.65,9.72,72.0,26.8601,125.86,1.61,53.6659,8.380375,2020-06-30 15:25,142.14,4.44
13.85,9.72,43.0,27.4602,118.02,1.61,53.66255,8.384952,2020-06-30 15:26,141.98,4.44
13.84,9.72,35.0,25.61,131.05,1.61,53.659167,8.389522999999999,2020-06-30 15:27,141.95,4.44
13.83,9.72,35.0,25.34,132.27,1.61,53.655817000000006,8.394117999999999,2020-06-30 15:28,140.73,4.44
15.11,9.72,34.0,27.68,136.9,1.61,53.652533,8.398992999999999,2020-06-30 15:29,139.1,4.44
15.04,9.72,34.0,24.0001,135.34,1.61,53.649517,8.404113,2020-06-30 15:30,128.66,4.44
