stw,draft,foc,ws,wd,swh,lat,lon,dt,vslHeading,wsWS
17.41,12.05,67.0,9.0,227.32,0.37,37.8265,24.495467,2020-04-16 22:30,49.68,3.5
17.41,12.05,69.0,9.0,226.33,0.68,37.8296,24.500067,2020-04-16 22:31,50.67,1.08
17.41,12.05,69.0,9.0,226.04,0.68,37.8327,24.50475,2020-04-16 22:32,50.96,1.08
17.31,12.05,68.0,9.0,227.12,0.68,37.8358,24.509483,2020-04-16 22:33,49.88,1.08
17.21,12.05,69.0,9.0,227.99,0.68,37.838933,24.514067,2020-04-16 22:34,49.01,1.08
17.21,12.05,68.0,9.0,227.23,0.68,37.84205,24.5186,2020-04-16 22:35,49.77,1.08
17.11,12.05,87.0,9.0,226.99,0.68,37.8451,24.523167,2020-04-16 22:36,50.01,1.08
17.11,12.05,90.0,9.0,227.52,0.68,37.8482,24.5278,2020-04-16 22:37,49.48,1.08
16.91,12.05,69.0,9.0,226.85,0.68,37.8512,24.532367,2020-04-16 22:38,50.15,1.08
16.91,12.05,70.0,9.0,226.75,0.68,37.854183,24.536967,2020-04-16 22:39,50.25,1.08
16.95,12.05,69.0,9.0,227.42,0.68,37.857117,24.54155,2020-04-16 22:40,49.58,1.08
17.01,12.05,70.0,9.0,227.57,0.68,37.86015,24.546167,2020-04-16 22:41,49.43,1.08
17.0,12.05,70.0,9.0,226.92,0.68,37.8631,24.550733,2020-04-16 22:42,50.08,1.08
16.81,12.05,67.0,9.0,232.39,0.68,37.8661,24.555217000000006,2020-04-16 22:43,44.61,1.08
16.91,12.05,70.0,9.0,231.86,0.68,37.869417,24.559483,2020-04-16 22:44,45.14,1.08
17.01,12.05,72.0,9.0,229.98,0.68,37.8726,24.563783,2020-04-16 22:45,47.02,1.08
16.91,12.05,67.0,9.0,236.82,0.68,37.875767,24.56815,2020-04-16 22:46,40.18,1.08
16.52,12.05,64.0,9.0,244.56,0.68,37.879267,24.57185,2020-04-16 22:47,32.44,1.08
16.52,12.05,71.0,9.0,247.12,0.68,37.88303300000001,24.575,2020-04-16 22:48,29.88,1.08
16.61,12.05,73.0,9.0,246.63,0.68,37.886983,24.578017000000006,2020-04-16 22:49,30.37,1.08
16.72,12.05,74.0,9.0,245.75,0.68,37.890867,24.581117000000006,2020-04-16 22:50,31.25,1.08
16.82,12.05,72.0,9.0,246.79,0.68,37.89475,24.584283,2020-04-16 22:51,30.21,1.08
16.82,12.05,72.0,9.0,246.98,0.68,37.8987,24.587367,2020-04-16 22:52,30.02,1.08
16.82,12.05,71.0,9.0,246.62,0.68,37.90265,24.5905,2020-04-16 22:53,30.38,1.08
16.82,12.05,72.0,9.0,245.82,0.68,37.906517,24.593667,2020-04-16 22:54,31.18,1.08
16.82,12.05,72.0,9.0,245.47,0.68,37.9104,24.59685,2020-04-16 22:55,31.53,1.08
16.92,12.05,72.0,9.0,244.88,0.68,37.9143,24.600067000000006,2020-04-16 22:56,32.12,1.08
16.82,12.05,72.0,9.0,244.1,0.68,37.9182,24.603367,2020-04-16 22:57,32.9,1.08
16.82,12.05,72.0,9.0,244.38,0.68,37.922,24.606717,2020-04-16 22:58,32.62,1.08
16.82,12.05,71.0,9.0,245.49,0.68,37.925833,24.610017000000006,2020-04-16 22:59,31.51,1.08
16.82,12.05,71.0,9.0,245.85,0.68,37.929717,24.6132,2020-04-16 23:00,31.15,1.08
16.82,12.05,124.0,9.0,244.9,0.68,37.933667,24.616383,2020-04-16 23:01,32.1,1.08
16.82,12.05,71.0,9.0,243.76,0.68,37.937483,24.619667,2020-04-16 23:02,33.24,1.08
16.92,12.05,71.0,9.0,244.28,0.68,37.941267,24.623,2020-04-16 23:03,32.72,1.08
16.92,12.05,71.0,9.0,245.93,0.68,37.9451,24.626267,2020-04-16 23:04,31.07,1.08
16.92,12.05,70.0,9.0,245.73,0.68,37.9491,24.629467,2020-04-16 23:05,31.27,1.08
16.92,12.05,72.0,9.0,243.93,0.68,37.953,24.6327,2020-04-16 23:06,33.07,1.08
16.81,12.05,72.0,9.0,244.07,0.68,37.9569,24.636,2020-04-16 23:07,32.93,1.08
16.96,12.05,72.0,9.0,243.83,0.68,37.960833,24.639317,2020-04-16 23:08,33.17,1.08
17.14,12.05,72.0,9.0,244.55,0.68,37.964867,24.6426,2020-04-16 23:09,32.45,1.08
17.24,12.05,71.0,9.0,243.97,0.68,37.968883,24.645783,2020-04-16 23:10,33.03,1.08
17.34,12.05,72.0,9.0,243.32,0.68,37.972867,24.649033,2020-04-16 23:11,33.68,1.08
17.34,12.05,72.0,9.0,243.95,0.68,37.976833,24.65235,2020-04-16 23:12,33.05,1.08
17.34,12.05,72.0,9.0,244.8,0.68,37.9809,24.655617000000003,2020-04-16 23:13,32.2,1.08
17.34,12.05,71.0,9.0,244.99,0.68,37.984967,24.6588,2020-04-16 23:14,32.01,1.08
17.24,12.05,71.0,9.0,244.16,0.68,37.989,24.66195,2020-04-16 23:15,32.84,1.08
17.04,12.05,70.0,9.0,243.86,0.68,37.99295,24.665167,2020-04-16 23:16,33.14,1.08
16.94,12.05,71.0,9.0,243.58,0.68,37.996917,24.668433,2020-04-16 23:17,33.42,1.08
16.84,12.05,69.0,9.0,244.32,0.68,38.0008,24.671583,2020-04-16 23:18,32.68,1.08
16.74,12.05,70.0,9.0,244.71,0.68,38.004683,24.674667000000003,2020-04-16 23:19,32.29,1.08
16.64,12.05,70.0,9.0,244.91,0.68,38.008567,24.677717,2020-04-16 23:20,32.09,1.08
