stw,draft,foc,ws,wd,swh,lat,lon,dt,vslHeading,wsWS
18.59,10.85,81.0,11.3,283.62,0.5,38.009117,24.6613,2020-06-13 00:30,42.38,3.99
18.58,10.85,82.0,11.1699,282.88,0.5,38.012983,24.66555,2020-06-13 00:31,42.12,3.99
18.58,10.85,82.0,10.78,284.8,0.5,38.016883,24.669883,2020-06-13 00:32,42.2,3.99
18.58,10.85,82.0,10.8401,289.15,0.5,38.020717,24.674217,2020-06-13 00:33,41.85,3.99
18.58,10.85,81.0,11.9201,289.35,0.5,38.024567,24.6785,2020-06-13 00:34,41.65,3.99
18.58,10.85,82.0,11.37,285.95,0.5,38.0285,24.6828,2020-06-13 00:35,42.05,3.99
18.58,10.85,81.0,10.65,287.1,0.5,38.032333,24.687083,2020-06-13 00:36,41.9,3.99
18.58,10.85,82.0,9.2799,290.91,0.5,38.036167,24.69145,2020-06-13 00:37,42.09,3.99
18.58,10.85,82.0,9.2,290.23,0.5,38.039983,24.6958,2020-06-13 00:38,41.77,3.99
18.58,10.85,82.0,9.2799,299.07,0.5,38.04385,24.700117,2020-06-13 00:39,41.93,3.99
18.58,10.85,82.0,8.9901,296.28,0.5,38.047733,24.7045,2020-06-13 00:40,41.72,3.99
18.58,10.85,82.0,7.6401,282.35,0.5,38.0516,24.70865,2020-06-13 00:41,41.65,3.99
18.57,10.85,81.0,9.2,294.94,0.5,38.0554,24.712967000000006,2020-06-13 00:42,42.06,3.99
18.57,10.85,82.0,8.49,282.18,0.5,38.0593,24.7174,2020-06-13 00:43,41.82,3.99
18.47,10.85,82.0,4.7401,282.08,0.5,38.063133,24.72165,2020-06-13 00:44,39.92,3.99
18.47,10.85,80.0,5.97,-27.74000000000001,0.5,38.06705,24.725783,2020-06-13 00:45,37.74,3.99
18.37,10.85,81.0,5.5701,324.93,0.5,38.071067,24.729817,2020-06-13 00:46,34.07,3.99
18.17,10.85,77.0,4.7799,4.860000000000014,0.5,38.07525,24.733317,2020-06-13 00:47,27.14,3.99
17.97,10.85,77.0,7.61,14.509999999999993,0.5,38.079783,24.736183,2020-06-13 00:48,21.49,3.99
18.17,10.85,85.0,13.7601,1.2900000000000205,0.5,38.084383,24.738567,2020-06-13 00:49,22.71,3.99
18.37,10.85,86.0,9.2401,12.620000000000005,0.5,38.089017,24.741167,2020-06-13 00:50,23.38,3.99
18.47,10.85,83.0,9.3699,-0.2799999999999727,0.5,38.0937,24.743917,2020-06-13 00:51,23.28,3.99
18.41,10.85,83.0,9.0099,-2.079999999999984,0.5,38.0984,24.746533,2020-06-13 00:52,23.08,3.99
18.51,10.85,83.0,8.4,4.1299999999999955,0.5,38.103067,24.749167,2020-06-13 00:53,22.87,3.99
18.51,10.85,82.0,12.97,4.430000000000007,0.5,38.1077,24.751767,2020-06-13 00:54,22.57,3.99
18.51,10.85,83.0,12.4801,4.240000000000009,0.5,38.11235,24.754383,2020-06-13 00:55,22.76,3.99
18.51,10.85,82.0,8.91,5.110000000000014,0.5,38.1171,24.7571,2020-06-13 00:56,22.89,3.99
18.51,10.85,83.0,9.3101,2.970000000000028,0.5,38.121767,24.759783,2020-06-13 00:57,23.03,3.99
18.41,10.85,82.0,10.9899,0.2699999999999818,0.5,38.126383,24.762533,2020-06-13 00:58,22.73,3.99
18.41,10.85,82.0,10.7199,3.220000000000028,0.5,38.131,24.76525,2020-06-13 00:59,22.78,3.99
18.41,10.85,144.0,10.06,2.3799999999999955,0.5,38.135717,24.768033,2020-06-13 01:00,22.62,3.99
18.41,10.85,83.0,9.97,6.5,0.5,38.140367,24.770733,2020-06-13 01:01,22.5,3.99
18.41,10.85,100.0,10.1401,5.20999999999998,0.5,38.145,24.7734,2020-06-13 01:02,22.79,3.99
18.41,10.85,100.0,11.55,3.7300000000000177,0.5,38.1496,24.77615,2020-06-13 01:03,23.27,3.99
18.41,10.85,105.0,11.3601,3.8600000000000136,0.5,38.154267,24.779017,2020-06-13 01:04,23.14,3.99
18.42,10.85,82.0,8.7201,10.970000000000026,0.5,38.15885,24.781767,2020-06-13 01:05,23.03,3.99
18.42,10.85,82.0,12.5001,2.069999999999993,0.5,38.163467,24.78455,2020-06-13 01:06,22.93,3.99
18.42,10.85,82.0,11.46,2.2099999999999795,0.5,38.168083,24.787267,2020-06-13 01:07,22.79,3.99
18.31,10.85,82.0,10.42,-1.0699999999999932,0.5,38.172733,24.79,2020-06-13 01:08,23.07,3.99
