stw,draft,foc,ws,wd,swh,lat,lon,dt,vslHeading,wsWS
17.56,11.28,71.0,17.15,45.69999999999999,1.86,37.47,-9.211877,2020-06-07 22:30,223.3,9.78
17.56,11.28,72.0,12.8601,47.91999999999996,1.91,37.466367,-9.216065,2020-06-07 22:31,222.08,11.09
17.45,11.28,69.0,16.5301,64.78999999999996,1.91,37.462617,-9.220105,2020-06-07 22:32,219.21,11.09
17.45,11.28,71.0,16.3,49.06999999999999,1.91,37.458717,-9.22405,2020-06-07 22:33,218.93,11.09
17.41,11.28,70.0,15.26,56.62000000000001,1.91,37.454817,-9.22783,2020-06-07 22:34,217.38,11.09
17.61,11.28,72.0,12.4101,44.5,1.91,37.450867,-9.231552,2020-06-07 22:35,216.5,11.09
17.5,11.28,70.0,10.06,73.30000000000003,1.91,37.44683300000001,-9.235175,2020-06-07 22:36,213.7,11.09
17.5,11.28,72.0,13.3401,56.23000000000002,1.91,37.442633,-9.238692,2020-06-07 22:37,213.77,11.09
17.6,11.28,72.0,14.1501,69.50999999999999,1.91,37.4385,-9.242127,2020-06-07 22:38,213.49,11.09
17.7,11.28,72.0,14.8001,58.0,1.91,37.434317,-9.24558,2020-06-07 22:39,214.0,11.09
17.7,11.28,71.0,14.0801,57.02999999999997,1.91,37.43013300000001,-9.249038,2020-06-07 22:40,211.97,11.09
17.7,11.28,71.0,12.3901,72.82,1.91,37.4258,-9.252342,2020-06-07 22:41,211.18,11.09
17.76,11.28,73.0,14.0601,46.850000000000016,1.91,37.421533,-9.25563,2020-06-07 22:42,212.15,11.09
17.86,11.28,73.0,14.0101,72.13,1.91,37.417267,-9.258957,2020-06-07 22:43,211.87,11.09
17.86,11.28,71.0,15.6,56.83000000000004,1.91,37.412967,-9.262283,2020-06-07 22:44,212.17,11.09
17.96,11.28,72.0,13.8,55.44,1.91,37.4086,-9.265745,2020-06-07 22:45,212.56,11.09
17.96,11.28,71.0,15.4,56.25999999999999,1.91,37.404333,-9.26915,2020-06-07 22:46,211.74,11.09
17.96,11.28,72.0,12.96,62.77999999999997,1.91,37.400017,-9.272508,2020-06-07 22:47,211.22,11.09
17.96,11.28,72.0,13.2001,66.0,1.91,37.395717,-9.275832,2020-06-07 22:48,212.0,11.09
18.07,11.28,73.0,10.8999,54.00999999999999,1.91,37.391433,-9.279252,2020-06-07 22:49,211.99,11.09
18.07,11.28,73.0,14.6901,71.22000000000003,1.91,37.387067,-9.282745,2020-06-07 22:50,211.78,11.09
18.07,11.28,71.0,12.33,76.03999999999995,1.91,37.382783,-9.286148,2020-06-07 22:51,211.96,11.09
18.07,11.28,73.0,16.1701,43.66999999999996,1.91,37.3785,-9.289613,2020-06-07 22:52,212.33,11.09
18.07,11.28,71.0,9.72,66.86000000000001,1.91,37.374183,-9.293137,2020-06-07 22:53,212.14,11.09
18.07,11.28,72.0,15.2901,45.960000000000036,1.91,37.369933,-9.296672,2020-06-07 22:54,212.04,11.09
18.07,11.28,71.0,12.6601,52.52999999999997,1.91,37.365683,-9.300133,2020-06-07 22:55,211.47,11.09
17.87,11.28,72.0,11.0901,47.74000000000001,1.91,37.361433,-9.303583,2020-06-07 22:56,212.26,11.09
17.77,11.28,69.0,14.65,56.91999999999996,1.91,37.357233,-9.307053,2020-06-07 22:57,212.08,11.09
17.71,11.28,71.0,10.3401,67.0,1.91,37.352967,-9.310562,2020-06-07 22:58,212.0,11.09
17.71,11.28,72.0,10.2301,53.93000000000001,1.91,37.34875,-9.313968,2020-06-07 22:59,212.07,11.09
17.61,11.28,72.0,9.9099,50.76999999999998,1.91,37.344533,-9.317312,2020-06-07 23:00,211.23,11.09
17.61,11.28,125.0,12.3201,79.87,1.91,37.340267,-9.320683,2020-06-07 23:01,212.13,11.09
17.71,11.28,73.0,11.48,54.23000000000002,1.91,37.33605,-9.3241,2020-06-07 23:02,211.77,11.09
17.71,11.28,73.0,11.8301,57.850000000000016,1.91,37.331833,-9.327487,2020-06-07 23:03,212.15,11.09
17.61,11.28,72.0,14.1201,57.75,1.91,37.327633,-9.330877,2020-06-07 23:04,212.25,11.09
17.61,11.28,71.0,12.81,53.74000000000001,1.91,37.323383,-9.334345,2020-06-07 23:05,212.26,11.09
17.61,11.28,72.0,10.87,54.62000000000001,1.91,37.3192,-9.337762,2020-06-07 23:06,211.38,11.09
17.61,11.28,71.0,12.99,65.18,1.91,37.31495,-9.341048,2020-06-07 23:07,210.82,11.09
17.72,11.28,72.0,11.7999,58.83000000000004,1.91,37.3107,-9.344358,2020-06-07 23:08,212.17,11.09
17.72,11.28,72.0,10.8401,76.60000000000002,1.91,37.306417,-9.347822,2020-06-07 23:09,212.4,11.09
17.72,11.28,71.0,11.37,63.34000000000003,1.91,37.302183,-9.35115,2020-06-07 23:10,211.66,11.09
17.72,11.28,72.0,9.45,33.970000000000034,1.91,37.29795,-9.354533,2020-06-07 23:11,212.03,11.09
17.75,11.28,71.0,11.9401,63.94,1.91,37.2937,-9.35786,2020-06-07 23:12,212.06,11.09
17.75,11.28,72.0,12.9101,62.460000000000036,1.91,37.289417,-9.361302,2020-06-07 23:13,212.54,11.09
17.75,11.28,104.0,12.56,40.779999999999966,1.91,37.285217,-9.364745,2020-06-07 23:14,212.22,11.09
