stw,draft,foc,ws,wd,swh,lat,lon,dt,vslHeading,wsWS
12.9,10.35,34.0,3.44,-193.25,0.0,40.446883,26.787183,2020-06-16 08:30,242.25,0.83
13.1,10.35,33.0,3.1401,-189.93000000000006,0.0,40.445233,26.782917,2020-06-16 08:31,241.93,0.83
13.31,10.35,32.0,5.2801,-204.11,0.0,40.443567,26.77855,2020-06-16 08:32,242.11,0.83
13.51,10.35,35.0,4.5999,-196.64,0.0,40.441883,26.774167,2020-06-16 08:33,241.64,0.83
13.71,10.35,36.0,4.9001,-201.68000000000006,0.0,40.440133,26.769733,2020-06-16 08:34,241.68,0.83
13.91,10.35,38.0,5.25,-199.72000000000003,0.0,40.438317,26.765283,2020-06-16 08:35,241.72,0.83
14.11,10.35,39.0,4.2599,-206.9,0.0,40.436483,26.760767,2020-06-16 08:36,241.9,0.83
14.21,10.35,40.0,4.2399,-199.34000000000003,0.0,40.43463300000001,26.756083,2020-06-16 08:37,240.34,0.83
14.22,10.35,40.0,6.23,-201.67,0.0,40.43265,26.751583,2020-06-16 08:38,237.67,0.83
14.52,10.35,45.0,5.8001,-200.53,0.0,40.4305,26.7471,2020-06-16 08:39,236.53,0.83
14.47,10.35,43.0,6.41,-194.81,0.0,40.428267,26.742567,2020-06-16 08:40,235.81,0.83
15.09,10.35,41.0,7.2601,-194.68000000000006,0.0,40.426,26.7381,2020-06-16 08:41,235.68,0.83
14.57,10.35,38.0,8.44,-204.75,0.0,40.42375,26.733683000000006,2020-06-16 08:42,235.75,0.83
14.57,10.35,41.0,6.2001,-187.78,0.0,40.42145,26.729233,2020-06-16 08:43,235.78,0.83
14.48,10.35,65.0,4.88,-185.68000000000006,0.0,40.419217,26.724933,2020-06-16 08:44,235.68,0.83
13.98,10.35,12.0,2.93,-179.0,0.0,40.417067,26.720783,2020-06-16 08:45,235.0,0.83
12.88,10.35,5.0,5.74,-143.27999999999997,0.0,40.415067,26.717167,2020-06-16 08:46,236.28,0.83
11.78,10.35,1.0,4.1499,-132.90999999999997,0.0,40.413267,26.713767,2020-06-16 08:47,235.91,0.83
7.8,10.35,2.0,6.06,-142.98000000000005,0.0,40.40188300000001,26.692267,2020-06-16 08:56,235.98,0.83
7.8,10.35,9.0,6.06,-142.91999999999996,0.0,40.40065,26.6899,2020-06-16 08:57,235.92,0.83
8.1,10.35,10.0,6.1299,-135.81,0.0,40.399383,26.687433,2020-06-16 08:58,235.81,0.83
8.21,10.35,10.0,4.28,-156.80999999999997,0.0,40.398083,26.684967,2020-06-16 08:59,234.81,0.83
