stw,draft,foc,ws,wd,swh,lat,lon,dt,vslHeading,wsWS,sOvg,currSp,currDir
16.89,13.4,54.0,8.2,141.7,1.32,38.697783,25.797683,2020-01-01 03:54,262.0,13.51,17.0,0.03,143.0
17.04,13.4,53.0,10.7,134.1,1.32,38.6972,25.7917,2020-01-01 03:55,262.0,13.51,17.0,0.03,143.0
17.2,13.4,54.0,9.4,135.40000000000003,1.32,38.696633,25.785683,2020-01-01 03:56,262.9,13.51,17.0,0.03,142.10000000000005
17.22,13.4,54.0,9.1,122.8,1.32,38.696083,25.779683,2020-01-01 03:57,263.0,13.51,16.9,0.03,142.0
17.12,13.4,53.0,8.8,133.99999999999997,1.32,38.695483,25.772767,2020-01-01 03:58,263.1,13.51,16.9,0.03,141.89999999999995
17.09,13.4,53.0,8.5,127.0,1.32,38.695017,25.767467,2020-01-01 03:59,263.3,13.51,16.8,0.03,141.7
16.99,13.4,54.0,7.1,133.1,1.32,38.694567,25.7618,2020-01-01 04:00,263.3,13.51,16.8,0.03,141.7
17.05,13.4,53.0,8.5,129.5,1.32,38.694117,25.755867000000002,2020-01-01 04:01,262.8,13.51,16.8,0.03,142.2
16.96,13.4,54.0,9.9,116.50000000000004,1.32,38.693483,25.74895,2020-01-01 04:02,262.4,13.51,16.7,0.03,142.60000000000005
16.95,13.4,54.0,8.0,136.10000000000002,1.32,38.693033,25.74315,2020-01-01 04:03,262.9,13.51,16.8,0.03,142.10000000000005
16.93,13.4,54.0,11.6,125.4,1.32,38.6926,25.7371,2020-01-01 04:04,263.7,13.51,16.8,0.03,141.3
16.85,13.4,55.0,11.3,133.49999999999997,1.32,38.6922,25.731117,2020-01-01 04:05,264.1,13.51,16.8,0.03,140.89999999999995
16.81,13.4,55.0,10.9,130.29999999999998,1.32,38.691866999999995,25.725133,2020-01-01 04:06,263.8,13.51,16.9,0.03,141.2
16.84,13.4,54.0,11.9,129.00000000000003,1.32,38.691483000000005,25.71915,2020-01-01 04:07,262.9,13.51,16.9,0.03,142.10000000000005
16.86,13.4,55.0,11.7,129.29999999999998,1.32,38.69105,25.713182999999997,2020-01-01 04:08,262.3,13.51,16.9,0.03,142.7
16.91,13.4,54.0,10.3,133.60000000000002,1.32,38.690667,25.708117,2020-01-01 04:09,262.9,13.51,16.9,0.03,142.10000000000005
16.93,13.4,55.0,10.0,134.89999999999998,1.32,38.690267,25.702117,2020-01-01 04:10,263.8,13.51,16.9,0.03,141.2
16.93,13.4,55.0,12.1,122.89999999999998,1.32,38.68995,25.6961,2020-01-01 04:11,263.6,13.51,16.9,0.03,141.39999999999995
16.78,13.4,55.0,11.2,133.10000000000002,1.32,38.689617,25.690082999999998,2020-01-01 04:12,262.9,13.51,16.9,0.03,142.10000000000005
16.84,13.4,54.0,10.3,139.7,1.32,38.689233,25.684082999999998,2020-01-01 04:13,262.6,13.51,16.9,0.03,142.39999999999995
16.83,13.4,54.0,10.4,120.0,1.32,38.688867,25.678082999999997,2020-01-01 04:14,263.3,13.51,17.0,0.03,141.7
16.95,13.4,55.0,11.3,136.7,1.32,38.688517,25.6711,2020-01-01 04:15,263.5,13.51,17.0,0.03,141.5
16.99,13.4,56.0,12.3,129.00000000000003,1.32,38.688233000000004,25.66505,2020-01-01 04:16,262.9,13.51,17.0,0.03,142.10000000000005
16.92,13.4,54.0,11.1,129.9,1.32,38.687867,25.65905,2020-01-01 04:17,262.2,13.51,17.0,0.03,142.8
16.94,13.4,54.0,12.1,125.79999999999998,1.32,38.6875,25.653967,2020-01-01 04:18,261.6,13.51,16.9,0.03,143.39999999999995
16.83,13.4,54.0,10.7,130.1,1.32,38.68705,25.647983,2020-01-01 04:19,261.3,13.51,16.9,0.03,143.7
