stw,draft,foc,ws,wd,swh,lat,lon,dt,vslHeading,wsWS,sOvg,currSp,currDir
18.19,12.98,69.0,2.4,146.7,5.29,35.7719,14.967833,2019-12-22 16:00,83.2,17.51,18.2,0.47,94.41
18.31,12.98,68.0,2.3,291.8,5.29,35.772217,14.974082999999998,2019-12-22 16:01,83.3,17.51,18.3,0.47,94.31000000000002
18.27,12.98,69.0,1.6,150.8,5.29,35.7725,14.980332999999998,2019-12-22 16:02,84.5,17.51,18.3,0.47,93.11
18.26,12.98,67.0,0.8,68.7,5.29,35.772733,14.9866,2019-12-22 16:03,82.3,17.51,18.3,0.47,95.31000000000002
18.24,12.98,69.0,0.9,203.5,5.29,35.773183,14.9928,2019-12-22 16:04,82.2,17.51,18.2,0.47,95.41
18.24,12.98,70.0,4.0,261.3,5.29,35.773533,14.99905,2019-12-22 16:05,84.8,17.51,18.3,0.47,92.81000000000002
18.38,12.98,68.0,3.4,137.5,5.29,35.773717,15.005332999999998,2019-12-22 16:06,83.1,17.51,18.3,0.47,94.51000000000002
18.25,12.98,67.0,5.7,152.29999999999995,5.29,35.77408300000001,15.011567,2019-12-22 16:07,81.9,17.51,18.3,0.47,95.71
18.28,12.98,68.0,1.7,153.3,5.29,35.77445,15.017717,2019-12-22 16:08,83.1,17.51,18.3,0.47,94.51000000000002
18.27,12.98,69.0,3.6,95.5,5.29,35.7747,15.024083,2019-12-22 16:09,84.5,17.51,18.4,0.47,93.11
18.28,12.98,68.0,1.2,84.29999999999998,5.29,35.774867,15.0304,2019-12-22 16:10,83.9,17.51,18.4,0.47,93.71
18.3,12.98,66.0,3.5,179.7,5.29,35.775083,15.03665,2019-12-22 16:11,81.5,17.51,18.3,0.47,96.11
18.16,12.98,69.0,2.9,103.5,5.29,35.775533,15.042867,2019-12-22 16:12,82.0,17.51,18.3,0.47,95.61
18.26,12.98,70.0,2.0,43.2,5.29,35.775833,15.04915,2019-12-22 16:13,83.0,17.51,18.4,0.47,94.61
18.56,12.98,68.0,0.8,194.50000000000003,5.29,35.776083,15.05535,2019-12-22 16:14,84.1,17.51,18.5,0.47,93.51000000000002
18.46,12.98,67.0,2.5,158.8,5.29,35.7762,15.061667000000002,2019-12-22 16:15,82.6,17.51,18.4,0.47,95.01000000000002
18.23,12.98,67.0,0.6,110.2,5.29,35.776533,15.068,2019-12-22 16:16,81.3,17.51,18.2,0.47,96.31000000000002
18.34,12.98,69.0,3.7,113.6,5.29,35.77688300000001,15.074233,2019-12-22 16:17,82.5,17.51,18.3,0.47,95.11
18.37,12.98,70.0,1.5,312.4,5.29,35.777167,15.080517,2019-12-22 16:18,83.8,17.51,18.3,0.47,93.81000000000002
18.45,12.98,68.0,0.9,96.8,5.29,35.7773,15.086783,2019-12-22 16:19,84.2,17.51,18.4,0.47,93.41
18.34,12.98,67.0,0.2,111.1,5.29,35.77745,15.093,2019-12-22 16:20,82.5,17.51,18.4,0.47,95.11
18.44,12.98,68.0,1.6,17.199999999999992,5.29,35.7778,15.099383,2019-12-22 16:21,81.9,17.51,18.4,0.47,95.71
18.41,12.98,68.0,1.5,272.8,5.29,35.778083,15.105683,2019-12-22 16:22,82.8,17.51,18.4,0.47,94.81000000000002
18.5,12.98,68.0,1.1,340.9,5.29,35.778333,15.111817000000002,2019-12-22 16:23,83.3,17.51,18.4,0.47,94.31000000000002
18.38,12.98,68.0,1.2,312.3,5.29,35.7786,15.11825,2019-12-22 16:24,83.8,17.51,18.4,0.47,93.81000000000002
18.41,12.98,68.0,2.0,16.299999999999994,5.29,35.77876699999999,15.124467,2019-12-22 16:25,83.3,17.51,18.4,0.47,94.31000000000002
18.27,12.98,68.0,1.6,93.7,5.29,35.779033,15.13085,2019-12-22 16:26,82.8,17.51,18.3,0.47,94.81000000000002
18.28,12.98,67.0,0.7,12.700000000000005,5.29,35.779317,15.137067000000002,2019-12-22 16:27,82.2,17.51,18.3,0.47,95.41
18.28,12.98,69.0,2.2,144.2,5.29,35.7796,15.143267000000002,2019-12-22 16:28,83.0,17.51,18.4,0.47,94.61
18.38,12.98,69.0,3.2,76.1,5.29,35.77985,15.149667,2019-12-22 16:29,83.5,17.51,18.4,0.47,94.11
18.24,12.98,68.0,1.9,244.9,5.29,35.779967,15.155867,2019-12-22 16:30,84.4,17.51,18.5,0.47,93.21
18.29,12.98,67.0,2.4,228.9,5.76,35.780033,15.1622,2019-12-22 16:31,83.1,17.96,18.5,0.47,94.51000000000002
18.38,12.98,66.0,1.9,200.3,5.76,35.78026699999999,15.1686,2019-12-22 16:32,81.8,17.96,18.4,0.47,95.81000000000002
18.34,12.98,70.0,1.7,92.0,5.76,35.7806,15.1748,2019-12-22 16:33,82.9,17.96,18.4,0.47,94.71
18.64,12.98,69.0,1.3,285.7,5.76,35.7808,15.1812,2019-12-22 16:34,84.3,17.96,18.5,0.47,93.31000000000002
18.52,12.98,69.0,1.3,338.7,5.76,35.7809,15.1874,2019-12-22 16:35,83.3,17.96,18.4,0.47,94.31000000000002
18.29,12.98,67.0,1.5,280.8,5.76,35.7811,15.1937,2019-12-22 16:36,81.9,17.96,18.3,0.47,95.71
18.21,12.98,67.0,2.1,239.4,5.76,35.781417,15.20005,2019-12-22 16:37,82.1,17.96,18.3,0.47,95.51000000000002
18.27,12.98,69.0,1.9,235.2,5.76,35.781633,15.206233,2019-12-22 16:38,84.1,17.96,18.4,0.47,93.51000000000002
18.41,12.98,70.0,4.2,180.40000000000003,5.76,35.781717,15.21255,2019-12-22 16:39,84.2,17.96,18.4,0.47,93.41
18.36,12.98,69.0,0.9,303.8,5.76,35.78178300000001,15.21885,2019-12-22 16:40,83.6,17.96,18.4,0.47,94.01000000000002
18.33,12.98,67.0,1.0,305.0,5.76,35.781933,15.2251,2019-12-22 16:41,81.4,17.96,18.3,0.47,96.21
18.26,12.98,68.0,2.3,134.39999999999998,5.76,35.7822,15.231317,2019-12-22 16:42,82.2,17.96,18.3,0.47,95.41
18.42,12.98,69.0,1.5,95.6,5.76,35.78245,15.237617000000002,2019-12-22 16:43,83.4,17.96,18.3,0.47,94.21
18.28,12.98,69.0,1.1,171.7,5.76,35.782567,15.2439,2019-12-22 16:44,83.4,17.96,18.4,0.47,94.21
18.4,12.98,68.0,1.5,192.4,5.76,35.7827,15.250217,2019-12-22 16:45,81.9,17.96,18.5,0.47,95.71
18.3,12.98,67.0,3.9,125.5,5.76,35.783017,15.2565,2019-12-22 16:46,82.4,17.96,18.4,0.47,95.21
18.3,12.98,69.0,2.2,103.1,5.76,35.78326699999999,15.262817000000002,2019-12-22 16:47,83.5,17.96,18.5,0.47,94.11
18.4,12.98,70.0,2.9,104.5,5.76,35.7834,15.269182999999998,2019-12-22 16:48,83.7,17.96,18.6,0.47,93.91
18.5,12.98,68.0,2.2,254.8,5.76,35.78345,15.275533,2019-12-22 16:49,82.7,17.96,18.6,0.47,94.91
18.27,12.98,67.0,3.4,113.2,5.76,35.783683,15.281883,2019-12-22 16:50,81.9,17.96,18.5,0.47,95.71
18.56,12.98,67.0,0.4,68.5,5.76,35.78393300000001,15.288232999999998,2019-12-22 16:51,83.1,17.96,18.5,0.47,94.51000000000002
18.48,12.98,69.0,0.6,320.9,5.76,35.784067,15.2946,2019-12-22 16:52,83.8,17.96,18.6,0.47,93.81000000000002
18.53,12.98,68.0,1.8,274.0,5.76,35.78413300000001,15.300983,2019-12-22 16:53,83.5,17.96,18.6,0.47,94.11
18.42,12.98,68.0,2.0,295.3,5.76,35.78425,15.307317,2019-12-22 16:54,81.8,17.96,18.5,0.47,95.81000000000002
18.28,12.98,66.0,0.8,86.60000000000002,5.76,35.784517,15.31365,2019-12-22 16:55,82.2,17.96,18.5,0.47,95.41
18.36,12.98,69.0,1.1,102.79999999999998,5.76,35.784683,15.319983,2019-12-22 16:56,82.9,17.96,18.6,0.47,94.71
18.43,12.98,69.0,1.1,48.60000000000001,5.76,35.7849,15.32635,2019-12-22 16:57,83.2,17.96,18.6,0.47,94.41
18.4,12.98,67.0,2.0,198.1,5.76,35.785067,15.332717,2019-12-22 16:58,83.0,17.96,18.6,0.47,94.61
18.46,12.98,68.0,1.6,137.89999999999998,5.76,35.78523300000001,15.339083,2019-12-22 16:59,82.7,17.96,18.6,0.47,94.91
18.6,12.98,68.0,3.5,134.5,5.76,35.78543300000001,15.34545,2019-12-22 17:00,82.7,17.96,18.6,0.47,94.91
18.68,12.98,68.0,2.4,120.3,5.76,35.785667,15.3518,2019-12-22 17:01,83.3,17.96,18.6,0.47,94.31000000000002
18.42,12.98,67.0,1.8,116.79999999999998,5.76,35.78585,15.35815,2019-12-22 17:02,83.4,17.96,18.5,0.47,94.21
18.3,12.98,68.0,1.4,161.4,5.76,35.7861,15.364482999999998,2019-12-22 17:03,83.5,17.96,18.5,0.47,94.11
18.49,12.98,67.0,2.8,115.1,5.76,35.7863,15.3708,2019-12-22 17:04,82.5,17.96,18.4,0.47,95.11
18.52,12.98,68.0,1.8,111.0,5.76,35.786583,15.3771,2019-12-22 17:05,82.8,17.96,18.4,0.47,94.81000000000002
18.48,12.98,68.0,2.3,88.19999999999996,5.76,35.786883,15.3834,2019-12-22 17:06,84.0,17.96,18.4,0.47,93.61
18.43,12.98,68.0,0.7,36.5,5.76,35.787033,15.389682999999998,2019-12-22 17:07,83.7,17.96,18.4,0.47,93.91
18.64,12.98,68.0,1.9,124.20000000000002,5.76,35.787283,15.395983,2019-12-22 17:08,83.1,17.96,18.4,0.47,94.51000000000002
18.4,12.98,67.0,0.9,65.60000000000001,5.76,35.7875,15.40225,2019-12-22 17:09,83.2,17.96,18.3,0.47,94.41
18.29,12.98,67.0,2.5,144.10000000000005,5.76,35.78776699999999,15.408532999999998,2019-12-22 17:10,82.7,17.96,18.3,0.47,94.91
18.51,12.98,68.0,2.8,137.70000000000002,5.76,35.788083,15.414782999999998,2019-12-22 17:11,81.6,17.96,18.3,0.47,96.01000000000002
18.56,12.98,67.0,0.7,29.8,5.76,35.788483,15.42105,2019-12-22 17:12,82.5,17.96,18.3,0.47,95.11
18.29,12.98,68.0,2.5,246.7,5.76,35.7888,15.427267,2019-12-22 17:13,83.1,17.96,18.2,0.47,94.51000000000002
18.21,12.98,68.0,2.5,270.7,5.76,35.789067,15.433533,2019-12-22 17:14,83.7,17.96,18.2,0.47,93.91
18.35,12.98,69.0,2.1,187.4,5.76,35.789333,15.439767000000002,2019-12-22 17:15,83.6,17.96,18.3,0.47,94.01000000000002
18.29,12.98,69.0,1.9,289.1,5.76,35.78965,15.446,2019-12-22 17:16,82.1,17.96,18.2,0.47,95.51000000000002
18.34,12.98,67.0,2.0,138.1,5.76,35.790083,15.452217,2019-12-22 17:17,82.4,17.96,18.2,0.47,95.21
18.44,12.98,69.0,1.9,146.6,5.76,35.790417,15.458483,2019-12-22 17:18,83.0,17.96,18.3,0.47,94.61
18.37,12.98,67.0,1.5,96.8,5.76,35.79078300000001,15.464717000000002,2019-12-22 17:19,82.8,17.96,18.3,0.47,94.81000000000002
18.27,12.98,67.0,0.9,210.4,5.76,35.791233,15.47095,2019-12-22 17:20,82.3,17.96,18.3,0.47,95.31000000000002
18.48,12.98,68.0,2.8,275.6,5.76,35.79163300000001,15.477232999999998,2019-12-22 17:21,83.6,17.96,18.4,0.47,94.01000000000002
18.44,12.98,65.0,2.1,117.5,5.76,35.791933,15.4835,2019-12-22 17:22,83.4,17.96,18.3,0.47,94.21
18.47,12.98,67.0,1.7,71.6,5.76,35.7923,15.48975,2019-12-22 17:23,83.1,17.96,18.3,0.47,94.51000000000002
18.41,12.98,68.0,2.6,121.0,5.76,35.79265,15.496033,2019-12-22 17:24,82.9,17.96,18.4,0.47,94.71
18.46,12.98,67.0,1.2,2.700000000000003,5.72,35.793033,15.502317,2019-12-22 17:25,83.0,18.41,18.4,0.71,322.0
18.47,12.98,68.0,1.9,295.2,5.72,35.793383,15.5086,2019-12-22 17:26,83.6,18.41,18.4,0.71,321.4
18.51,12.98,67.0,4.2,106.4,5.72,35.79376699999999,15.5149,2019-12-22 17:27,83.6,18.41,18.5,0.71,321.4
18.37,12.98,68.0,0.5,18.399999999999988,5.72,35.794117,15.521217000000002,2019-12-22 17:28,83.4,18.41,18.5,0.71,321.6
18.48,12.98,67.0,2.3,225.9,5.72,35.79443300000001,15.527532999999998,2019-12-22 17:29,82.6,18.41,18.5,0.71,322.4
18.5,12.98,66.0,2.9,110.6,5.72,35.7949,15.5338,2019-12-22 17:30,82.2,18.41,18.4,0.71,322.8
18.31,12.98,68.0,0.6,318.9,5.72,35.795383,15.540067,2019-12-22 17:31,82.1,18.41,18.4,0.71,322.9
18.22,12.98,68.0,3.4,210.8,5.72,35.795817,15.546367000000002,2019-12-22 17:32,82.8,18.41,18.5,0.71,322.2
18.43,12.98,67.0,1.7,123.70000000000002,5.72,35.796267,15.552667,2019-12-22 17:33,82.1,18.41,18.5,0.71,322.9
18.52,12.98,67.0,2.3,13.700000000000005,5.72,35.796733,15.55895,2019-12-22 17:34,82.5,18.41,18.4,0.71,322.5
18.36,12.98,67.0,4.0,50.5,5.72,35.797167,15.565217,2019-12-22 17:35,82.5,18.41,18.3,0.71,322.5
18.4,12.98,68.0,2.0,136.5,5.72,35.797583,15.571483,2019-12-22 17:36,83.5,18.41,18.4,0.71,321.5
18.39,12.98,69.0,1.3,140.2,5.72,35.797867,15.577782999999998,2019-12-22 17:37,84.2,18.41,18.4,0.71,320.8
18.34,12.98,67.0,3.0,121.1,5.72,35.798133,15.584067,2019-12-22 17:38,82.9,18.41,18.4,0.71,322.1
18.22,12.98,67.0,2.1,296.6,5.72,35.7985,15.590333,2019-12-22 17:39,82.8,18.41,18.3,0.71,322.2
18.26,12.98,68.0,2.1,67.0,5.72,35.798833,15.596583,2019-12-22 17:40,83.1,18.41,18.3,0.71,321.9
18.31,12.98,69.0,3.7,120.0,5.72,35.79915,15.60285,2019-12-22 17:41,82.0,18.41,18.4,0.71,323.0
18.48,12.98,68.0,3.0,179.10000000000005,5.72,35.7996,15.6091,2019-12-22 17:42,83.2,18.41,18.4,0.71,321.8
