stw,draft,foc,ws,wd,swh,lat,lon,dt
11.77,5.88,15.1632,3,310.101333333333,1.76,35.4691619,-6.52836263,2020-01-18 12:03
11.66,5.88,15.465599999999998,3,310.22700000000003,1.76,35.465345299999996,-6.5393418,2020-01-18 12:08
11.74,5.88,15.2784,3,310.196666666667,1.76,35.4615842,-6.55029722,2020-01-18 12:13
11.64,5.88,15.3936,3,310.297,1.76,35.457932899999996,-6.56122529,2020-01-18 12:18
11.62,5.88,15.8688,3,310.197,1.76,35.4543211,-6.57216664,2020-01-18 12:23
11.59,5.88,16.084799999999998,3,310.300333333333,1.76,35.4506937,-6.58314622,2020-01-18 12:28
11.63,5.88,15.6096,3,310.345,1.76,35.4470851,-6.59401633,2020-01-18 12:33
11.76,5.88,15.624,3,310.341333333333,1.76,35.4435104,-6.98578361,2020-01-18 12:38
11.74,5.88,15.6096,3,310.38066666666697,1.76,35.4399643,-7.01576615,2020-01-18 12:43
11.67,5.88,15.912,3,310.415666666667,1.76,35.4363029,-7.02652168,2020-01-18 12:48
11.58,5.88,15.595199999999998,3,310.41666666666697,1.76,35.4326962,-7.03726511,2020-01-18 12:53
11.75,5.88,15.724799999999998,3,310.291333333333,1.76,35.429101,-7.04811592,2020-01-18 12:58
11.72,5.88,15.2064,2,239.45,2.03,35.42546779999999,-7.05901893,2020-01-18 1:03
11.64,5.88,15.1488,2,239.49066666666698,2.03,35.421745200000004,-7.0697715,2020-01-18 1:08
11.75,5.88,15.0336,2,239.458,2.03,35.417982099999996,-7.08053012,2020-01-18 1:13
11.86,5.88,15.177599999999998,2,239.517,2.03,35.4139595,-7.09113619,2020-01-18 1:18
11.66,5.88,15.667200000000001,2,239.51033333333302,2.03,35.4097084,-7.10152928,2020-01-18 1:23
11.64,5.88,15.5664,2,239.46566666666698,2.03,35.4053455,-7.11190813,2020-01-18 1:28
11.73,5.88,15.796800000000001,2,248.58700000000002,1.94,35.400895500000004,-7.12232373,2020-01-18 1:33
11.72,5.88,15.624,2,248.644,1.94,35.3965011,-7.13278737,2020-01-18 1:38
11.76,5.88,15.724799999999998,2,248.57433333333302,1.94,35.3922979,-7.14337586,2020-01-18 1:43
11.79,5.88,15.120000000000001,2,248.58733333333302,1.94,35.38836679999999,-7.15413052,2020-01-18 1:48
11.84,5.88,15.3216,2,248.56933333333302,1.94,35.3843794,-7.16491587,2020-01-18 1:53
11.94,5.88,14.990400000000001,2,248.548333333333,1.94,35.380559600000005,-7.175799400000001,2020-01-18 1:58
11.95,5.88,15.091199999999999,2,248.60266666666698,1.94,35.3766405,-7.18659323,2020-01-18 2:03
11.82,5.88,15.134400000000001,2,248.56433333333302,1.94,35.372631899999995,-7.19729377,2020-01-18 2:08
11.75,5.88,15.350399999999999,2,248.54433333333301,1.94,35.3684815,-7.2079609,2020-01-18 2:13
11.77,5.88,14.7744,2,248.44766666666698,1.94,35.3643235,-7.21871831,2020-01-18 2:18
11.8,5.88,15.465599999999998,2,248.429333333333,1.94,35.3604794,-7.22972676,2020-01-18 2:23
11.72,5.88,15.3216,2,248.51133333333303,1.94,35.356736600000005,-7.24073358,2020-01-18 2:28
11.65,5.88,15.422400000000001,2,248.56099999999998,1.94,35.353081700000004,-7.25167372,2020-01-18 2:33
11.53,5.88,15.3792,2,248.579333333333,1.94,35.3494807,-7.26260119,2020-01-18 2:38
11.65,5.88,15.004800000000001,2,248.541666666667,1.94,35.345954,-7.2736258000000005,2020-01-18 2:43
11.62,5.88,15.0336,2,248.55833333333302,1.94,35.342409100000005,-7.28460534,2020-01-18 2:48
11.51,5.88,15.120000000000001,2,248.48466666666698,1.94,35.338782200000004,-7.295550099999999,2020-01-18 2:53
11.49,5.88,15.2928,2,248.437,1.94,35.335138799999996,-7.30657158,2020-01-18 2:58
11.53,5.88,14.9616,2,248.446,1.94,35.331486100000006,-7.31764068,2020-01-18 3:03
11.44,5.88,14.990400000000001,2,248.49933333333303,1.94,35.32789520000001,-7.32868805,2020-01-18 3:08
11.38,5.88,14.9616,2,248.321333333333,1.94,35.3237711,-7.33953649,2020-01-18 3:13
11.43,5.88,15.0336,2,248.271,1.94,35.319700399999995,-7.35052696,2020-01-18 3:18
11.55,5.88,15.2352,2,248.27133333333302,1.94,35.3157191,-7.36159258,2020-01-18 3:23
11.61,5.88,15.681600000000001,2,248.271666666667,1.94,35.3117657,-7.3726864,2020-01-18 3:28
11.61,5.88,15.4944,2,248.30733333333302,1.94,35.3079203,-7.38376763,2020-01-18 3:33
11.73,5.88,15.624,2,248.36033333333302,1.94,35.3040993,-7.39486565,2020-01-18 3:38
11.64,5.88,15.422400000000001,2,248.44166666666698,1.94,35.3004068,-7.40591408,2020-01-18 3:43
11.73,5.88,15.120000000000001,2,248.512333333333,1.94,35.2968584,-7.41699146,2020-01-18 3:48
11.76,5.88,15.192,2,248.763,1.94,35.2931169,-7.42773056,2020-01-18 3:53
11.71,5.88,14.875200000000001,2,248.732,1.94,35.288917700000006,-7.43809077,2020-01-18 3:58
11.7,5.88,15.0768,2,248.644333333333,1.94,35.284780100000006,-7.44860468,2020-01-18 4:03
11.77,5.88,15.1056,2,248.613333333333,1.94,35.2806434,-7.45915682,2020-01-18 4:08
11.83,5.88,14.7168,2,248.67966666666698,1.94,35.276483299999995,-7.46968512,2020-01-18 4:13
11.75,5.88,14.803199999999999,2,248.722,1.94,35.272354799999995,-7.48015862,2020-01-18 4:18
11.76,5.88,14.918399999999998,2,248.621333333333,1.94,35.2682109,-7.49063234,2020-01-18 4:23
11.8,5.88,15.1056,2,265.18633333333304,2.07,35.264007299999996,-7.50116363,2020-01-18 4:28
11.69,5.88,15.264,3,261.307666666667,1.99,35.2597969,-7.51158828,2020-01-18 4:33
11.71,5.88,14.918399999999998,3,261.32833333333303,1.99,35.255526200000006,-7.52187538,2020-01-18 4:38
11.64,5.88,15.2352,3,261.36933333333303,1.99,35.251228399999995,-7.53210411,2020-01-18 4:43
11.57,5.88,14.7744,3,261.34266666666696,1.99,35.247015399999995,-7.54234363,2020-01-18 4:48
11.75,5.88,14.918399999999998,3,261.27533333333304,1.99,35.2426776,-7.55258329,2020-01-18 4:53
11.66,5.88,15.0336,3,261.344,1.99,35.2384902,-7.56289099,2020-01-18 4:58
11.66,5.88,14.817599999999999,3,261.367666666667,1.99,35.2349377,-7.57350155,2020-01-18 5:03
11.77,5.88,14.472,3,261.363,1.99,35.231333,-7.5840761,2020-01-18 5:08
11.78,5.88,14.198399999999998,3,261.439666666667,1.99,35.2277026,-7.59461414,2020-01-18 5:13
11.73,5.88,14.731200000000001,3,261.42666666666696,1.99,35.2242065,-8.00118048,2020-01-18 5:18
11.74,5.88,15.091199999999999,3,261.44133333333303,1.99,35.2206061,-8.01566815,2020-01-18 5:23
11.71,5.88,15.220799999999999,3,261.459333333333,1.99,35.217024,-8.02611441,2020-01-18 5:28
11.61,5.88,15.5232,3,261.507333333333,1.99,35.2134852,-8.03659189,2020-01-18 5:33
11.7,5.88,15.134400000000001,3,261.440333333333,1.99,35.209951000000004,-8.04710005,2020-01-18 5:38
11.53,5.88,15.134400000000001,3,261.504666666667,1.99,35.2063896,-8.05755809,2020-01-18 5:43
11.52,5.88,14.990400000000001,3,261.399666666667,1.99,35.20276320000001,-8.06801931,2020-01-18 5:48
11.58,5.88,14.975999999999999,3,261.30166666666696,1.99,35.1990032,-8.07850823,2020-01-18 5:53
11.63,5.88,14.918399999999998,3,261.255333333333,1.99,35.195272499999994,-8.0891177,2020-01-18 5:58
11.7,5.88,14.616000000000001,3,261.297,1.99,35.1916156,-8.09971297,2020-01-18 6:03
11.66,5.88,14.817599999999999,3,261.228333333333,1.99,35.1879408,-8.11034862,2020-01-18 6:08
11.69,5.88,14.5872,3,261.152333333333,1.99,35.1841971,-8.12102763,2020-01-18 6:13
11.64,5.88,15.177599999999998,3,261.105,1.99,35.1805173,-8.13183714,2020-01-18 6:18
11.68,5.88,15.134400000000001,3,261.17933333333303,1.99,35.1769416,-8.14267545,2020-01-18 6:23
11.71,5.88,14.9616,3,261.21766666666696,1.99,35.1732977,-8.15341331,2020-01-18 6:28
11.73,5.88,15.091199999999999,3,261.345666666667,1.99,35.1697146,-8.16407175,2020-01-18 6:33
11.84,5.88,14.7024,3,261.315,1.99,35.165991,-8.17462971,2020-01-18 6:38
11.76,5.88,15.0192,3,261.424666666667,1.99,35.162344899999994,-8.18518326,2020-01-18 6:43
