stw,draft,foc,ws,wd,swh,lat,lon,dt
14.02,5.3,26.769599999999997,4,158.588333333333,1.77,49.5116417,-1.04309447,2019-11-25 12:00
14.04,5.3,26.769599999999997,4,158.517,1.77,49.51908220000001,-1.06149421,2019-11-25 12:05
14.0,5.3,26.812800000000003,4,158.457666666667,1.77,49.5265635,-1.07992626,2019-11-25 12:10
13.97,5.3,26.769599999999997,4,158.376,1.77,49.533985200000004,-1.09855136,2019-11-25 12:15
14.03,5.3,26.798399999999997,4,158.311,1.77,49.541349200000006,-1.1173993999999998,2019-11-25 12:20
14.19,5.3,26.524800000000003,4,158.373333333333,1.77,49.54849229999999,-1.13647225,2019-11-25 12:25
14.06,5.3,26.654400000000003,4,158.403333333333,1.77,49.5554727,-1.1555715,2019-11-25 12:30
14.07,5.3,26.712,4,158.464333333333,1.77,49.562400700000005,-1.17464135,2019-11-25 12:35
14.18,5.3,26.6112,4,158.52633333333299,1.77,49.569230299999994,-1.19376023,2019-11-25 12:40
14.19,5.3,26.409599999999998,4,158.71033333333298,1.77,49.575995500000005,-1.21274392,2019-11-25 12:45
14.07,5.3,26.6112,4,158.72899999999998,1.77,49.582612100000006,-1.23166588,2019-11-25 12:50
14.14,5.3,26.4528,4,158.839,1.77,49.589100200000004,-1.25062276,2019-11-25 12:55
14.07,5.3,26.6112,3,198.84900000000002,1.41,49.5955313,-1.26943507,2019-11-25 1:00
14.0,5.3,26.567999999999998,3,198.827,1.41,49.9196064,-1.2882345,2019-11-25 1:05
14.08,5.3,26.9568,3,198.90200000000002,1.41,50.0081177,-1.3070712,2019-11-25 1:10
14.13,5.3,26.424000000000003,3,199.219666666667,1.41,50.0150335,-1.32501436,2019-11-25 1:15
14.06,5.3,26.7552,3,199.36897009966802,1.41,50.0222013,-1.34240962,2019-11-25 1:20
14.19,5.3,26.524800000000003,3,199.646,1.41,50.029663899999996,-1.35918738,2019-11-25 1:25
14.0,5.3,26.7408,3,199.71666666666698,1.41,50.0371273,-1.37561967,2019-11-25 1:30
14.04,5.3,26.654400000000003,3,216.545666666667,1.49,50.0445651,-1.39213463,2019-11-25 1:35
13.98,5.3,26.8272,3,216.611,1.49,50.052116399999996,-1.4085046,2019-11-25 1:40
14.04,5.3,26.668799999999997,3,216.72099999999998,1.49,50.059707200000005,-1.42465017,2019-11-25 1:45
