Basis,Coeff
(Intercept),-46.8317
x0,2.30696
h(26.92-x3),3.75629
h(28.52-x3),-4.24753
h(12.35-x1),-0.963855
h(x2+1.2),109.315
h(-1.2-x2),-99.1065
h(8.8-x0),9.3507
h(314.52-x6),0.435323
h(x6-101.34),-0.895811
h(340.84-x6),-0.100255
h(6.43-x6),0.823643
h(x6-130),1.23966
h(130-x6),-0.853712
h(x6-86.25),0.505206
h(293.31-x6),-0.203393
h(x4-14.95),0.0646576
h(14.95-x4),0.715131
h(x3-6.57),-0.416569
h(6.57-x3),1.08885
x5,0.542633
h(0.71-x2),110.976
h(328.38-x6),-0.242862
h(x6-3.47),-0.938249
h(x3-11.16),0.236373
