stw,draft,foc,ws,wd,swh,lat,lon,dt
14.49,7.74,43.2,7.83,117.33,0.47,52.297416999999996,3.502478,2019-10-14 05:19
14.47,7.75,43.2,7.88,114.56,0.47,52.3025,3.502597,2019-10-14 05:20
14.46,7.74,43.2,7.86,111.63,0.47,52.312733,3.502853,2019-10-14 05:22
14.44,7.75,43.2,7.86,109.82,0.47,52.3178,3.5030419999999998,2019-10-14 05:23
14.42,7.74,43.2,7.91,108.13,0.47,52.322933,3.503227,2019-10-14 05:25
14.4,7.74,43.2,7.89,105.73,0.47,52.327983,3.5033730000000003,2019-10-14 05:26
14.38,7.74,43.2,7.87,103.05,0.47,52.34305,3.506478,2019-10-14 05:30
14.35,7.74,43.2,7.95,101.4,0.47,52.368567,3.530708,2019-10-14 05:37
14.33,7.74,43.2,7.89,101.77,0.48,52.376217,3.541408,2019-10-14 05:40
14.3,7.73,43.2,8.0,101.75,0.5,52.383917,3.552203,2019-10-14 05:42
14.26,7.73,43.1,8.07,101.4,0.51,52.3877,3.5575870000000003,2019-10-14 05:44
14.19,7.74,43.1,8.15,102.15,0.53,52.39155,3.563022,2019-10-14 05:45
14.16,7.74,43.1,8.21,102.63,0.54,52.39535,3.568432,2019-10-14 05:46
14.12,7.74,43.1,8.3,102.83,0.56,52.399117,3.5737949999999996,2019-10-14 05:48
14.08,7.76,43.1,8.31,103.17,0.57,52.406717,3.5846620000000002,2019-10-14 05:50
14.04,7.76,43.1,8.31,103.5,0.59,52.4142,3.595472,2019-10-14 05:53
14.0,7.75,43.1,8.28,103.94,0.6,52.421517,3.60676,2019-10-14 05:55
13.95,7.76,43.1,8.24,104.19,0.62,52.428783,3.618058,2019-10-14 05:58
13.91,7.76,43.1,8.19,104.24,0.63,52.4433,3.640655,2019-10-14 06:03
13.86,7.76,43.1,8.15,104.34,0.65,52.457617000000006,3.663307,2019-10-14 06:08
13.82,7.75,43.1,8.17,104.51,0.66,52.48113299999999,3.705075,2019-10-14 06:16
13.78,7.76,43.2,8.04,105.11,0.68,52.4898,3.7248980000000014,2019-10-14 06:20
13.75,7.76,43.2,8.1,106.21,0.69,52.50126700000001,3.751265,2019-10-14 06:25
13.71,7.76,43.2,8.23,106.73,0.69,52.506933,3.764422,2019-10-14 06:27
13.66,7.77,43.3,8.22,107.39,0.69,52.506933,3.764422,2019-10-14 06:28
13.64,7.77,43.49,8.23,108.26,0.69,52.513482999999994,3.7758580000000004,2019-10-14 06:30
13.64,7.77,43.59,8.33,108.14,0.69,52.538867,3.812245,2019-10-14 06:39
13.61,7.77,43.68,8.46,108.28,0.69,52.546017000000006,3.822922,2019-10-14 06:41
13.59,7.78,43.78,8.55,108.01,0.69,52.553167,3.83362,2019-10-14 06:44
