stw,draft,foc,ws,wd,swh,lat,lon,dt
11.89,11.84,42.62,8.9,94.78,0.0,51.392233000000004,2.0638919999999996,2019-10-22 12:06
11.91,11.84,42.72,9.05,101.95,0.0,51.394267,2.057538,2019-10-22 12:07
11.94,11.84,42.91,9.22,109.26,0.0,51.394267,2.057538,2019-10-22 12:08
11.97,11.84,43.01,9.32,105.28,0.0,51.402567,2.026462,2019-10-22 12:14
12.1,11.84,44.25,9.47,101.14,0.0,51.404183,2.020675,2019-10-22 12:15
12.24,11.84,45.5,9.73,108.5,0.0,51.405833,2.0148330000000003,2019-10-22 12:16
12.4,11.84,46.66,9.9,104.14,0.0,51.40745,2.009162,2019-10-22 12:17
12.57,11.84,47.91,10.03,111.52,0.0,51.40835,2.003393,2019-10-22 12:19
12.81,11.84,49.06,10.15,114.88,0.0,51.407817,1.997857,2019-10-22 12:20
13.05,11.84,50.11,10.26,116.73,0.0,51.395417,1.977213,2019-10-22 12:26
13.21,11.84,49.54,10.42,116.53,0.0,51.395417,1.977213,2019-10-22 12:27
13.33,11.84,48.86,10.5,117.38,0.0,51.392133,1.9729830000000002,2019-10-22 12:28
13.42,11.84,48.2,10.61,118.0,0.0,51.388733,1.9685970000000002,2019-10-22 12:29
13.49,11.84,48.0,10.68,118.62,0.0,51.385283,1.964072,2019-10-22 12:30
13.57,11.84,47.81,10.7,119.26,0.0,51.3818,1.959468,2019-10-22 12:31
13.63,11.84,47.71,10.75,119.93,0.0,51.3818,1.959468,2019-10-22 12:32
13.68,11.84,47.62,10.8,120.71,0.0,51.3782,1.9547919999999999,2019-10-22 12:33
13.72,11.84,47.52,10.79,121.09,0.0,51.370917,1.945498,2019-10-22 12:35
13.75,11.84,47.33,10.75,121.22,0.0,51.3672,1.940737,2019-10-22 12:36
13.78,11.84,47.33,10.74,122.01,0.0,51.363533000000004,1.935958,2019-10-22 12:38
13.8,11.84,47.33,10.65,122.62,0.0,51.359867,1.9311369999999999,2019-10-22 12:39
13.81,11.84,47.33,10.62,123.05,0.0,51.356183,1.926325,2019-10-22 12:40
13.82,11.84,47.23,10.6,123.23,0.0,51.3524,1.9214470000000001,2019-10-22 12:41
13.84,11.84,47.13,10.58,123.5,0.0,51.3524,1.9214470000000001,2019-10-22 12:42
13.85,11.84,47.04,10.55,123.34,0.0,51.3487,1.916622,2019-10-22 12:43
13.86,11.84,47.04,10.54,123.79,0.0,51.34493300000001,1.911878,2019-10-22 12:44
13.88,11.84,47.33,10.48,123.25,0.0,51.34095,1.9075119999999999,2019-10-22 12:45
13.9,11.84,47.52,10.37,122.52,0.0,51.336933,1.9034229999999999,2019-10-22 12:46
13.92,11.84,47.42,10.26,121.92,0.0,51.336933,1.9034229999999999,2019-10-22 12:47
13.94,11.84,47.23,10.2,121.5,0.0,51.332967,1.8991069999999999,2019-10-22 12:48
13.96,11.84,47.13,10.08,121.32,0.0,51.329033,1.894522,2019-10-22 12:49
13.97,11.84,47.04,9.98,121.61,0.0,51.325133,1.88998,2019-10-22 12:50
13.98,11.84,47.04,9.95,122.05,0.0,51.3212,1.8855119999999999,2019-10-22 12:51
14.0,11.84,47.13,9.92,122.38,0.0,51.3212,1.8855119999999999,2019-10-22 12:52
14.02,11.84,47.13,9.9,121.82,0.0,51.317133,1.8810380000000002,2019-10-22 12:53
14.04,11.84,47.04,9.79,121.78,0.0,51.3132,1.876598,2019-10-22 12:54
14.06,11.84,46.94,9.76,121.93,0.0,51.309267,1.872077,2019-10-22 12:55
14.08,11.84,46.94,9.71,121.6,0.0,51.3052,1.867645,2019-10-22 12:56
14.09,11.84,46.94,9.66,121.19,0.0,51.3052,1.867645,2019-10-22 12:57
14.11,11.84,47.04,9.64,121.32,0.0,51.30115,1.8633819999999999,2019-10-22 12:58
14.13,11.84,46.94,9.53,121.59,0.0,51.297133,1.8590919999999997,2019-10-22 12:59
14.14,11.84,46.84,9.5,121.97,0.0,51.29313300000001,1.854642,2019-10-22 13:00
14.16,11.84,46.84,9.52,122.04,0.0,51.2891,1.850093,2019-10-22 13:01
14.18,11.84,46.84,9.55,121.45,0.0,51.2891,1.850093,2019-10-22 13:02
14.18,11.84,46.84,9.47,121.3,0.0,51.2851,1.84562,2019-10-22 13:03
14.17,11.84,46.84,9.41,120.21,0.0,51.281067,1.841218,2019-10-22 13:04
14.17,11.84,46.94,9.36,118.36,0.0,51.276967,1.8368099999999998,2019-10-22 13:05
14.17,11.84,46.94,9.3,116.53,0.0,51.272917,1.832387,2019-10-22 13:06
14.17,11.84,46.94,9.27,115.07,0.0,51.272917,1.832387,2019-10-22 13:07
14.18,11.84,46.94,9.22,113.62,0.0,51.268867,1.827837,2019-10-22 13:08
14.18,11.84,46.94,9.23,112.73,0.0,51.264767,1.823268,2019-10-22 13:09
14.18,11.84,46.94,9.16,111.65,0.0,51.260683,1.818775,2019-10-22 13:10
14.17,11.84,47.04,9.14,110.91,0.0,51.256633,1.814295,2019-10-22 13:11
14.18,11.84,47.13,9.06,109.87,0.0,51.256633,1.814295,2019-10-22 13:12
14.18,11.84,47.04,8.99,108.66,0.0,51.2525,1.809765,2019-10-22 13:13
14.18,11.84,47.13,8.94,107.13,0.0,51.248433,1.8052720000000002,2019-10-22 13:14
14.17,11.84,47.04,8.8,105.38,0.0,51.244383,1.800713,2019-10-22 13:15
